Ano,Trimestre,Arquivo,Receita,EBITDA,Lucro_liquido,Lucro_bruto,Margem_EBITDA,Margem_liquida,Despesas,Divida_liquida,Investimento_capital,Receita_perdida,ROE,ROA,Fluxo_Caixa_Operacional,Fluxo_Caixa_Livre,Fluxo_Caixa_Investimento,Fluxo_Caixa_Financiamento,Divida_Bruta,Divida_Curto_Prazo,Divida_Longo_Prazo,DividendosProducao,Capacidade,Falha_maquina,Horas_paradas,Unidades_perdidas,Energia_consumida_kwh,Tipo_evento,Descricao_falha,Responsavel,Linha_producao,Custo_manutencao,Receita_impactada,Perda_eficiencia,Capacidade_utilizada
2015,2T,2015\textos\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,394 milhões R$,16.876 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,22.566 milhões R$,2.584 milhões R$,19.982 milhões R$,84.3 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,3.199 milhões R$,515 milhões R$,Não informado,Não informado,16.1%,Não informado,2.779 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,23.3 milhões R$,Não informado,19.982 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,4.118 milhões R$,418 milhões R$,Não informado,Não informado,10.2%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,1.429 milhões R$,149 milhões R$,Não informado,Não informado,10.4%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,2.257 milhões R$,155 milhões R$,Não informado,Não informado,6.9%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,2.257 milhões R$,230 milhões R$,Não informado,Não informado,10.2%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,10.759 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,"Despesas: Custo_vendas: 9.578 milhões R$, Despesas_vendas: 185 milhões R$, Despesas_gerais_administrativas: 7 milhões R$, Outras_despesas_operacionais: 24 milhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.584 milhões R$,8.120 milhões R$,202 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_RR.txt,Não informado,Não informado,531.835 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.225 milhões R$,Não informado,-1.349 milhões R$,-1.145 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_RR.txt,12.972 milhões R$,3.591 milhões R$,725 milhões R$,Não informado,27.7%,5.6%,1.927 milhões R$,4.201 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_RR.txt,11.925 milhões R$,1.192 milhões R$,-1.958 milhões R$,Não informado,10.0%,16.4%,631 milhões R$,16.876 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,27.583 milhões R$,2.132 milhões R$,25.451 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_RR.txt,3.723 milhões R$,596 milhões R$,Não informado,Não informado,16.0%,Não informado,3.283 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,23.3 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_RR.txt,4.833 milhões R$,450 milhões R$,Não informado,Não informado,9.3%,Não informado,Redução nas despesas operacionais em 3T15 vs 3T14 e 2T15 (valor não informado),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_RR.txt,1.434 milhões R$,154 milhões R$,Não informado,Não informado,10.7%,Não informado,Redução nas despesas operacionais em 3T15 vs 3T14 e 2T15 (valor não informado),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_RR.txt,2.194 milhões R$,231 milhões R$,Não informado,Não informado,10.5%,Não informado,"Redução das despesas operacionais mencionada, mas valores não especificados",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_RR.txt,10.706 milhões R$,Não informado,-1.261 milhões R$,Não informado,Não informado,11.8%,630 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,5.209 milhões R$,Não informado,-1.883 milhões R$,-1.536 milhões R$,13.415 milhões R$,4.129 milhões R$,8.427 milhões R$,154 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,10.449 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,655 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,Não informado,1.246 milhões R$,-3.170 milhões R$,Não informado,11.5%,Não informado,Depreciação e Amortizações: 707 milhões R$,19.542 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,26.461 milhões R$,2.387 milhões R$,24.074 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,Não informado,911 milhões R$,-3.170 milhões R$,Não informado,11.5%,Não informado,Não informado,24.100 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,1.200 milhões R$,Não informado,Não informado,23.300 milhões R$,Não informado,24.074 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,Não informado,2015\textos\2015_4T_RR.txt,Não informado,4.501 milhões R$,-4.596 milhões R$,Não informado,Não informado,Não informado,Depreciação e Amortizações: 2.608 milhões R$,19.542 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,3.000 milhões R$,Não informado,Não informado,26.461 milhões R$,2.387 milhões R$,24.074 milhões R$,253.0 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,2.678 milhões R$,470 milhões R$,Não informado,Não informado,17.6%,Não informado,2.535 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,4.311 milhões R$,363 milhões R$,Não informado,Não informado,8.4%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,1.481 milhões R$,229 milhões R$,Não informado,Não informado,15.5%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,2.185 milhões R$,49 milhões R$,Não informado,Não informado,2.2%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,10.449 milhões R$,918 milhões R$,Não informado,Não informado,8.8%,Não informado,225 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_RR.txt,Não informado,Não informado,-4.596 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,7.162 milhões R$,Não informado,-2.422 milhões R$,-1.341 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\textos\2015_1T_AP.txt,10.447 milhões R$,1.089 milhões R$,267 milhões R$,Não informado,10.4%,2.6%,660 milhões R$,22.900 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,22.900 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\textos\2015_2T_AP.txt,Não informado,1.184 milhões R$,265 milhões R$,Não informado,Não informado,Não informado,Não informado,"22,6 bilhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,457 milhões R$,Não informado,Não informado,"23,3 bilhões R$",Não informado,"Cronograma: 2016: 1,2 bi R$; 2017: 0,9 bi R$; 2018: 2,7 bi R$; 2019: 2,7 bi R$; 2020: 2,0 bi R$; 2021 e após: 2,1 bi R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_AP.txt,11.925 milhões R$,1.291 milhões R$,193 milhões R$,Não informado,10.8%,1.6%,631 milhões R$,"18,5 bilhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,1.259 milhões R$,Não informado,Não informado,"27,6 bilhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\textos\2015_3T_AP.txt,Não informado,Não informado,-2.200 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1.600 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_AP.txt,43.600 milhões R$,4.500 milhões R$,684 milhões R$,Não informado,10.3%,1.6%,2.582 milhões R$,Não informado,2.300 milhões R$,Não informado,Não informado,Não informado,Não informado,3.000 milhões R$,2.300 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,69.7%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\textos\2015_4T_AP.txt,Não informado,911 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2.428 milhões R$,Não informado,Não informado,"16,7 bilhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,10.085 milhões R$,930 milhões R$,142 milhões R$,Não informado,9.2%,1.4%,(9.272) milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,11 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,10.085 milhões R$,1.106 milhões R$,267 milhões R$,Não informado,11.0%,2.6%,-525 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,Não informado,930 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,18.159 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,11 milhões R$,Não informado,Não informado,23.684 bilhões R$,2.464 bilhões R$,21.220 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,2.694 milhões R$,521 milhões R$,Não informado,Não informado,19.3%,Não informado,2.472 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON Brasil,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,4.297 milhões R$,254 milhões R$,Não informado,Não informado,5.9%,Não informado,3.995 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON América do Norte,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,1.236 milhões R$,206 milhões R$,Não informado,Não informado,16.7%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON América do Sul,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,2.170 milhões R$,174 milhões R$,Não informado,Não informado,8.0%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,ON Aços Especiais,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\textos\2016_1T_RR.txt,10.447 milhões R$,Não informado,267 milhões R$,Não informado,Não informado,2.6%,429 milhões R$ + 480 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,929 milhões R$,Não informado,-512 milhões R$,-1.023 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,9.165 milhões R$,1.201 milhões R$,184 milhões R$,Não informado,13.1%,2.0%,578 milhões R$,"3,6x EBITDA",Não informado,Não informado,Não informado,Não informado,Não informado,807 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,Não informado,1.046 milhões R$,105 milhões R$,Não informado,Não informado,Não informado,"5,6% da receita líquida",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,15.797 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,18.715 milhões R$,1.959 milhões R$,16.756 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,3.047 milhões R$,479 milhões R$,Não informado,Não informado,15.7%,Não informado,2.703 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,807 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,4.291 milhões R$,408 milhões R$,Não informado,Não informado,9.5%,Não informado,menores no 2T16 vs 2T15/1T16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,1.210 milhões R$,205 milhões R$,Não informado,Não informado,16.9%,Não informado,menores no 2T16 vs 2T15/1T16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,1.963 milhões R$,215 milhões R$,Não informado,Não informado,11.0%,Não informado,105 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,10.249 milhões R$,Não informado,79 milhões R$,Não informado,Não informado,0.8%,175 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\textos\2016_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"93,4 milhões R$",Não informado,"-942,6 milhões R$","-367,6 milhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2017,1T,2017\textos\2017_1T_RR.txt,17.375 milhões R$,2.402 milhões R$,758 milhões R$,Não informado,13.8%,4.4%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-1.252 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2025,1T,2017\textos\2017_1T_RR.txt,17.400 milhões R$,2.400 milhões R$,758 milhões R$,Não informado,13.8%,4.4%,543 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,76%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,76%
2024,4T,2017\textos\2017_1T_RR.txt,16.800 milhões R$,2.400 milhões R$,308 milhões R$,Não informado,14.3%,1.8%,586 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,69%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,69%
2024,1T,2017\textos\2017_1T_RR.txt,16.200 milhões R$,2.800 milhões R$,320 milhões R$,Não informado,17.3%,2.0%,501 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,77%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,77%
