Ano,Trimestre,Arquivo,Receita,EBITDA,Lucro_liquido,Lucro_bruto,Margem_EBITDA,Margem_liquida,Despesas,Divida_liquida,Investimento_capital,Receita_perdida,Producao,Capacidade,Falha_maquina,Horas_paradas,Unidades_perdidas,Energia_consumida_kwh,Tipo_evento,Descricao_falha,Responsavel,Linha_producao,Custo_manutencao,Receita_impactada,Perda_eficiencia,Capacidade_utilizada
2014,1T,2015\\textos\\2015_1T_RR.txt,316 milhões R$,121 milhões R$,267.361,Não informado,38.3%,84607.9%,197 milhões R$ (Custo das vendas); 179.519 (Despesas com vendas); 480.442 (Despesas gerais e administrativas),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2014,4T,2015\\textos\\2015_1T_RR.txt,205 milhões R$,-24 milhões R$,Não informado,Não informado,11.7%,Não informado,228 milhões R$ (Custo das vendas),22.521.277,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2025,2T,2015\\textos\\2015_2T_AP.txt,17.526 milhões R$,2.561 milhões R$,864 milhões R$,Não informado,14.6%,4.9%,"-286 milhões R$ (Capital de Giro), -458 milhões R$ (Imposto de Renda), -1.659 milhões R$ (CAPEX), -499 milhões R$ (Juros), -159 milhões R$ (Intangíveis e Arrendamento), -117 milhões R$ (Demais variações)",3.700 milhões R$,Não informado,Não informado,2.809 mil toneladas,"73% (Brasil, Aço); 86% (América do Norte, Aço); 65% (América do Sul, Aço)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,10.759 milhões R$,1.184 milhões R$,265 milhões R$,Não informado,11.0%,2.5%,637 milhões R$,Não informado,Não informado,Não informado,4.431 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_2T_RR.txt,10.447 milhões R$,1.089 milhões R$,267 milhões R$,Não informado,10.4%,2.6%,660 milhões R$,Não informado,Não informado,Não informado,4.341 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2014,2T,2015\\textos\\2015_2T_RR.txt,10.443 milhões R$,1.170 milhões R$,393 milhões R$,Não informado,11.2%,3.8%,679 milhões R$,Não informado,Não informado,Não informado,4.668 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,3.199 milhões R$,446 milhões R$,Não informado,Não informado,13.9%,Não informado,2.779 milhões R$,R$ 16.876 milhões,Não informado,Não informado,1.660 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,3.581 milhões R$,226 milhões R$,Não informado,Não informado,6.3%,Não informado,3.700 milhões R$,Não informado,Não informado,Não informado,1.588 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,1.429 milhões R$,118 milhões R$,Não informado,Não informado,8.3%,Não informado,1.280 milhões R$,Não informado,Não informado,Não informado,415 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,2.257 milhões R$,215 milhões R$,Não informado,Não informado,9.5%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,170 milhões R$,6 milhões R$,Não informado,Não informado,3.5%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,2.257 milhões R$,230 milhões R$,Não informado,Não informado,10.2%,Não informado,2.102 milhões R$,Não informado,Não informado,Não informado,768 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,170 milhões R$,53 milhões R$,Não informado,Não informado,31.2%,Não informado,127 milhões R$,Não informado,Não informado,Não informado,2.060 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_2T_RR.txt,2.246 milhões R$,260 milhões R$,Não informado,Não informado,11.6%,Não informado,2.036 milhões R$,Não informado,Não informado,Não informado,859 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2015\\textos\\2015_2T_RR.txt,125 milhões R$,6 milhões R$,Não informado,Não informado,4.8%,Não informado,119 milhões R$,Não informado,Não informado,Não informado,1.481 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,10.759 milhões R$,Não informado,264 milhões R$,Não informado,Não informado,2.5%,637 milhões R$,22.580 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,2T,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,531.835 mil R$,Não informado,Não informado,Não informado,446.675 mil R$ (juros) / 385.022 mil R$ (impostos),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,13.083 milhões R$,1.291 milhões R$,193 milhões R$,Não informado,9.9%,1.5%,"637 milhões R$ (Despesas com vendas, gerais e administrativas)","3,1x EBITDA",Não informado,Não informado,4.201 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,11.925 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,"631 milhões R$ (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,4.201 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,Não informado,1.291 milhões R$,-1.958 milhões R$,Não informado,Não informado,Não informado,"Depreciação e amortizações: 672 milhões R$; Despesas financeiras: -1.044 milhões R$; Menores despesas com vendas, gerais e administrativas (valor não detalhado)",16.876 milhões R$,"508,6 milhões R$",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,3.723 milhões R$,596 milhões R$,Não informado,Não informado,16.0%,Não informado,Custo das vendas: 3.283 milhões R$,Não informado,Não informado,Não informado,1.578 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,2.194 milhões R$,224 milhões R$,Não informado,Não informado,10.2%,Não informado,Não informado,Não informado,Não informado,Não informado,1.675 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,1.243 milhões R$,94 milhões R$,Não informado,Não informado,7.6%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,1.434 milhões R$,130 milhões R$,Não informado,Não informado,9.1%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,4.833 milhões R$,450 milhões R$,Não informado,Não informado,9.3%,Não informado,"Redução das despesas operacionais no 3T15 em relação ao 3T14 e 2T15, valor não especificado",Não informado,Não informado,Não informado,1.675 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,1.434 milhões R$,130 milhões R$,Não informado,Não informado,9.1%,Não informado,"Redução das despesas operacionais no 3T15 em relação ao 3T14, valor não especificado",Não informado,Não informado,Não informado,297 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,2.194 milhões R$,231 milhões R$,Não informado,Não informado,10.5%,Não informado,Menores despesas operacionais contribuíram para melhora da margem EBITDA no 3T15 em relação ao 2T15. Valores absolutos não informados.,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,3T,2015\\textos\\2015_3T_RR.txt,11.925 milhões R$,1.211 milhões R$,-1.426 milhões R$,Não informado,10.2%,12.0%,10.714 milhões R$,22.142 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,10.449 milhões R$,911 milhões R$,-41 milhões R$,Não informado,8.7%,0.4%,655 milhões R$,Não informado,Não informado,Não informado,3.889 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,10.449 milhões R$,1.291 milhões R$,193 milhões R$,Não informado,12.4%,1.8%,655 milhões R$ (Despesas vendas G&A),12.1x EBITDA (Não informado valor absoluto),Não informado,Não informado,3.889 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"655 milhões R$ (Despesas vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,Não informado,911 milhões R$,-3.170 milhões R$,Não informado,11.5%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,Não informado,911 milhões R$,-3.170 milhões R$,Não informado,Não informado,Não informado,"CAPEX 4T15: 556 milhões R$, Imposto de Renda 4T15: 63 milhões R$, Juros da Dívida 4T15: 293 milhões R$",R$ 19.542 bilhões (31.12.2015),556 milhões R$,Não informado,1.481 mil toneladas (aço bruto Brasil 4T15),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,2.678 milhões R$,470 milhões R$,Não informado,Não informado,17.6%,Não informado,2.535 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,4.311 milhões R$,363 milhões R$,Não informado,Não informado,8.4%,Não informado,3.948 milhões R$,Não informado,Não informado,Não informado,1.450 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,1.481 milhões R$,206 milhões R$,Não informado,Não informado,13.9%,Não informado,1.252 milhões R$,Não informado,Não informado,Não informado,333 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,2.185 milhões R$,151 milhões R$,Não informado,Não informado,6.9%,Não informado,2.136 milhões R$,Não informado,Não informado,Não informado,625 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,Não informado,151 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,27.703 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2015\\textos\\2015_4T_RR.txt,43.581 milhões R$,Não informado,-4.596 milhões R$,Não informado,Não informado,10.5%,"785 milhões R$ (Despesas com vendas), 1.797 milhões R$ (Despesas gerais e administrativas), 4.996 milhões R$ (Outras despesas operacionais)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_AP.txt,10.085 milhões R$,930 milhões R$,Não informado,Não informado,9.2%,Não informado,"644 milhões R$ (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,4.143 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_AP.txt,1.106 milhões R$,930 milhões R$,14 milhões R$,Não informado,84.1%,1.3%,"Redução de 10% no 1T16 vs 1T15 (Despesas com vendas, gerais e administrativas)",22.600 milhões R$,Não informado,Não informado,930 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,10.085 milhões R$,930 milhões R$,14 milhões R$,Não informado,9.2%,0.1%,644 milhões R$,"2,4x EBITDA (US$)",Não informado,Não informado,4.154 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,1T,2016\\textos\\2016_1T_RR.txt,10.447 milhões R$,1.106 milhões R$,267 milhões R$,Não informado,10.6%,2.6%,660 milhões R$,"4,0x EBITDA (US$)",Não informado,Não informado,4.341 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2015,4T,2016\\textos\\2016_1T_RR.txt,10.449 milhões R$,911 milhões R$,-41 milhões R$,Não informado,8.7%,0.4%,655 milhões R$,"3,6x EBITDA (US$)",Não informado,Não informado,3.889 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,Não informado,930 milhões R$,Não informado,Não informado,Não informado,Não informado,CAPEX: 485 milhões R$; Imposto de Renda: 37 milhões R$; Juros da Dívida: 290 milhões R$; Capital de Giro: 107 milhões R$,18.159 bilhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,2.694 milhões R$ (ON_Brasil),521 milhões R$ (ON_Brasil),Não informado,Não informado,19.3%,Não informado,Custo das vendas: 2.472 milhões R$ (ON_Brasil),Não informado,Não informado,Não informado,1.544 mil toneladas (ON_Brasil),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,1.236 milhões R$ (ON_América_do_Norte),254 milhões R$ (ON_América_do_Norte),Não informado,Não informado,20.6%,Não informado,Não informado,Não informado,Não informado,Não informado,1.555 mil toneladas (ON_América_do_Norte),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,2.170 milhões R$ (ON_América_do_Sul),174 milhões R$ (ON_América_do_Sul),Não informado,Não informado,8.0%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,1.174 milhões R$ (ON_Aços_Especiais),183 milhões R$ (ON_Aços_Especiais),Não informado,Não informado,15.6%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,2.170 milhões R$,174 milhões R$,Não informado,Não informado,8.0%,Não informado,2.084 milhões R$ (Custo das vendas),Não informado,Não informado,Não informado,736 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,10.447 milhões R$,Não informado,14 milhões R$,Não informado,Não informado,0.1%,"214 milhões R$ (Despesas com vendas), 429 milhões R$ (Despesas gerais e administrativas), 7 milhões R$ (Outras despesas operacionais)","11.186 milhões R$ (divida bruta, não há caixa informado)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,1T,2016\\textos\\2016_1T_RR.txt,Não informado,Não informado,14 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_AP.txt,10.249 milhões R$,1.201 milhões R$,184 milhões R$,Não informado,11.7%,1.8%,578 milhões R$,20.700 milhões R$,Não informado,Não informado,4.240 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_RR.txt,10.249 milhões R$,1.201 milhões R$,184 milhões R$,Não informado,11.7%,1.8%,578 milhões R$,Não informado,Não informado,Não informado,4.304 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_RR.txt,Não informado,1.201 milhões R$,406 milhões R$,Não informado,"11,1%",Não informado,Despesas com vendas: 176 milhões R$; Despesas gerais e administrativas: 402 milhões R$; Despesas financeiras: 484 milhões R$; Imposto de Renda: 55 milhões R$; Juros da Dívida: 298 milhões R$,15.797 milhões R$,326 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_RR.txt,3.047 milhões R$,408 milhões R$,Não informado,Não informado,13.4%,Não informado,-2.703 milhões R$,Não informado,Não informado,Não informado,1.655 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_RR.txt,4.291 milhões R$,408 milhões R$,Não informado,Não informado,9.5%,Não informado,3.942 milhões R$,Não informado,Não informado,Não informado,1.690 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_RR.txt,1.210 milhões R$,183 milhões R$,Não informado,Não informado,15.1%,Não informado,1.025 milhões R$,Não informado,Não informado,Não informado,297 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_RR.txt,1.963 milhões R$,215 milhões R$,Não informado,Não informado,11.0%,Não informado,Não informado,Não informado,Não informado,Não informado,662 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,2T,2016\\textos\\2016_2T_RR.txt,10.249 milhões R$,Não informado,406 milhões R$,Não informado,Não informado,4.0%,577 milhões R$,21.254 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,3T,2016\\textos\\2016_3T_AP.txt,8.700 milhões R$,1.200 milhões R$,95 milhões R$,Não informado,13.8%,1.1%,483 milhões R$,Não informado,Não informado,Não informado,3.668 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,3T,2016\\textos\\2016_3T_AP.txt,Não informado,1.200 milhões R$,95 milhões R$,Não informado,Não informado,Não informado,1.200 milhões R$,20.700 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2016,3T,2016\\textos\\2016_3T_RR.txt,8.699 milhões R$,1.200 milhões R$,95 milhões R$,Não informado,13.8%,1.1%,483 milhões R$,Não informado,Não informado,Não informado,3.894 mil toneladas,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
