consumo_id,registro_id,material_id,lote_material_id,quantidade_consumida,data_registro
55,692,5,87,30.28,2016-02-08
56,980,10,93,46.85,2015-05-31
57,357,4,15,5.81,2016-01-04
58,690,6,91,19.1,2016-09-16
59,795,1,22,16.38,2015-11-19
60,840,10,16,28.47,2016-10-24
61,561,7,12,15.02,2015-11-24
62,444,1,67,49.39,2016-10-26
63,782,2,26,29.09,2016-06-05
64,920,5,52,32.29,2016-10-03
65,557,1,62,45.46,2016-04-15
66,98,9,23,29.98,2016-05-27
67,346,2,6,0.95,2015-10-19
68,696,2,49,35.63,2016-08-19
69,523,2,31,34.96,2015-04-21
70,709,9,56,16.66,2015-12-24
71,318,10,42,7.05,2016-11-03
72,233,6,91,37.58,2015-06-13
73,68,1,26,39.29,2015-07-09
74,946,10,78,30.84,2016-10-08
75,171,4,27,36.83,2015-07-27
76,692,5,24,41.47,2015-05-22
77,441,3,13,40.78,2015-09-11
78,243,10,12,5.01,2016-07-19
79,645,1,73,4.36,2016-02-27
80,422,8,38,2.05,2015-01-31
81,393,1,26,29.09,2016-03-14
82,965,9,7,32.06,2015-04-17
83,687,2,98,20.78,2015-11-17
84,56,2,12,34.04,2015-05-25
85,600,4,56,29.4,2015-12-22
86,921,4,46,4.83,2016-05-31
87,916,1,71,32.19,2015-12-31
88,53,4,46,47.59,2016-05-09
89,436,10,55,10.19,2015-12-26
90,614,4,66,14.0,2016-12-28
91,579,1,82,0.68,2016-07-15
92,514,6,48,16.7,2016-07-13
93,377,4,68,7.76,2016-09-29
94,31,5,27,29.1,2016-03-28
95,827,5,98,47.25,2016-10-08
96,708,3,12,12.67,2016-11-14
97,570,10,100,42.39,2016-04-16
98,866,10,48,9.07,2016-04-04
99,588,7,18,38.29,2016-02-22
100,402,2,21,39.98,2015-05-02
101,42,10,58,26.54,2015-11-10
102,800,5,10,14.0,2015-11-30
103,532,5,10,13.14,2015-08-08
104,508,9,38,5.57,2016-01-27
105,864,10,69,0.13,2015-07-03
106,862,9,35,40.2,2016-09-25
107,808,6,78,3.84,2016-08-02
108,690,7,31,0.61,2016-04-30
109,925,8,98,2.65,2016-11-16
110,70,4,5,32.84,2016-04-28
111,581,6,19,6.3,2015-05-13
112,1000,7,72,5.99,2015-09-21
113,400,10,59,27.69,2016-08-01
114,908,10,37,12.83,2016-03-15
115,776,2,26,40.29,2015-07-13
116,821,5,65,39.75,2015-03-27
117,659,5,39,47.87,2016-12-27
118,702,3,43,24.59,2015-09-04
119,509,6,87,36.96,2015-10-20
120,82,10,85,48.32,2015-03-09
121,599,5,65,4.76,2015-08-09
122,739,8,39,10.04,2015-02-17
123,18,5,63,30.8,2015-06-02
124,596,3,7,24.32,2015-08-31
125,702,3,19,25.08,2016-03-01
126,57,8,49,38.29,2016-09-19
127,728,1,30,17.44,2015-05-24
128,882,6,48,16.36,2016-05-30
129,838,5,51,39.61,2015-09-14
130,166,4,53,31.72,2015-05-13
131,875,1,79,18.5,2016-04-03
132,456,3,3,44.14,2016-09-12
133,241,2,35,16.36,2016-06-13
134,111,9,56,30.84,2016-07-15
135,646,9,10,3.37,2016-05-21
136,442,9,54,43.46,2015-09-28
137,672,3,68,7.77,2016-02-21
138,624,5,49,11.81,2016-11-21
139,922,5,10,34.08,2015-01-15
140,71,2,38,10.47,2016-11-30
141,9,4,95,4.29,2016-07-19
142,494,10,8,36.17,2016-12-03
143,439,8,95,0.5,2015-01-18
144,26,10,75,43.43,2015-09-06
145,718,7,95,27.01,2015-12-31
146,537,10,15,48.23,2016-01-23
147,121,9,77,25.38,2015-08-01
148,354,6,11,26.87,2016-03-08
149,801,1,94,21.99,2015-01-29
150,394,7,4,19.78,2016-05-27
151,950,5,19,24.78,2015-09-19
152,921,6,80,7.1,2016-09-04
153,850,4,66,41.4,2016-02-24
154,223,5,77,1.6,2015-05-26
155,45,3,55,33.02,2015-07-12
156,369,6,7,28.66,2015-10-27
157,373,9,6,48.75,2015-06-25
158,240,10,66,15.86,2016-10-23
159,713,10,87,35.65,2015-05-05
160,671,6,85,12.55,2015-02-11
161,495,3,93,14.68,2016-03-29
162,905,4,26,3.03,2015-03-16
163,644,9,12,5.83,2015-08-03
164,504,7,15,19.11,2015-04-25
165,953,6,23,45.09,2016-05-27
166,184,3,24,5.93,2016-09-06
167,219,10,32,7.67,2016-05-07
168,513,10,48,23.36,2015-01-21
169,107,2,18,17.83,2015-11-10
170,793,1,81,28.23,2015-07-03
171,293,4,55,31.05,2015-03-14
172,67,1,65,41.29,2015-02-23
173,650,2,52,46.4,2015-07-31
174,779,8,29,17.11,2016-09-27
175,420,7,24,43.0,2016-10-30
176,777,10,9,11.06,2015-08-13
177,999,8,96,21.97,2016-05-10
178,803,2,38,40.32,2015-11-29
179,641,5,95,48.73,2015-12-25
180,606,3,90,45.77,2015-10-04
181,284,3,7,17.99,2016-06-10
182,8,8,55,26.01,2016-04-28
183,199,4,12,9.2,2015-06-18
184,13,1,82,14.19,2015-03-31
185,961,9,97,36.29,2016-06-14
186,333,2,61,17.18,2016-12-03
187,372,8,85,48.79,2016-09-18
188,184,5,72,25.85,2016-04-03
189,977,1,1,38.65,2015-10-28
190,545,4,91,47.71,2015-07-08
191,147,2,74,23.96,2015-10-02
192,536,3,74,4.29,2015-02-24
193,865,6,60,24.0,2015-02-07
194,84,10,73,7.28,2016-03-07
195,447,6,16,3.48,2016-10-27
196,949,1,37,12.55,2016-10-05
197,488,1,46,35.54,2015-02-12
198,71,2,13,37.69,2015-02-24
199,358,10,79,40.54,2016-10-18
200,622,6,42,13.8,2015-11-14
201,541,6,67,32.76,2015-09-27
202,108,7,73,28.52,2016-07-22
203,800,6,36,7.26,2015-02-03
204,443,2,88,16.42,2015-06-03
205,954,2,20,46.5,2016-10-17
206,195,1,30,30.81,2016-11-09
207,614,3,16,4.7,2015-06-09
208,397,2,31,21.9,2015-07-27
209,648,7,46,16.71,2015-11-24
210,458,8,87,38.44,2015-10-25
211,335,2,26,25.25,2015-07-24
212,681,8,52,34.27,2016-08-11
213,455,10,22,42.72,2015-10-26
214,746,4,10,31.28,2016-03-10
215,199,1,74,1.62,2015-02-07
216,466,2,27,40.26,2016-05-22
217,617,2,91,22.99,2015-12-18
218,907,2,50,48.3,2015-11-24
219,608,7,84,33.78,2016-03-01
220,39,7,94,35.01,2016-10-22
221,693,6,23,18.35,2015-01-04
222,96,6,27,2.14,2016-07-17
223,195,1,87,2.53,2016-05-03
224,483,2,35,22.17,2016-03-01
225,965,2,89,27.68,2015-05-15
226,350,9,72,36.94,2016-06-30
227,193,4,54,1.25,2015-11-27
228,428,9,58,42.63,2015-06-26
229,877,7,74,30.24,2015-04-04
230,284,5,93,26.92,2015-06-02
231,571,8,82,37.44,2016-09-27
232,197,5,36,9.78,2016-05-15
233,216,4,74,39.62,2015-12-14
234,470,6,60,47.65,2015-10-17
235,847,7,84,47.33,2015-01-19
236,572,3,72,21.38,2015-01-20
237,513,8,79,17.57,2016-10-10
238,404,9,98,2.08,2015-08-14
239,740,4,29,20.8,2016-06-01
240,735,6,66,41.45,2015-05-08
241,247,9,85,4.38,2016-04-28
242,251,4,18,7.73,2016-01-01
243,467,1,95,19.85,2015-03-17
244,909,7,6,8.84,2015-10-05
245,258,7,31,25.62,2016-12-15
246,596,5,16,38.84,2015-02-15
247,811,2,66,21.67,2015-09-21
248,309,5,87,42.71,2016-09-09
249,16,5,82,27.63,2015-07-28
250,688,10,34,42.62,2016-05-01
251,253,10,97,14.35,2015-01-27
252,335,1,87,46.19,2015-01-02
253,974,1,44,42.02,2015-05-23
254,225,3,15,48.27,2015-07-31
255,704,3,56,42.21,2016-02-23
256,377,3,8,13.67,2015-04-08
257,950,4,65,41.67,2016-02-27
258,958,6,1,28.59,2016-10-30
259,250,10,58,6.77,2015-07-08
260,809,4,49,46.91,2016-07-24
261,290,7,87,38.92,2015-05-29
262,402,5,52,41.18,2016-04-13
263,907,6,87,11.06,2016-03-15
264,42,6,15,31.91,2016-01-17
265,847,6,9,31.04,2015-12-07
266,46,5,62,27.55,2016-11-18
267,991,1,40,10.58,2015-11-07
268,266,4,40,36.28,2016-12-17
269,184,9,68,35.82,2015-05-04
270,77,5,64,44.94,2016-07-15
271,896,3,71,9.44,2016-06-08
272,550,10,85,17.68,2016-11-04
273,353,3,8,8.01,2016-01-17
274,530,4,87,35.31,2015-06-22
275,654,9,90,6.18,2015-02-26
276,53,1,75,10.84,2016-02-25
277,477,2,9,19.74,2015-03-11
278,299,4,39,49.34,2015-10-15
279,336,10,1,25.34,2016-06-18
280,42,1,85,13.33,2016-03-29
281,552,9,87,15.1,2016-01-17
282,494,4,59,38.93,2016-08-21
283,235,3,39,49.07,2016-05-13
284,769,2,78,47.1,2015-04-27
285,47,7,73,11.47,2015-02-18
286,201,2,87,10.5,2016-03-15
287,320,4,74,12.54,2015-04-13
288,925,9,19,9.89,2015-06-09
289,405,4,26,14.97,2016-12-08
290,333,2,100,47.94,2015-09-21
291,616,8,26,45.39,2016-03-19
292,835,7,20,25.77,2016-03-12
293,937,5,51,22.29,2016-06-27
294,824,8,15,44.51,2016-03-19
295,686,1,58,43.41,2016-10-22
296,457,9,15,12.22,2015-02-08
297,566,5,4,11.65,2016-04-24
298,460,4,7,49.13,2015-04-06
299,143,6,26,47.24,2015-01-13
300,142,1,22,9.24,2016-05-31
