id,nome,disponibilidade,performance,qualidade,oee,taxa_producao,capacidade_producao,eficiencia_linha,produtividade_mao_obra,data_registro
20,Equipamento Solda por Onda,0.82,0.78,0.96,0.8,89.41,86.74,0.94,0.74,2015-01-01 19:00:00
21,Scanner AOI,0.87,0.91,0.99,0.79,82.84,107.5,0.94,0.73,2015-01-01 20:00:00
22,Equipamento Solda por Onda,0.87,0.82,0.92,0.8,73.53,94.65,0.87,0.71,2015-01-01 21:00:00
23,Scanner AOI,0.89,0.89,0.99,0.79,84.24,89.94,0.81,0.87,2015-01-01 22:00:00
24,Inspetor Visual Otico,0.88,0.87,0.93,0.81,81.1,111.82,0.95,0.86,2015-01-01 23:00:00
25,Calibrador Robos,0.91,0.9,0.93,0.89,98.08,105.55,0.86,0.77,2015-01-02 00:00:00
26,Calibrador Robos,0.94,0.89,0.92,0.79,87.56,108.23,0.84,0.88,2015-01-02 01:00:00
27,Inspetor Visual Otico,0.87,0.79,0.95,0.88,80.55,98.45,0.88,0.81,2015-01-02 02:00:00
28,Testador Circuito SMT,0.83,0.89,0.94,0.82,89.83,88.53,0.88,0.88,2015-01-02 03:00:00
29,Inspetor Visual Otico,0.93,0.76,0.98,0.88,84.4,81.6,0.84,0.78,2015-01-02 04:00:00
30,Equipamento Solda por Onda,0.8,0.87,0.93,0.84,82.47,108.94,0.82,0.89,2015-01-02 05:00:00
31,Medidor Corrente,0.94,0.85,0.94,0.78,71.5,92.63,0.82,0.77,2015-01-02 06:00:00
32,Medidor Corrente,0.85,0.77,0.92,0.83,73.9,89.92,0.91,0.86,2015-01-02 07:00:00
33,Testador Circuito SMT,0.81,0.77,0.96,0.76,70.32,105.25,0.81,0.85,2015-01-02 08:00:00
34,Scanner AOI,0.88,0.85,0.94,0.88,90.7,108.32,0.94,0.72,2015-01-02 09:00:00
35,Equipamento Solda por Refusao,0.87,0.86,0.92,0.89,75.14,115.4,0.92,0.85,2015-01-02 10:00:00
36,Equipamento Solda por Refusao,0.86,0.79,0.98,0.85,90.25,91.31,0.93,0.84,2015-01-02 11:00:00
37,Calibrador Robos,0.95,0.79,0.94,0.88,84.63,95.79,0.82,0.73,2015-01-02 12:00:00
38,Testador Circuito SMT,0.81,0.75,0.91,0.81,99.45,115.07,0.87,0.76,2015-01-02 13:00:00
39,Medidor Corrente,0.85,0.76,0.97,0.77,70.07,108.3,0.9,0.75,2015-01-02 14:00:00
40,Equipamento Solda por Onda,0.81,0.76,0.94,0.85,95.22,84.29,0.85,0.76,2015-01-02 15:00:00
41,Scanner AOI,0.87,0.88,0.96,0.8,87.04,94.56,0.85,0.77,2015-01-02 16:00:00
42,Testador Circuito SMT,0.91,0.85,0.94,0.75,96.97,100.74,0.83,0.88,2015-01-02 17:00:00
43,Scanner AOI,0.87,0.79,0.97,0.78,83.86,110.83,0.95,0.76,2015-01-02 18:00:00
44,Medidor Corrente,0.92,0.91,0.91,0.9,77.37,112.78,0.84,0.9,2015-01-02 19:00:00
45,Equipamento Solda por Onda,0.9,0.9,0.97,0.83,79.0,108.93,0.85,0.83,2015-01-02 20:00:00
46,Scanner AOI,0.85,0.87,0.97,0.88,70.6,87.92,0.81,0.86,2015-01-02 21:00:00
47,Equipamento Solda por Refusao,0.8,0.9,0.95,0.86,94.37,112.33,0.84,0.88,2015-01-02 22:00:00
48,Equipamento Solda por Refusao,0.88,0.77,0.9,0.89,92.85,95.36,0.81,0.88,2015-01-02 23:00:00
49,Calibrador Robos,0.89,0.87,0.94,0.82,84.32,102.32,0.91,0.72,2015-01-03 00:00:00
50,Calibrador Robos,0.95,0.77,0.95,0.76,89.33,101.15,0.91,0.71,2015-01-03 01:00:00
51,Scanner AOI,0.83,0.85,0.98,0.82,74.74,115.13,0.83,0.83,2015-01-03 02:00:00
52,Equipamento Solda por Onda,0.81,0.83,0.96,0.77,85.31,88.7,0.83,0.83,2015-01-03 03:00:00
53,Testador Circuito SMT,0.87,0.83,0.92,0.84,83.21,101.53,0.9,0.88,2015-01-03 04:00:00
54,Equipamento Solda por Onda,0.92,0.76,0.96,0.77,93.76,118.2,0.85,0.86,2015-01-03 05:00:00
55,Testador Circuito SMT,0.88,0.87,0.9,0.79,86.18,87.01,0.85,0.73,2015-01-03 06:00:00
56,Medidor Corrente,0.88,0.76,0.93,0.88,94.76,115.68,0.91,0.84,2015-01-03 07:00:00
57,Calibrador Robos,0.93,0.82,0.99,0.8,77.91,95.97,0.89,0.82,2015-01-03 08:00:00
58,Testador Circuito SMT,0.89,0.76,0.95,0.85,80.01,106.28,0.87,0.88,2015-01-03 09:00:00
59,Equipamento Solda por Refusao,0.85,0.84,0.91,0.79,96.36,106.13,0.87,0.77,2015-01-03 10:00:00
60,Testador Circuito SMT,0.82,0.87,0.92,0.81,83.95,98.19,0.9,0.85,2015-01-03 11:00:00
61,Equipamento Solda por Refusao,0.84,0.78,0.98,0.89,92.89,90.32,0.94,0.77,2015-01-03 12:00:00
62,Inspetor Visual Otico,0.89,0.9,0.96,0.78,83.87,93.44,0.86,0.77,2015-01-03 13:00:00
63,Inspetor Visual Otico,0.95,0.79,0.92,0.75,77.67,82.66,0.89,0.75,2015-01-03 14:00:00
64,Calibrador Robos,0.93,0.76,0.91,0.88,89.99,92.37,0.94,0.87,2015-01-03 15:00:00
65,Equipamento Solda por Refusao,0.88,0.82,0.97,0.77,90.9,102.64,0.92,0.78,2015-01-03 16:00:00
66,Equipamento Solda por Onda,0.9,0.85,0.9,0.82,88.35,92.9,0.95,0.79,2015-01-03 17:00:00
67,Calibrador Robos,0.86,0.82,0.96,0.78,94.48,118.5,0.94,0.88,2015-01-03 18:00:00
68,Calibrador Robos,0.92,0.83,0.93,0.81,74.76,102.23,0.95,0.86,2015-01-03 19:00:00
69,Calibrador Robos,0.82,0.9,0.95,0.8,83.23,104.86,0.85,0.89,2015-01-03 20:00:00
70,Equipamento Solda por Refusao,0.88,0.84,0.92,0.88,81.42,117.51,0.89,0.71,2015-01-03 21:00:00
71,Inspetor Visual Otico,0.86,0.8,0.98,0.78,95.41,113.98,0.89,0.8,2015-01-03 22:00:00
72,Medidor Corrente,0.87,0.81,0.99,0.8,89.67,110.3,0.93,0.75,2015-01-03 23:00:00
73,Scanner AOI,0.92,0.88,0.91,0.89,99.04,88.04,0.81,0.75,2015-01-04 00:00:00
74,Scanner AOI,0.93,0.86,0.92,0.85,85.86,119.69,0.81,0.75,2015-01-04 01:00:00
75,Medidor Corrente,0.91,0.88,0.99,0.87,81.81,83.07,0.9,0.75,2015-01-04 02:00:00
76,Testador Circuito SMT,0.85,0.84,0.9,0.83,92.1,80.22,0.82,0.88,2015-01-04 03:00:00
77,Testador Circuito SMT,0.86,0.85,0.91,0.85,99.1,104.74,0.93,0.74,2015-01-04 04:00:00
78,Medidor Corrente,0.9,0.77,0.93,0.81,94.11,87.74,0.93,0.83,2015-01-04 05:00:00
79,Equipamento Solda por Onda,0.83,0.82,0.98,0.77,95.8,89.8,0.9,0.82,2015-01-04 06:00:00
80,Equipamento Solda por Refusao,0.82,0.82,0.95,0.88,82.79,115.91,0.86,0.8,2015-01-04 07:00:00
81,Testador Circuito SMT,0.92,0.83,0.93,0.88,89.96,102.89,0.82,0.9,2015-01-04 08:00:00
82,Medidor Corrente,0.92,0.82,0.95,0.86,74.93,81.52,0.89,0.83,2015-01-04 09:00:00
83,Scanner AOI,0.93,0.78,0.94,0.84,77.37,80.51,0.8,0.84,2015-01-04 10:00:00
84,Scanner AOI,0.93,0.83,0.91,0.84,88.44,98.57,0.95,0.82,2015-01-04 11:00:00
85,Medidor Corrente,0.82,0.77,0.91,0.8,71.26,107.07,0.92,0.88,2015-01-04 12:00:00
86,Equipamento Solda por Refusao,0.89,0.87,0.97,0.87,99.3,92.74,0.82,0.72,2015-01-04 13:00:00
87,Testador Circuito SMT,0.84,0.91,0.97,0.88,78.07,80.99,0.89,0.82,2015-01-04 14:00:00
88,Medidor Corrente,0.93,0.85,0.91,0.84,93.27,85.7,0.85,0.76,2015-01-04 15:00:00
89,Inspetor Visual Otico,0.81,0.87,0.97,0.77,91.07,99.51,0.94,0.76,2015-01-04 16:00:00
90,Testador Circuito SMT,0.93,0.88,0.99,0.9,90.72,91.05,0.94,0.78,2015-01-04 17:00:00
91,Equipamento Solda por Refusao,0.82,0.82,0.99,0.81,85.0,84.92,0.83,0.75,2015-01-04 18:00:00
92,Scanner AOI,0.87,0.84,0.93,0.8,86.1,85.91,0.94,0.8,2015-01-04 19:00:00
93,Scanner AOI,0.86,0.86,0.91,0.76,92.83,94.63,0.88,0.76,2015-01-04 20:00:00
94,Equipamento Solda por Onda,0.94,0.83,0.92,0.77,77.79,110.81,0.91,0.82,2015-01-04 21:00:00
95,Testador Circuito SMT,0.93,0.79,0.97,0.76,79.76,81.59,0.9,0.73,2015-01-04 22:00:00
96,Inspetor Visual Otico,0.9,0.83,0.92,0.87,84.17,86.02,0.84,0.76,2015-01-04 23:00:00
97,Calibrador Robos,0.86,0.81,0.92,0.75,93.47,107.37,0.84,0.75,2015-01-05 00:00:00
98,Inspetor Visual Otico,0.89,0.88,0.97,0.88,89.29,90.48,0.84,0.78,2015-01-05 01:00:00
99,Equipamento Solda por Onda,0.94,0.86,0.95,0.79,84.05,100.43,0.93,0.85,2015-01-05 02:00:00
100,Equipamento Solda por Refusao,0.86,0.79,0.93,0.82,87.52,96.57,0.82,0.72,2015-01-05 03:00:00
101,Scanner AOI,0.86,0.82,0.98,0.88,99.64,82.06,0.81,0.71,2015-01-05 04:00:00
102,Scanner AOI,0.94,0.83,0.93,0.76,73.51,107.15,0.87,0.8,2015-01-05 05:00:00
103,Equipamento Solda por Refusao,0.84,0.85,0.99,0.87,81.02,110.79,0.87,0.88,2015-01-05 06:00:00
104,Scanner AOI,0.81,0.79,0.93,0.85,75.8,116.1,0.81,0.78,2015-01-05 07:00:00
105,Inspetor Visual Otico,0.92,0.86,0.95,0.81,95.93,107.92,0.92,0.7,2015-01-05 08:00:00
106,Scanner AOI,0.84,0.84,0.95,0.81,85.12,112.26,0.89,0.83,2015-01-05 09:00:00
107,Scanner AOI,0.91,0.81,0.91,0.77,98.48,113.87,0.85,0.74,2015-01-05 10:00:00
108,Testador Circuito SMT,0.87,0.83,0.91,0.79,72.36,96.91,0.94,0.81,2015-01-05 11:00:00
109,Equipamento Solda por Onda,0.92,0.91,0.98,0.8,85.0,84.51,0.81,0.84,2015-01-05 12:00:00
110,Inspetor Visual Otico,0.81,0.89,0.94,0.89,80.3,85.24,0.82,0.76,2015-01-05 13:00:00
111,Equipamento Solda por Onda,0.84,0.84,0.98,0.87,83.96,112.33,0.84,0.74,2015-01-05 14:00:00
112,Equipamento Solda por Refusao,0.94,0.91,0.91,0.9,96.65,117.29,0.83,0.79,2015-01-05 15:00:00
113,Equipamento Solda por Refusao,0.89,0.89,0.9,0.84,86.59,106.03,0.9,0.75,2015-01-05 16:00:00
114,Calibrador Robos,0.93,0.82,0.94,0.83,96.65,90.65,0.87,0.82,2015-01-05 17:00:00
115,Equipamento Solda por Refusao,0.85,0.79,0.91,0.79,92.96,87.07,0.83,0.76,2015-01-05 18:00:00
116,Testador Circuito SMT,0.82,0.92,0.99,0.85,82.79,118.88,0.85,0.74,2015-01-05 19:00:00
117,Testador Circuito SMT,0.84,0.85,0.91,0.8,85.02,100.64,0.87,0.74,2015-01-05 20:00:00
118,Testador Circuito SMT,0.94,0.76,0.97,0.8,74.27,112.77,0.9,0.8,2015-01-05 21:00:00
119,Equipamento Solda por Refusao,0.8,0.82,0.96,0.85,77.46,107.8,0.87,0.77,2015-01-05 22:00:00
120,Equipamento Solda por Refusao,0.83,0.87,0.94,0.79,88.52,94.16,0.91,0.75,2015-01-05 23:00:00
121,Equipamento Solda por Onda,0.92,0.84,0.95,0.88,94.69,86.86,0.86,0.85,2015-01-06 00:00:00
122,Calibrador Robos,0.85,0.81,0.94,0.75,75.2,95.25,0.83,0.73,2015-01-06 01:00:00
123,Calibrador Robos,0.93,0.78,0.92,0.75,81.9,112.08,0.88,0.74,2015-01-06 02:00:00
124,Inspetor Visual Otico,0.84,0.77,0.93,0.81,87.18,90.21,0.82,0.72,2015-01-06 03:00:00
125,Scanner AOI,0.92,0.9,0.99,0.84,74.78,108.32,0.94,0.85,2015-01-06 04:00:00
126,Scanner AOI,0.8,0.78,0.93,0.81,91.23,87.08,0.84,0.87,2015-01-06 05:00:00
127,Testador Circuito SMT,0.9,0.91,0.96,0.81,97.35,82.7,0.83,0.8,2015-01-06 06:00:00
128,Medidor Corrente,0.84,0.82,0.98,0.87,91.25,87.41,0.94,0.9,2015-01-06 07:00:00
129,Equipamento Solda por Refusao,0.84,0.78,0.98,0.79,92.84,103.36,0.87,0.84,2015-01-06 08:00:00
130,Scanner AOI,0.88,0.85,0.97,0.86,74.16,108.3,0.81,0.78,2015-01-06 09:00:00
131,Equipamento Solda por Onda,0.92,0.87,0.99,0.84,80.82,105.53,0.89,0.78,2015-01-06 10:00:00
132,Testador Circuito SMT,0.82,0.81,0.93,0.81,74.4,112.7,0.88,0.81,2015-01-06 11:00:00
133,Equipamento Solda por Onda,0.91,0.85,0.96,0.77,90.97,92.08,0.83,0.9,2015-01-06 12:00:00
134,Inspetor Visual Otico,0.94,0.87,0.91,0.82,88.38,85.56,0.91,0.71,2015-01-06 13:00:00
135,Equipamento Solda por Refusao,0.83,0.77,0.93,0.9,95.1,112.49,0.87,0.72,2015-01-06 14:00:00
136,Scanner AOI,0.81,0.89,0.98,0.81,82.98,81.21,0.93,0.77,2015-01-06 15:00:00
137,Scanner AOI,0.82,0.85,0.92,0.83,94.76,84.31,0.82,0.76,2015-01-06 16:00:00
138,Equipamento Solda por Refusao,0.87,0.81,0.95,0.84,88.89,113.36,0.88,0.8,2015-01-06 17:00:00
139,Equipamento Solda por Refusao,0.89,0.9,0.99,0.9,82.92,89.58,0.84,0.7,2015-01-06 18:00:00
140,Inspetor Visual Otico,0.81,0.75,0.97,0.85,97.16,92.6,0.94,0.76,2015-01-06 19:00:00
141,Scanner AOI,0.91,0.91,0.98,0.75,74.19,114.3,0.86,0.87,2015-01-06 20:00:00
142,Inspetor Visual Otico,0.93,0.76,0.93,0.79,70.25,81.29,0.88,0.86,2015-01-06 21:00:00
143,Medidor Corrente,0.86,0.79,0.98,0.79,83.53,97.33,0.9,0.87,2015-01-06 22:00:00
144,Inspetor Visual Otico,0.94,0.91,0.95,0.84,86.69,119.02,0.88,0.78,2015-01-06 23:00:00
145,Equipamento Solda por Onda,0.83,0.9,0.97,0.84,90.72,107.21,0.89,0.79,2015-01-07 00:00:00
146,Equipamento Solda por Refusao,0.91,0.78,0.97,0.75,83.01,89.97,0.91,0.88,2015-01-07 01:00:00
147,Equipamento Solda por Onda,0.89,0.78,0.95,0.83,84.62,103.11,0.87,0.72,2015-01-07 02:00:00
148,Calibrador Robos,0.9,0.9,0.99,0.77,71.69,113.02,0.85,0.83,2015-01-07 03:00:00
149,Medidor Corrente,0.84,0.88,0.94,0.85,95.09,81.42,0.83,0.72,2015-01-07 04:00:00
150,Equipamento Solda por Onda,0.91,0.79,0.97,0.75,89.89,100.34,0.94,0.76,2015-01-07 05:00:00
151,Inspetor Visual Otico,0.88,0.81,0.94,0.79,77.92,111.06,0.82,0.85,2015-01-07 06:00:00
152,Inspetor Visual Otico,0.8,0.89,0.9,0.77,70.33,81.49,0.85,0.81,2015-01-07 07:00:00
153,Scanner AOI,0.91,0.81,0.93,0.87,98.71,107.14,0.91,0.8,2015-01-07 08:00:00
154,Scanner AOI,0.91,0.92,0.91,0.78,89.65,93.8,0.84,0.86,2015-01-07 09:00:00
155,Scanner AOI,0.86,0.82,0.93,0.84,92.25,92.53,0.81,0.8,2015-01-07 10:00:00
156,Medidor Corrente,0.87,0.89,0.95,0.83,89.14,90.24,0.82,0.83,2015-01-07 11:00:00
157,Equipamento Solda por Refusao,0.86,0.88,0.94,0.76,98.35,106.1,0.84,0.87,2015-01-07 12:00:00
158,Equipamento Solda por Refusao,0.9,0.88,0.95,0.8,90.97,91.6,0.85,0.81,2015-01-07 13:00:00
159,Equipamento Solda por Refusao,0.89,0.91,0.98,0.76,73.8,117.88,0.94,0.85,2015-01-07 14:00:00
160,Inspetor Visual Otico,0.91,0.76,0.91,0.84,71.15,97.91,0.92,0.79,2015-01-07 15:00:00
161,Calibrador Robos,0.93,0.76,0.92,0.8,89.92,82.5,0.95,0.81,2015-01-07 16:00:00
162,Scanner AOI,0.82,0.9,0.98,0.88,75.96,92.67,0.94,0.74,2015-01-07 17:00:00
163,Equipamento Solda por Refusao,0.82,0.89,0.98,0.9,87.53,104.94,0.85,0.74,2015-01-07 18:00:00
164,Equipamento Solda por Refusao,0.9,0.81,0.99,0.83,72.16,119.38,0.9,0.87,2015-01-07 19:00:00
165,Medidor Corrente,0.83,0.86,0.96,0.86,88.35,87.19,0.95,0.75,2015-01-07 20:00:00
166,Scanner AOI,0.95,0.81,0.97,0.83,94.3,92.52,0.91,0.79,2015-01-07 21:00:00
167,Calibrador Robos,0.94,0.86,0.93,0.79,75.85,101.9,0.87,0.78,2015-01-07 22:00:00
168,Testador Circuito SMT,0.84,0.78,0.95,0.84,75.9,115.27,0.85,0.86,2015-01-07 23:00:00
169,Medidor Corrente,0.87,0.9,0.91,0.86,99.93,83.4,0.83,0.82,2015-01-08 00:00:00
170,Calibrador Robos,0.93,0.77,0.9,0.81,83.41,116.83,0.83,0.77,2015-01-08 01:00:00
171,Inspetor Visual Otico,0.81,0.77,0.93,0.8,85.43,91.68,0.89,0.84,2015-01-08 02:00:00
172,Calibrador Robos,0.89,0.76,0.91,0.85,98.0,110.6,0.88,0.85,2015-01-08 03:00:00
173,Equipamento Solda por Onda,0.94,0.79,0.92,0.75,77.09,109.87,0.93,0.83,2015-01-08 04:00:00
174,Scanner AOI,0.84,0.77,0.95,0.84,83.62,100.84,0.87,0.86,2015-01-08 05:00:00
175,Calibrador Robos,0.92,0.77,0.93,0.81,84.01,101.12,0.81,0.85,2015-01-08 06:00:00
176,Inspetor Visual Otico,0.82,0.81,0.95,0.85,94.06,82.54,0.83,0.87,2015-01-08 07:00:00
177,Inspetor Visual Otico,0.83,0.86,0.96,0.79,94.26,114.85,0.88,0.86,2015-01-08 08:00:00
178,Medidor Corrente,0.94,0.86,0.91,0.84,73.76,115.73,0.84,0.88,2015-01-08 09:00:00
179,Medidor Corrente,0.84,0.8,0.92,0.8,96.19,102.0,0.85,0.83,2015-01-08 10:00:00
180,Testador Circuito SMT,0.81,0.77,0.99,0.81,81.36,93.44,0.88,0.84,2015-01-08 11:00:00
181,Testador Circuito SMT,0.88,0.86,0.94,0.77,83.16,88.55,0.82,0.71,2015-01-08 12:00:00
182,Testador Circuito SMT,0.87,0.84,0.97,0.85,82.67,110.85,0.92,0.86,2015-01-08 13:00:00
183,Medidor Corrente,0.89,0.76,0.91,0.8,78.42,100.41,0.88,0.84,2015-01-08 14:00:00
184,Testador Circuito SMT,0.81,0.8,0.94,0.81,76.86,111.25,0.9,0.73,2015-01-08 15:00:00
185,Equipamento Solda por Refusao,0.87,0.85,0.95,0.88,87.78,95.95,0.86,0.78,2015-01-08 16:00:00
186,Testador Circuito SMT,0.83,0.85,0.94,0.81,89.31,117.9,0.9,0.87,2015-01-08 17:00:00
187,Medidor Corrente,0.85,0.79,0.95,0.89,87.53,116.79,0.84,0.88,2015-01-08 18:00:00
188,Medidor Corrente,0.86,0.8,0.9,0.86,96.44,118.02,0.81,0.8,2015-01-08 19:00:00
189,Inspetor Visual Otico,0.83,0.88,0.91,0.85,98.57,94.51,0.89,0.73,2015-01-08 20:00:00
190,Calibrador Robos,0.91,0.75,0.94,0.85,72.72,90.37,0.91,0.8,2015-01-08 21:00:00
191,Calibrador Robos,0.92,0.92,0.93,0.89,97.95,105.47,0.88,0.72,2015-01-08 22:00:00
192,Calibrador Robos,0.86,0.77,0.97,0.88,82.85,92.63,0.81,0.84,2015-01-08 23:00:00
193,Calibrador Robos,0.9,0.8,0.98,0.86,94.86,118.89,0.94,0.77,2015-01-09 00:00:00
194,Equipamento Solda por Onda,0.95,0.92,0.95,0.83,73.06,88.09,0.93,0.87,2015-01-09 01:00:00
195,Medidor Corrente,0.88,0.86,0.93,0.86,91.1,91.92,0.87,0.86,2015-01-09 02:00:00
196,Calibrador Robos,0.95,0.8,0.98,0.79,71.37,117.34,0.89,0.84,2015-01-09 03:00:00
197,Scanner AOI,0.9,0.79,0.97,0.86,81.91,104.56,0.84,0.78,2015-01-09 04:00:00
198,Medidor Corrente,0.95,0.83,0.96,0.8,98.38,88.67,0.9,0.73,2015-01-09 05:00:00
199,Calibrador Robos,0.9,0.87,0.97,0.82,80.11,105.72,0.9,0.8,2015-01-09 06:00:00
200,Scanner AOI,0.9,0.87,0.98,0.85,71.39,117.34,0.88,0.82,2015-01-09 07:00:00
201,Scanner AOI,0.8,0.86,0.98,0.87,88.39,83.83,0.91,0.75,2015-01-09 08:00:00
202,Calibrador Robos,0.88,0.77,0.97,0.76,99.2,115.37,0.88,0.87,2015-01-09 09:00:00
203,Medidor Corrente,0.82,0.77,0.98,0.83,82.05,106.62,0.88,0.76,2015-01-09 10:00:00
204,Testador Circuito SMT,0.86,0.76,0.97,0.76,93.05,90.92,0.86,0.78,2015-01-09 11:00:00
205,Inspetor Visual Otico,0.92,0.8,0.95,0.77,78.58,80.06,0.88,0.71,2015-01-09 12:00:00
206,Calibrador Robos,0.86,0.75,0.92,0.87,78.45,116.37,0.82,0.87,2015-01-09 13:00:00
207,Medidor Corrente,0.91,0.75,0.93,0.86,95.62,100.37,0.87,0.71,2015-01-09 14:00:00
208,Equipamento Solda por Refusao,0.93,0.76,0.94,0.82,95.9,103.67,0.93,0.77,2015-01-09 15:00:00
209,Testador Circuito SMT,0.85,0.77,0.96,0.87,90.69,90.14,0.95,0.7,2015-01-09 16:00:00
210,Medidor Corrente,0.92,0.76,0.94,0.76,74.77,104.53,0.81,0.82,2015-01-09 17:00:00
211,Medidor Corrente,0.86,0.9,0.92,0.77,84.16,92.03,0.88,0.75,2015-01-09 18:00:00
212,Medidor Corrente,0.9,0.89,0.98,0.84,77.01,110.0,0.81,0.73,2015-01-09 19:00:00
213,Calibrador Robos,0.83,0.8,0.94,0.84,89.85,119.33,0.87,0.86,2015-01-09 20:00:00
214,Equipamento Solda por Onda,0.83,0.83,0.97,0.87,77.91,119.71,0.93,0.72,2015-01-09 21:00:00
215,Equipamento Solda por Onda,0.86,0.76,0.91,0.87,73.12,111.26,0.88,0.84,2015-01-09 22:00:00
216,Testador Circuito SMT,0.89,0.88,0.92,0.76,79.36,105.48,0.88,0.85,2015-01-09 23:00:00
217,Calibrador Robos,0.93,0.76,0.96,0.76,83.54,95.1,0.84,0.71,2015-01-10 00:00:00
218,Testador Circuito SMT,0.89,0.89,0.94,0.87,88.65,82.76,0.95,0.78,2015-01-10 01:00:00
219,Testador Circuito SMT,0.81,0.84,0.97,0.9,99.95,94.11,0.88,0.84,2015-01-10 02:00:00
220,Equipamento Solda por Onda,0.89,0.91,0.97,0.83,92.27,86.17,0.81,0.85,2015-01-10 03:00:00
221,Calibrador Robos,0.8,0.91,0.98,0.76,97.7,101.44,0.91,0.7,2015-01-10 04:00:00
222,Equipamento Solda por Refusao,0.88,0.85,0.97,0.82,70.39,91.71,0.87,0.81,2015-01-10 05:00:00
223,Equipamento Solda por Onda,0.92,0.83,0.94,0.8,74.34,81.15,0.86,0.86,2015-01-10 06:00:00
224,Equipamento Solda por Refusao,0.87,0.76,0.92,0.83,95.08,94.26,0.9,0.76,2015-01-10 07:00:00
225,Scanner AOI,0.86,0.89,0.93,0.83,74.57,91.28,0.93,0.84,2015-01-10 08:00:00
226,Equipamento Solda por Refusao,0.85,0.91,0.97,0.78,87.38,81.83,0.88,0.88,2015-01-10 09:00:00
227,Calibrador Robos,0.89,0.87,0.96,0.8,84.83,107.35,0.83,0.89,2015-01-10 10:00:00
228,Scanner AOI,0.84,0.77,0.9,0.79,92.01,95.7,0.94,0.79,2015-01-10 11:00:00
229,Inspetor Visual Otico,0.89,0.81,0.91,0.87,93.48,95.46,0.85,0.85,2015-01-10 12:00:00
230,Inspetor Visual Otico,0.89,0.82,0.94,0.86,90.51,94.2,0.87,0.88,2015-01-10 13:00:00
231,Equipamento Solda por Onda,0.8,0.75,0.9,0.8,96.32,116.67,0.83,0.77,2015-01-10 14:00:00
232,Equipamento Solda por Onda,0.91,0.86,0.92,0.79,80.69,102.18,0.83,0.73,2015-01-10 15:00:00
233,Scanner AOI,0.81,0.77,0.91,0.86,77.7,109.2,0.87,0.72,2015-01-10 16:00:00
234,Equipamento Solda por Refusao,0.82,0.77,0.94,0.78,75.42,119.7,0.83,0.78,2015-01-10 17:00:00
235,Scanner AOI,0.81,0.91,0.91,0.82,80.35,106.47,0.9,0.82,2015-01-10 18:00:00
236,Medidor Corrente,0.94,0.87,0.96,0.79,77.74,85.05,0.94,0.89,2015-01-10 19:00:00
237,Testador Circuito SMT,0.91,0.79,0.92,0.78,71.95,96.85,0.82,0.84,2015-01-10 20:00:00
238,Equipamento Solda por Refusao,0.94,0.78,0.94,0.81,77.46,88.54,0.83,0.73,2015-01-10 21:00:00
239,Equipamento Solda por Refusao,0.9,0.83,0.98,0.81,75.8,87.08,0.85,0.82,2015-01-10 22:00:00
240,Calibrador Robos,0.87,0.78,0.96,0.88,91.65,89.01,0.89,0.83,2015-01-10 23:00:00
