consumo_id,registro_id,material_id,lote_material_id,quantidade_consumida,data_registro
120,33770,6,33,30.71,2019-09-13
121,81678,5,33,19.51,2017-11-18
122,68598,7,72,31.64,2020-01-22
123,59406,6,3,40.21,2017-03-31
124,44770,5,59,13.03,2020-01-18
125,108899,6,34,32.22,2017-02-11
126,57683,3,127,25.43,2018-03-12
127,74761,1,15,20.35,2018-01-04
128,71182,6,143,14.95,2020-09-25
129,53430,8,85,37.96,2018-04-17
130,16534,3,154,39.93,2019-01-19
131,106035,8,150,7.46,2018-08-29
132,56150,8,169,49.58,2017-07-26
133,118090,5,79,27.77,2019-01-21
134,116355,4,102,19.24,2019-05-03
135,130093,9,90,20.54,2019-04-21
136,39173,1,19,23.76,2020-09-16
137,120369,6,82,35.95,2020-06-21
138,7193,6,156,19.89,2019-10-24
139,15255,10,194,9.11,2018-01-28
140,57546,6,178,14.31,2020-07-27
141,122204,7,13,36.36,2019-07-30
142,98324,2,4,25.39,2018-10-19
143,77866,7,184,43.92,2019-06-25
144,32149,10,60,40.14,2018-04-10
145,15737,4,140,38.01,2017-06-24
146,129389,2,32,29.95,2020-09-13
147,115364,1,4,11.76,2018-01-03
148,86187,6,98,4.79,2018-10-14
149,105236,10,135,45.84,2020-02-18
150,46499,5,114,25.79,2020-03-22
151,69750,4,91,40.59,2017-04-03
152,88932,5,47,14.04,2017-01-24
153,11780,3,116,40.04,2020-09-10
154,14762,1,176,48.24,2017-12-17
155,97282,1,47,20.06,2018-04-12
156,21318,5,52,24.68,2020-11-14
157,27048,6,5,44.54,2017-01-28
158,127531,7,182,20.12,2019-02-10
159,35489,9,41,21.73,2017-02-01
160,99004,4,192,39.04,2020-09-05
161,79368,2,85,40.82,2020-12-11
162,40091,5,193,26.55,2017-08-31
163,115608,2,101,18.64,2019-07-04
164,88464,9,47,31.66,2019-06-01
165,4701,10,10,12.12,2019-08-03
166,46856,7,170,6.85,2020-09-13
167,6474,8,23,30.05,2019-10-09
168,120002,8,186,22.29,2019-08-15
169,58026,2,39,26.71,2018-06-15
170,100843,1,112,15.4,2020-01-23
171,103217,8,118,34.66,2020-01-09
172,63664,8,25,43.55,2019-02-19
173,100633,8,147,3.32,2020-05-13
174,71919,6,160,19.09,2017-05-11
175,61546,9,96,45.47,2017-11-27
176,8338,8,33,6.61,2018-07-29
177,77053,9,120,16.58,2020-02-05
178,48998,5,165,4.6,2019-07-28
179,90983,2,119,38.16,2018-09-19
180,110618,9,103,7.1,2017-08-30
181,77467,8,66,30.55,2019-06-12
182,137355,3,35,32.12,2019-05-18
183,86649,4,141,33.89,2020-04-07
184,11926,2,38,30.86,2019-07-07
185,136753,9,25,31.89,2017-08-01
186,74868,4,103,42.12,2017-09-05
187,75074,10,58,26.35,2020-06-08
188,89481,6,43,27.72,2017-05-15
189,31265,3,179,31.23,2019-02-17
190,27074,10,45,31.1,2017-06-11
191,127042,2,177,12.21,2019-09-08
192,70778,1,87,45.2,2020-02-15
193,9263,7,20,0.9,2017-03-08
194,25002,2,32,29.72,2018-01-30
195,61391,10,23,28.39,2019-12-28
196,131467,7,19,36.42,2020-03-10
197,50545,3,131,45.97,2019-09-26
198,106217,6,86,7.01,2019-12-13
199,48721,7,12,5.76,2019-08-24
200,92932,6,52,46.16,2019-04-30
201,75845,8,108,28.43,2017-03-17
202,6499,9,92,15.46,2018-10-22
203,66975,10,66,22.89,2019-12-17
204,33756,4,128,33.78,2018-08-10
205,74090,5,181,40.44,2017-11-04
206,14097,3,154,46.72,2020-03-18
207,138014,4,4,39.5,2018-06-14
208,69071,8,53,37.22,2018-07-28
209,28874,2,167,36.95,2018-11-25
210,68022,9,150,37.13,2020-08-14
211,8894,10,67,44.39,2020-03-23
212,20106,4,100,46.39,2020-10-22
213,1803,4,74,15.35,2017-09-22
214,9271,4,17,48.13,2017-07-18
215,18204,3,120,5.5,2019-03-17
216,98128,9,66,16.61,2019-11-10
217,28198,7,130,24.1,2020-07-20
218,107804,9,129,36.15,2017-12-01
219,43495,8,107,27.28,2018-02-07
220,111593,2,91,4.03,2018-09-27
221,112510,6,11,25.66,2020-06-20
222,20869,3,22,2.39,2017-07-30
223,79365,7,98,20.19,2019-03-30
224,99290,3,18,24.58,2020-04-26
225,33973,4,98,23.18,2017-04-04
226,17839,6,32,11.92,2019-10-30
227,31740,1,151,1.8,2018-01-14
228,132092,8,134,31.48,2019-01-11
229,133066,3,35,44.29,2018-05-31
230,67584,3,173,6.39,2020-05-31
231,105180,8,196,17.9,2020-07-02
232,106935,3,109,39.07,2017-06-17
233,114075,6,40,8.4,2018-04-05
234,117479,1,178,0.25,2018-08-21
235,19643,7,63,29.05,2019-09-10
236,134892,4,176,1.97,2018-11-29
237,85824,1,2,0.18,2019-08-13
238,135868,6,116,12.27,2019-06-22
239,96338,4,199,30.41,2017-10-16
240,125555,5,55,49.11,2020-12-21
241,128936,9,192,24.65,2017-09-06
242,113456,3,35,1.55,2020-06-30
243,39866,7,39,22.18,2019-07-25
244,111162,7,107,46.69,2018-03-22
245,41087,2,189,34.38,2018-01-06
246,59090,3,169,30.18,2020-05-05
247,45483,10,180,24.81,2019-04-01
248,102051,6,115,35.63,2017-07-03
249,107335,2,114,43.64,2018-05-02
250,6463,7,195,14.59,2019-10-09
251,55106,1,41,15.24,2017-07-12
252,57147,5,34,49.5,2019-11-22
253,30751,1,89,41.48,2020-05-25
254,113086,1,49,40.02,2018-10-30
255,91813,3,59,6.52,2019-08-15
256,27856,3,142,20.91,2017-04-09
257,70185,1,86,37.99,2018-09-10
258,87741,3,16,42.33,2020-06-27
259,102044,1,22,8.5,2020-06-26
260,30247,8,23,10.85,2019-05-11
261,105828,1,72,40.06,2019-08-27
262,131134,10,19,18.26,2020-07-11
263,68203,1,113,0.36,2017-05-03
264,60508,8,174,42.11,2019-05-14
265,34537,5,85,40.91,2017-04-29
266,138101,2,170,43.48,2017-10-11
267,29803,9,162,48.56,2020-07-05
268,34961,8,144,31.58,2017-10-23
269,30633,10,155,39.78,2019-12-01
270,101414,8,41,28.35,2020-05-16
271,116036,7,146,6.75,2019-12-22
272,50252,9,28,4.75,2017-06-08
273,94648,10,133,7.78,2020-09-08
274,91321,1,28,2.11,2019-06-13
275,73655,9,191,29.88,2018-05-21
276,101397,9,199,21.74,2020-05-10
277,10643,7,3,6.04,2018-04-12
278,87015,8,17,22.36,2018-12-24
279,94123,5,65,49.27,2017-01-12
280,29254,5,166,35.95,2019-08-26
281,432,3,192,16.48,2019-05-13
282,127536,10,110,32.33,2017-08-14
283,48670,3,3,16.39,2019-01-26
284,46217,4,156,13.99,2019-03-28
285,99345,6,134,15.14,2017-10-08
286,37429,10,189,40.58,2019-12-19
287,128878,1,132,49.79,2017-02-05
288,32658,3,121,17.21,2019-03-12
289,65497,3,19,36.1,2018-11-08
290,105448,2,171,43.46,2019-05-10
291,119489,10,14,29.35,2019-12-15
292,94599,2,18,48.93,2018-02-25
293,16423,3,180,23.96,2017-04-21
294,97984,6,132,44.45,2019-02-18
295,36367,7,152,20.2,2019-06-25
296,89666,5,15,36.57,2017-06-05
297,43084,10,7,49.91,2019-05-10
298,113152,8,142,42.99,2020-03-26
299,85704,3,180,30.81,2019-04-13
300,134906,6,60,21.67,2017-11-16
301,1829,9,124,49.45,2019-05-05
302,57926,1,90,33.57,2017-07-20
303,91341,2,128,11.34,2017-01-27
304,65242,2,182,15.91,2017-04-19
305,97080,9,159,50.0,2018-03-27
306,32724,4,79,31.33,2019-01-02
307,113979,3,182,8.08,2017-10-31
308,37795,8,46,2.89,2020-02-12
309,54885,4,31,42.06,2020-08-03
310,39732,4,193,41.48,2017-05-30
311,56900,10,27,23.52,2020-08-22
312,70990,8,121,25.61,2019-10-26
313,31406,7,10,44.42,2018-02-04
314,52028,3,92,38.87,2018-08-31
315,138665,3,111,28.57,2017-01-19
316,36377,5,111,14.95,2020-07-01
317,31629,6,184,5.48,2017-02-17
318,136625,4,176,31.57,2017-10-22
319,20107,9,163,37.26,2019-04-02
320,2888,1,30,11.86,2020-04-20
321,50117,4,151,10.79,2020-07-11
322,11066,5,138,17.99,2019-02-17
323,38604,7,37,30.51,2018-06-12
324,82567,4,200,43.89,2017-10-11
325,117163,6,41,7.97,2018-03-07
326,78508,4,117,24.21,2018-07-24
327,132942,6,7,17.52,2018-12-28
328,1280,5,46,22.58,2019-12-26
329,96542,10,168,47.6,2018-04-11
330,100712,8,25,9.49,2018-05-01
331,79685,4,65,17.72,2017-04-10
332,139787,1,51,48.38,2017-08-17
333,50383,9,186,46.95,2018-03-19
334,127889,6,194,21.39,2020-06-15
335,116496,9,133,38.44,2018-03-25
336,36199,8,190,5.55,2017-07-22
337,132378,5,87,24.33,2017-12-18
338,106173,1,12,2.91,2019-11-08
339,49984,9,165,9.57,2018-02-09
340,8657,4,107,16.77,2017-05-01
341,83144,3,133,21.48,2019-01-30
342,135436,10,193,6.4,2019-10-20
343,9224,9,92,26.53,2018-12-19
344,90528,1,178,5.58,2019-05-31
345,47742,6,45,5.27,2017-08-22
346,67920,2,177,29.54,2020-12-23
347,110765,2,140,8.55,2018-03-01
348,20939,9,50,49.41,2020-07-13
349,65975,9,52,36.96,2018-12-27
350,16655,1,73,8.86,2017-12-13
351,82878,9,36,22.51,2019-09-19
352,6354,8,137,40.46,2020-08-17
353,89749,3,129,19.57,2017-02-15
354,20411,4,91,39.92,2018-01-30
355,60507,2,39,9.9,2020-03-19
356,4924,5,123,46.42,2017-10-20
357,94981,4,44,6.9,2018-05-28
358,64895,5,172,5.43,2020-12-29
359,29661,4,127,11.01,2017-05-30
360,45759,2,139,43.26,2020-03-23
361,118620,9,142,40.38,2018-10-04
362,61039,7,166,41.45,2020-11-16
363,129890,8,100,49.22,2020-04-12
364,45598,10,125,45.96,2020-06-14
365,20461,5,197,29.14,2019-06-09
366,121248,5,187,12.92,2019-10-08
367,91340,9,143,27.74,2018-08-07
368,111934,6,106,36.46,2017-11-04
369,26429,4,188,49.75,2019-08-08
370,89896,2,100,14.28,2018-11-09
371,15328,9,81,45.26,2017-11-30
372,101002,6,193,39.08,2017-07-30
373,127226,5,38,32.78,2019-05-03
374,124495,9,57,4.21,2017-03-28
375,45154,4,135,11.79,2020-04-28
376,107046,1,192,21.33,2019-01-03
377,37876,10,22,23.9,2018-08-31
378,82010,3,180,21.51,2019-01-10
379,19005,2,191,24.26,2017-11-11
380,6554,7,68,48.15,2020-08-09
381,100128,10,182,38.54,2017-05-16
382,132973,8,128,48.72,2017-10-12
383,48215,3,176,35.22,2019-02-10
384,74994,2,23,49.1,2019-02-03
385,50405,3,81,31.76,2020-08-25
386,105396,6,175,40.37,2020-09-15
387,72534,1,74,6.75,2018-09-27
388,127223,2,11,37.63,2018-03-07
389,51887,3,18,12.64,2018-10-23
390,117018,6,54,32.81,2018-10-18
391,85965,10,179,4.71,2019-06-06
392,24304,9,63,38.2,2017-03-05
393,60848,7,129,19.07,2019-11-08
394,8242,8,97,36.12,2019-07-16
395,80243,9,106,40.85,2018-03-06
396,103148,7,168,28.91,2018-08-04
397,64160,9,19,17.91,2018-08-29
398,135149,9,65,2.13,2018-05-17
399,49435,5,149,1.56,2019-10-24
400,18886,6,145,19.46,2017-05-31
401,104961,8,20,14.97,2019-05-09
402,44864,6,51,37.54,2018-10-29
403,87627,3,5,7.24,2019-04-22
404,45177,6,141,20.0,2020-05-23
405,125755,5,75,5.89,2019-08-19
406,26080,2,15,35.89,2020-12-31
407,81294,4,146,18.13,2020-07-19
408,111917,5,119,30.1,2019-03-18
409,34394,1,182,9.71,2019-09-26
410,79052,3,52,35.8,2018-08-10
411,33656,10,44,36.54,2018-10-26
412,44994,9,178,14.92,2019-03-10
413,161,9,95,43.72,2017-11-08
414,83364,7,167,9.33,2018-03-30
415,138791,4,1,14.45,2020-02-19
416,60825,2,136,38.14,2017-10-09
417,97357,7,64,28.86,2020-05-26
418,87465,5,90,28.47,2020-01-22
419,124342,7,28,7.02,2017-02-19
420,72446,10,45,21.85,2018-11-23
421,113981,1,159,13.52,2017-09-06
422,111512,3,101,1.24,2018-08-10
423,106728,6,141,3.89,2020-05-15
424,55979,6,170,48.14,2019-04-02
425,139835,3,188,30.17,2019-11-27
426,20574,3,39,46.62,2020-01-14
427,115548,2,123,16.69,2017-09-23
428,13608,1,11,45.64,2020-07-28
429,101650,6,26,23.28,2020-01-07
430,130738,6,41,31.91,2018-04-25
431,24386,9,75,39.76,2019-02-10
432,76197,3,73,0.82,2018-11-09
433,10321,4,102,12.31,2018-01-28
434,29864,8,27,5.28,2018-09-30
435,71307,5,58,19.07,2018-02-26
436,80686,5,130,32.36,2018-09-29
437,84789,9,58,45.44,2017-01-28
438,63974,4,3,13.21,2018-01-22
439,2546,10,72,18.57,2017-09-14
440,72484,7,193,49.69,2020-02-23
441,72214,4,157,7.71,2019-11-13
442,43003,1,109,4.62,2020-09-15
443,2274,9,115,17.8,2020-12-23
444,81126,8,77,48.15,2019-07-30
445,44731,7,17,41.48,2018-06-12
446,95087,10,48,35.63,2018-09-01
447,52454,4,169,27.19,2018-12-15
448,3150,7,50,20.92,2020-06-22
449,134404,6,60,29.92,2020-05-05
450,83742,7,88,46.7,2019-01-10
451,1283,10,101,9.6,2018-11-01
452,136621,6,19,37.86,2019-07-20
453,33622,5,39,27.99,2017-11-16
454,81750,8,70,28.25,2017-10-04
455,38271,10,194,49.48,2017-01-14
456,12239,6,156,32.23,2020-09-07
457,126691,2,80,18.13,2020-12-21
458,131084,9,168,36.31,2020-05-23
459,105820,4,91,6.43,2020-12-06
460,16515,8,56,38.28,2020-06-08
461,14141,1,70,29.7,2018-07-14
462,73167,7,117,25.16,2019-05-05
463,43697,8,37,8.83,2020-12-01
464,112437,4,122,6.68,2020-09-17
465,114734,1,13,25.9,2017-12-17
466,38020,9,91,27.18,2018-04-14
467,54640,3,126,16.02,2018-04-30
468,64588,10,125,9.32,2018-12-31
469,101628,10,125,1.22,2018-07-04
470,61396,5,182,18.46,2017-02-17
471,129869,7,166,16.3,2019-10-04
472,43087,3,48,0.3,2017-12-01
473,96768,9,60,32.7,2018-06-21
474,139874,1,50,23.85,2017-03-08
475,86506,9,97,35.43,2019-01-14
476,80479,4,163,15.57,2020-08-25
477,50701,8,176,32.25,2018-10-19
478,56293,3,144,29.39,2020-03-27
479,52599,5,80,27.73,2020-03-20
480,70579,6,86,3.06,2017-12-06
481,30218,9,194,43.9,2017-10-30
482,39013,9,138,38.98,2019-05-21
483,17142,7,62,22.37,2019-12-22
484,3343,7,36,31.74,2020-05-15
485,139219,4,16,4.03,2018-09-09
486,108912,3,153,40.78,2019-08-30
487,97679,10,158,20.49,2020-06-14
488,30309,2,96,15.39,2017-11-27
489,62915,3,94,37.2,2019-08-28
490,34552,3,166,14.55,2019-06-05
491,80044,3,15,29.4,2017-12-30
492,83343,5,134,16.71,2020-04-26
493,34707,8,42,24.77,2020-10-07
494,1537,1,12,0.93,2020-04-18
495,50446,1,58,42.39,2020-10-15
496,62226,8,167,48.95,2019-01-04
497,113715,8,73,37.46,2019-06-28
498,15255,5,101,21.97,2018-06-13
499,4122,3,105,36.86,2020-12-09
500,19064,5,199,2.8,2018-11-21
501,85254,3,68,34.86,2018-08-03
502,59475,1,167,44.94,2020-05-22
503,41208,3,132,4.58,2017-08-18
504,51038,5,116,3.66,2019-10-05
505,14773,7,97,8.85,2017-06-04
506,24533,2,197,4.42,2020-05-05
507,45687,3,124,20.77,2019-11-02
508,18836,4,76,49.93,2017-07-09
509,59809,9,63,0.49,2017-02-17
510,21323,1,135,30.85,2018-05-27
511,76173,5,105,27.51,2019-06-01
512,103906,1,166,9.13,2018-07-17
513,23928,7,38,41.78,2017-11-11
514,123363,4,128,41.39,2019-04-10
515,31880,1,37,6.22,2020-10-19
516,44339,3,183,42.43,2019-08-29
517,17794,6,173,36.8,2018-02-07
518,23176,1,17,13.16,2017-01-18
519,85400,8,12,48.13,2019-07-28
520,62480,2,53,11.58,2020-05-31
521,139094,7,24,47.01,2017-03-30
522,95227,7,139,26.86,2019-11-16
523,103541,2,74,39.32,2017-11-18
524,16907,7,84,36.24,2018-12-01
525,64205,6,172,16.24,2019-01-01
526,91082,3,111,38.09,2017-01-27
527,117993,7,132,25.7,2017-04-24
528,97929,5,28,32.49,2017-02-04
529,129481,4,154,42.67,2020-07-24
530,24313,7,89,20.76,2017-10-02
531,120561,4,137,34.92,2017-06-14
532,52919,2,186,34.41,2017-08-26
533,49702,7,7,6.89,2020-10-30
534,72896,8,19,30.78,2018-11-16
535,34739,5,23,45.04,2017-01-02
536,10843,8,30,25.4,2019-11-15
537,116962,5,122,45.62,2019-04-30
538,12417,9,73,36.77,2020-10-11
539,52562,8,81,18.18,2018-01-08
540,118547,4,44,22.12,2019-07-15
541,58620,10,96,48.37,2018-07-26
542,66581,6,48,45.43,2020-07-25
543,45974,2,159,7.98,2019-08-16
544,83931,3,43,24.01,2018-11-30
545,98897,10,44,4.82,2020-08-22
546,130872,1,158,8.07,2018-08-08
547,97877,8,153,36.1,2019-10-13
548,102720,4,163,13.49,2018-05-07
549,116966,6,20,37.17,2017-11-16
550,52661,5,106,34.89,2017-02-18
551,54834,3,82,32.31,2017-08-05
552,5632,10,121,23.16,2017-07-23
553,53042,2,180,36.31,2019-11-01
554,138275,10,19,1.14,2018-11-07
555,137053,5,107,0.29,2017-12-11
556,102934,2,167,14.15,2018-08-07
557,58554,9,81,36.61,2020-04-26
558,16950,3,46,4.02,2019-03-30
559,30789,6,60,42.49,2019-04-14
560,7236,10,96,45.95,2017-08-04
561,11882,8,104,44.26,2017-03-31
562,94866,6,36,40.6,2017-09-20
563,77669,2,200,33.14,2019-06-18
564,21579,2,79,18.43,2019-11-25
565,116249,9,20,0.32,2020-06-29
566,116683,6,190,17.37,2017-08-07
567,85308,6,80,43.29,2018-10-18
568,73453,10,60,36.35,2017-04-24
569,33405,9,111,44.25,2019-09-11
570,41333,9,191,39.57,2019-10-27
571,30934,7,89,31.9,2019-01-12
572,59468,10,150,29.72,2018-11-30
573,97266,7,93,0.84,2019-04-04
574,19479,3,158,12.36,2017-04-15
575,28812,10,123,3.98,2019-07-14
576,56104,5,171,29.8,2017-01-23
577,119924,3,118,1.49,2019-12-23
578,74480,10,171,12.47,2019-07-01
579,23457,6,196,49.33,2019-08-05
580,68148,1,150,18.62,2019-04-06
581,66940,9,5,17.01,2019-10-30
582,72728,4,186,22.41,2020-03-17
583,24762,1,8,24.04,2019-06-22
584,79934,8,75,32.72,2018-05-18
585,17759,8,186,33.36,2017-09-13
586,92466,9,17,39.36,2020-12-07
587,131819,3,12,26.44,2020-01-02
588,7825,3,118,47.82,2020-08-20
589,34566,4,164,38.56,2018-09-30
590,49584,1,51,32.2,2019-02-27
591,107952,3,52,14.41,2020-08-18
592,97465,1,188,37.05,2019-06-17
593,13053,6,68,48.23,2020-03-24
594,9350,4,46,7.9,2018-02-27
595,48500,4,154,40.35,2017-03-17
596,25624,10,110,21.56,2020-12-12
597,14503,6,129,39.59,2017-07-06
598,36029,8,164,46.16,2018-03-16
599,135525,1,123,19.18,2020-03-04
600,47744,3,134,47.18,2019-07-11
