id,nome,disponibilidade,performance,qualidade,oee,taxa_producao,capacidade_producao,eficiencia_linha,produtividade_mao_obra,data_registro
53,Equipamento Solda por Onda,0.82,0.9,0.99,0.85,75.22,98.04,0.81,0.87,2017-01-03 04:00:00
54,Scanner AOI,0.87,0.82,0.97,0.79,96.96,95.22,0.93,0.78,2017-01-03 05:00:00
55,Medidor Corrente,0.84,0.77,0.99,0.82,81.84,111.85,0.88,0.79,2017-01-03 06:00:00
56,Equipamento Solda por Onda,0.81,0.85,0.91,0.86,73.16,83.08,0.82,0.89,2017-01-03 07:00:00
57,Inspetor Visual Otico,0.86,0.79,0.97,0.9,85.89,106.06,0.94,0.71,2017-01-03 08:00:00
58,Equipamento Solda por Refusao,0.91,0.83,0.94,0.84,78.88,119.03,0.92,0.75,2017-01-03 09:00:00
59,Scanner AOI,0.88,0.88,0.93,0.78,93.65,110.47,0.8,0.77,2017-01-03 10:00:00
60,Medidor Corrente,0.91,0.85,0.97,0.8,99.88,108.87,0.84,0.88,2017-01-03 11:00:00
61,Equipamento Solda por Onda,0.94,0.84,0.93,0.75,79.77,115.62,0.81,0.77,2017-01-03 12:00:00
62,Scanner AOI,0.92,0.89,0.93,0.86,94.25,115.23,0.83,0.77,2017-01-03 13:00:00
63,Testador Circuito SMT,0.8,0.85,0.93,0.75,82.97,97.03,0.83,0.71,2017-01-03 14:00:00
64,Calibrador Robos,0.81,0.81,0.91,0.88,94.05,85.57,0.94,0.76,2017-01-03 15:00:00
65,Testador Circuito SMT,0.86,0.79,0.93,0.81,89.06,101.34,0.88,0.79,2017-01-03 16:00:00
66,Scanner AOI,0.9,0.89,0.97,0.85,96.42,109.28,0.83,0.76,2017-01-03 17:00:00
67,Testador Circuito SMT,0.93,0.89,0.95,0.83,95.74,89.1,0.81,0.75,2017-01-03 18:00:00
68,Calibrador Robos,0.82,0.76,0.98,0.83,86.26,119.49,0.81,0.85,2017-01-03 19:00:00
69,Equipamento Solda por Onda,0.82,0.89,0.92,0.87,78.69,110.71,0.83,0.77,2017-01-03 20:00:00
70,Scanner AOI,0.94,0.79,0.92,0.84,95.62,85.59,0.84,0.86,2017-01-03 21:00:00
71,Scanner AOI,0.92,0.88,0.96,0.82,91.47,87.26,0.86,0.75,2017-01-03 22:00:00
72,Medidor Corrente,0.88,0.81,0.92,0.79,82.97,80.13,0.88,0.89,2017-01-03 23:00:00
73,Equipamento Solda por Refusao,0.9,0.76,0.91,0.84,89.46,111.03,0.82,0.78,2017-01-04 00:00:00
74,Medidor Corrente,0.82,0.83,0.95,0.82,88.48,95.21,0.83,0.88,2017-01-04 01:00:00
75,Medidor Corrente,0.81,0.85,0.93,0.87,75.18,115.7,0.86,0.81,2017-01-04 02:00:00
76,Medidor Corrente,0.91,0.81,0.99,0.77,90.15,89.2,0.91,0.88,2017-01-04 03:00:00
77,Testador Circuito SMT,0.9,0.77,0.96,0.87,97.38,82.4,0.85,0.89,2017-01-04 04:00:00
78,Inspetor Visual Otico,0.88,0.79,0.91,0.81,93.84,100.19,0.82,0.82,2017-01-04 05:00:00
79,Equipamento Solda por Onda,0.84,0.87,0.97,0.76,74.06,93.9,0.87,0.83,2017-01-04 06:00:00
80,Testador Circuito SMT,0.94,0.91,0.95,0.84,90.34,116.25,0.83,0.72,2017-01-04 07:00:00
81,Equipamento Solda por Onda,0.93,0.82,0.91,0.89,77.57,113.78,0.92,0.76,2017-01-04 08:00:00
82,Medidor Corrente,0.94,0.77,0.91,0.79,90.66,110.49,0.81,0.89,2017-01-04 09:00:00
83,Equipamento Solda por Refusao,0.87,0.77,0.98,0.84,79.27,84.97,0.81,0.89,2017-01-04 10:00:00
84,Scanner AOI,0.93,0.81,0.94,0.88,96.92,92.63,0.9,0.77,2017-01-04 11:00:00
85,Testador Circuito SMT,0.86,0.85,0.94,0.84,72.03,84.39,0.93,0.81,2017-01-04 12:00:00
86,Testador Circuito SMT,0.94,0.78,0.95,0.78,83.59,89.67,0.92,0.86,2017-01-04 13:00:00
87,Testador Circuito SMT,0.86,0.89,0.95,0.87,82.81,80.37,0.88,0.77,2017-01-04 14:00:00
88,Testador Circuito SMT,0.86,0.88,0.93,0.87,76.06,86.24,0.89,0.87,2017-01-04 15:00:00
89,Equipamento Solda por Refusao,0.92,0.84,0.98,0.83,96.08,91.45,0.87,0.82,2017-01-04 16:00:00
90,Inspetor Visual Otico,0.9,0.82,0.96,0.83,71.19,83.4,0.89,0.76,2017-01-04 17:00:00
91,Medidor Corrente,0.87,0.92,0.98,0.77,88.64,88.96,0.92,0.87,2017-01-04 18:00:00
92,Calibrador Robos,0.9,0.88,0.99,0.89,76.75,82.89,0.85,0.76,2017-01-04 19:00:00
93,Testador Circuito SMT,0.84,0.77,0.97,0.85,71.57,89.01,0.83,0.9,2017-01-04 20:00:00
94,Inspetor Visual Otico,0.91,0.87,0.94,0.79,87.92,116.85,0.83,0.74,2017-01-04 21:00:00
95,Inspetor Visual Otico,0.88,0.79,0.95,0.82,93.44,119.82,0.86,0.82,2017-01-04 22:00:00
96,Medidor Corrente,0.92,0.81,0.92,0.89,78.33,86.57,0.82,0.7,2017-01-04 23:00:00
97,Inspetor Visual Otico,0.86,0.82,0.99,0.89,86.37,85.82,0.8,0.79,2017-01-05 00:00:00
98,Equipamento Solda por Refusao,0.82,0.88,0.98,0.86,74.54,82.29,0.92,0.75,2017-01-05 01:00:00
99,Inspetor Visual Otico,0.93,0.88,0.91,0.75,86.06,109.96,0.91,0.72,2017-01-05 02:00:00
100,Inspetor Visual Otico,0.83,0.87,0.98,0.82,75.15,119.65,0.89,0.88,2017-01-05 03:00:00
101,Equipamento Solda por Refusao,0.9,0.81,0.96,0.82,81.53,118.61,0.87,0.84,2017-01-05 04:00:00
102,Medidor Corrente,0.88,0.76,0.97,0.77,80.61,81.49,0.84,0.86,2017-01-05 05:00:00
103,Inspetor Visual Otico,0.9,0.89,0.9,0.89,71.07,80.75,0.9,0.89,2017-01-05 06:00:00
104,Equipamento Solda por Refusao,0.81,0.87,0.95,0.79,75.35,98.34,0.93,0.75,2017-01-05 07:00:00
105,Scanner AOI,0.82,0.9,0.96,0.84,85.36,86.69,0.9,0.81,2017-01-05 08:00:00
106,Calibrador Robos,0.84,0.87,0.96,0.79,75.86,113.66,0.8,0.75,2017-01-05 09:00:00
107,Medidor Corrente,0.89,0.81,0.91,0.84,92.5,109.9,0.85,0.84,2017-01-05 10:00:00
108,Equipamento Solda por Refusao,0.81,0.85,0.9,0.87,71.27,113.33,0.81,0.71,2017-01-05 11:00:00
109,Calibrador Robos,0.85,0.85,0.98,0.78,99.05,103.12,0.83,0.84,2017-01-05 12:00:00
110,Scanner AOI,0.93,0.82,0.94,0.88,80.92,86.12,0.94,0.72,2017-01-05 13:00:00
111,Inspetor Visual Otico,0.84,0.86,0.91,0.75,70.16,108.7,0.82,0.87,2017-01-05 14:00:00
112,Calibrador Robos,0.87,0.9,0.94,0.85,86.97,94.68,0.85,0.8,2017-01-05 15:00:00
113,Inspetor Visual Otico,0.8,0.88,0.93,0.86,75.26,87.12,0.88,0.81,2017-01-05 16:00:00
114,Medidor Corrente,0.86,0.83,0.95,0.81,88.29,93.98,0.86,0.87,2017-01-05 17:00:00
115,Medidor Corrente,0.91,0.81,0.93,0.84,88.27,90.83,0.85,0.87,2017-01-05 18:00:00
116,Equipamento Solda por Refusao,0.92,0.86,0.99,0.82,75.72,101.75,0.93,0.87,2017-01-05 19:00:00
117,Testador Circuito SMT,0.9,0.81,0.93,0.89,74.57,100.84,0.9,0.71,2017-01-05 20:00:00
118,Inspetor Visual Otico,0.84,0.8,0.9,0.85,72.67,109.02,0.94,0.82,2017-01-05 21:00:00
119,Medidor Corrente,0.82,0.78,0.91,0.88,76.47,82.05,0.93,0.83,2017-01-05 22:00:00
120,Calibrador Robos,0.92,0.78,0.94,0.81,81.61,91.4,0.94,0.88,2017-01-05 23:00:00
121,Equipamento Solda por Onda,0.93,0.88,0.99,0.86,75.48,107.26,0.92,0.75,2017-01-06 00:00:00
122,Calibrador Robos,0.81,0.82,0.91,0.85,79.19,107.78,0.89,0.81,2017-01-06 01:00:00
123,Calibrador Robos,0.84,0.82,0.96,0.84,70.39,86.23,0.81,0.82,2017-01-06 02:00:00
124,Equipamento Solda por Onda,0.81,0.89,0.95,0.84,79.02,87.04,0.92,0.77,2017-01-06 03:00:00
125,Medidor Corrente,0.85,0.91,0.96,0.78,75.32,118.21,0.88,0.72,2017-01-06 04:00:00
126,Medidor Corrente,0.92,0.89,0.93,0.86,87.48,104.98,0.83,0.72,2017-01-06 05:00:00
127,Inspetor Visual Otico,0.85,0.79,0.92,0.76,80.64,112.91,0.94,0.79,2017-01-06 06:00:00
128,Equipamento Solda por Onda,0.89,0.77,0.93,0.76,93.34,118.52,0.94,0.73,2017-01-06 07:00:00
129,Calibrador Robos,0.92,0.77,0.96,0.77,98.55,99.54,0.94,0.72,2017-01-06 08:00:00
130,Equipamento Solda por Refusao,0.88,0.85,0.91,0.77,93.99,101.21,0.85,0.73,2017-01-06 09:00:00
131,Scanner AOI,0.93,0.84,0.95,0.87,86.37,115.42,0.81,0.83,2017-01-06 10:00:00
132,Scanner AOI,0.9,0.9,0.94,0.87,70.22,119.13,0.86,0.7,2017-01-06 11:00:00
133,Inspetor Visual Otico,0.95,0.8,0.96,0.75,94.62,108.83,0.91,0.78,2017-01-06 12:00:00
134,Testador Circuito SMT,0.8,0.83,0.94,0.9,70.65,82.03,0.92,0.86,2017-01-06 13:00:00
135,Medidor Corrente,0.87,0.82,0.95,0.87,83.62,102.29,0.91,0.89,2017-01-06 14:00:00
136,Calibrador Robos,0.91,0.84,0.94,0.79,70.05,92.72,0.88,0.84,2017-01-06 15:00:00
137,Equipamento Solda por Refusao,0.87,0.82,0.94,0.78,71.62,86.73,0.89,0.86,2017-01-06 16:00:00
138,Equipamento Solda por Onda,0.82,0.78,0.98,0.89,85.04,107.75,0.92,0.83,2017-01-06 17:00:00
139,Equipamento Solda por Onda,0.81,0.87,0.92,0.88,99.46,107.86,0.92,0.81,2017-01-06 18:00:00
140,Calibrador Robos,0.89,0.86,0.95,0.84,83.88,99.35,0.81,0.83,2017-01-06 19:00:00
141,Equipamento Solda por Refusao,0.91,0.85,0.97,0.77,79.76,91.32,0.88,0.85,2017-01-06 20:00:00
142,Equipamento Solda por Onda,0.82,0.9,0.92,0.87,85.38,82.09,0.91,0.8,2017-01-06 21:00:00
143,Medidor Corrente,0.85,0.78,0.91,0.81,99.2,107.98,0.86,0.81,2017-01-06 22:00:00
144,Equipamento Solda por Refusao,0.85,0.85,0.98,0.85,91.53,102.67,0.8,0.79,2017-01-06 23:00:00
145,Testador Circuito SMT,0.94,0.86,0.92,0.89,70.13,96.26,0.87,0.81,2017-01-07 00:00:00
146,Medidor Corrente,0.91,0.77,0.95,0.76,71.21,94.46,0.8,0.86,2017-01-07 01:00:00
147,Inspetor Visual Otico,0.8,0.75,0.94,0.85,97.02,93.07,0.9,0.83,2017-01-07 02:00:00
148,Equipamento Solda por Onda,0.93,0.84,0.96,0.87,72.29,102.09,0.94,0.71,2017-01-07 03:00:00
149,Inspetor Visual Otico,0.92,0.89,0.96,0.83,79.14,118.98,0.93,0.8,2017-01-07 04:00:00
150,Testador Circuito SMT,0.81,0.75,0.98,0.84,74.81,96.48,0.89,0.79,2017-01-07 05:00:00
151,Medidor Corrente,0.83,0.82,0.94,0.85,85.58,82.93,0.85,0.72,2017-01-07 06:00:00
152,Inspetor Visual Otico,0.9,0.85,0.97,0.78,70.62,83.37,0.86,0.79,2017-01-07 07:00:00
153,Testador Circuito SMT,0.83,0.78,0.91,0.77,79.33,111.83,0.93,0.71,2017-01-07 08:00:00
154,Inspetor Visual Otico,0.89,0.85,0.96,0.86,74.76,108.11,0.83,0.75,2017-01-07 09:00:00
155,Calibrador Robos,0.89,0.76,0.96,0.76,89.1,114.68,0.9,0.71,2017-01-07 10:00:00
156,Calibrador Robos,0.86,0.88,0.98,0.83,85.37,118.85,0.83,0.83,2017-01-07 11:00:00
157,Testador Circuito SMT,0.88,0.78,0.91,0.8,97.77,114.99,0.94,0.88,2017-01-07 12:00:00
158,Inspetor Visual Otico,0.93,0.88,0.98,0.8,73.94,112.24,0.8,0.84,2017-01-07 13:00:00
159,Medidor Corrente,0.91,0.82,0.96,0.78,81.48,113.23,0.83,0.74,2017-01-07 14:00:00
160,Medidor Corrente,0.8,0.77,0.9,0.9,75.97,107.22,0.81,0.86,2017-01-07 15:00:00
161,Medidor Corrente,0.82,0.86,0.93,0.77,92.61,80.3,0.85,0.87,2017-01-07 16:00:00
162,Medidor Corrente,0.84,0.92,0.92,0.89,98.06,103.19,0.91,0.72,2017-01-07 17:00:00
163,Equipamento Solda por Onda,0.93,0.84,0.98,0.85,96.51,103.93,0.92,0.87,2017-01-07 18:00:00
164,Equipamento Solda por Onda,0.85,0.89,0.91,0.76,76.84,105.26,0.87,0.88,2017-01-07 19:00:00
165,Calibrador Robos,0.91,0.77,0.94,0.88,87.2,107.32,0.89,0.78,2017-01-07 20:00:00
166,Inspetor Visual Otico,0.87,0.85,0.93,0.83,78.45,93.77,0.92,0.78,2017-01-07 21:00:00
167,Equipamento Solda por Onda,0.86,0.79,0.93,0.9,90.99,83.22,0.84,0.77,2017-01-07 22:00:00
168,Medidor Corrente,0.81,0.89,0.91,0.89,90.6,92.86,0.94,0.85,2017-01-07 23:00:00
169,Inspetor Visual Otico,0.87,0.8,0.94,0.84,87.01,91.96,0.94,0.84,2017-01-08 00:00:00
170,Equipamento Solda por Onda,0.91,0.91,0.93,0.82,89.06,85.66,0.93,0.78,2017-01-08 01:00:00
171,Scanner AOI,0.8,0.9,0.91,0.86,98.68,96.48,0.9,0.73,2017-01-08 02:00:00
172,Scanner AOI,0.85,0.91,0.91,0.89,79.02,98.23,0.81,0.72,2017-01-08 03:00:00
173,Equipamento Solda por Onda,0.81,0.89,0.97,0.86,83.27,99.31,0.94,0.9,2017-01-08 04:00:00
174,Calibrador Robos,0.95,0.79,0.94,0.83,93.42,94.68,0.88,0.82,2017-01-08 05:00:00
175,Equipamento Solda por Refusao,0.88,0.84,0.95,0.81,84.5,90.02,0.81,0.85,2017-01-08 06:00:00
176,Equipamento Solda por Onda,0.85,0.77,0.98,0.77,89.96,111.23,0.9,0.85,2017-01-08 07:00:00
177,Scanner AOI,0.87,0.79,0.94,0.89,94.34,99.19,0.87,0.8,2017-01-08 08:00:00
178,Equipamento Solda por Onda,0.83,0.84,0.99,0.89,70.13,119.54,0.8,0.76,2017-01-08 09:00:00
179,Equipamento Solda por Refusao,0.83,0.8,0.9,0.81,84.79,94.91,0.94,0.82,2017-01-08 10:00:00
180,Equipamento Solda por Onda,0.92,0.8,0.96,0.88,72.77,87.85,0.87,0.89,2017-01-08 11:00:00
181,Equipamento Solda por Refusao,0.82,0.82,0.98,0.87,82.95,95.37,0.94,0.77,2017-01-08 12:00:00
182,Equipamento Solda por Onda,0.83,0.84,0.95,0.83,83.61,110.85,0.92,0.82,2017-01-08 13:00:00
183,Scanner AOI,0.83,0.9,0.96,0.88,74.46,105.83,0.82,0.84,2017-01-08 14:00:00
184,Inspetor Visual Otico,0.89,0.76,0.94,0.77,93.55,84.09,0.94,0.83,2017-01-08 15:00:00
185,Inspetor Visual Otico,0.82,0.77,0.97,0.84,80.54,87.32,0.84,0.83,2017-01-08 16:00:00
186,Testador Circuito SMT,0.83,0.77,0.95,0.83,90.56,113.31,0.83,0.77,2017-01-08 17:00:00
187,Inspetor Visual Otico,0.87,0.77,0.99,0.82,73.37,112.99,0.82,0.84,2017-01-08 18:00:00
188,Testador Circuito SMT,0.88,0.84,0.93,0.9,79.73,87.93,0.84,0.82,2017-01-08 19:00:00
189,Calibrador Robos,0.92,0.79,0.98,0.8,72.71,115.11,0.81,0.79,2017-01-08 20:00:00
190,Scanner AOI,0.86,0.88,0.97,0.84,74.8,119.27,0.88,0.77,2017-01-08 21:00:00
191,Inspetor Visual Otico,0.89,0.84,0.99,0.81,98.04,104.13,0.93,0.88,2017-01-08 22:00:00
192,Inspetor Visual Otico,0.9,0.91,0.95,0.78,74.4,84.99,0.84,0.87,2017-01-08 23:00:00
193,Inspetor Visual Otico,0.93,0.88,0.96,0.81,84.62,103.67,0.81,0.87,2017-01-09 00:00:00
194,Testador Circuito SMT,0.85,0.77,0.99,0.82,77.37,112.75,0.93,0.73,2017-01-09 01:00:00
195,Equipamento Solda por Onda,0.9,0.92,0.94,0.78,80.66,106.05,0.8,0.77,2017-01-09 02:00:00
196,Scanner AOI,0.94,0.87,0.91,0.82,94.57,105.37,0.83,0.72,2017-01-09 03:00:00
197,Equipamento Solda por Onda,0.88,0.78,0.96,0.78,75.19,90.89,0.9,0.83,2017-01-09 04:00:00
198,Inspetor Visual Otico,0.82,0.88,0.95,0.77,71.75,102.97,0.92,0.73,2017-01-09 05:00:00
199,Testador Circuito SMT,0.89,0.82,0.94,0.79,70.25,114.91,0.9,0.78,2017-01-09 06:00:00
200,Inspetor Visual Otico,0.94,0.82,0.92,0.88,94.34,103.7,0.87,0.85,2017-01-09 07:00:00
201,Equipamento Solda por Refusao,0.89,0.84,0.96,0.89,90.81,83.38,0.94,0.73,2017-01-09 08:00:00
202,Medidor Corrente,0.91,0.77,0.95,0.83,96.09,96.47,0.9,0.73,2017-01-09 09:00:00
203,Medidor Corrente,0.93,0.9,0.95,0.8,92.27,104.92,0.85,0.72,2017-01-09 10:00:00
204,Inspetor Visual Otico,0.86,0.77,0.99,0.85,88.95,95.9,0.86,0.9,2017-01-09 11:00:00
205,Medidor Corrente,0.88,0.88,0.98,0.78,81.04,115.42,0.93,0.84,2017-01-09 12:00:00
206,Testador Circuito SMT,0.92,0.86,0.97,0.79,70.43,99.39,0.91,0.88,2017-01-09 13:00:00
207,Equipamento Solda por Refusao,0.9,0.86,0.98,0.88,86.58,92.09,0.84,0.81,2017-01-09 14:00:00
208,Calibrador Robos,0.88,0.83,0.92,0.8,98.49,80.96,0.91,0.84,2017-01-09 15:00:00
209,Testador Circuito SMT,0.91,0.84,0.94,0.86,93.55,105.95,0.84,0.88,2017-01-09 16:00:00
210,Scanner AOI,0.93,0.87,0.93,0.83,77.32,92.51,0.81,0.75,2017-01-09 17:00:00
211,Equipamento Solda por Onda,0.87,0.89,0.9,0.8,82.31,109.31,0.87,0.89,2017-01-09 18:00:00
212,Medidor Corrente,0.85,0.89,0.95,0.89,88.69,109.53,0.87,0.88,2017-01-09 19:00:00
213,Calibrador Robos,0.91,0.76,0.96,0.82,94.52,82.28,0.82,0.75,2017-01-09 20:00:00
214,Calibrador Robos,0.89,0.86,0.92,0.76,94.11,105.93,0.88,0.78,2017-01-09 21:00:00
215,Equipamento Solda por Onda,0.94,0.75,0.97,0.75,81.94,99.79,0.81,0.71,2017-01-09 22:00:00
216,Medidor Corrente,0.83,0.89,0.99,0.77,91.16,83.45,0.91,0.77,2017-01-09 23:00:00
217,Calibrador Robos,0.92,0.79,0.98,0.87,75.22,93.78,0.85,0.77,2017-01-10 00:00:00
218,Testador Circuito SMT,0.86,0.81,0.93,0.8,72.48,117.95,0.93,0.88,2017-01-10 01:00:00
219,Testador Circuito SMT,0.81,0.9,0.9,0.75,82.41,110.33,0.89,0.82,2017-01-10 02:00:00
220,Equipamento Solda por Refusao,0.87,0.89,0.95,0.89,71.2,97.34,0.86,0.72,2017-01-10 03:00:00
221,Medidor Corrente,0.94,0.76,0.98,0.79,91.16,103.2,0.85,0.71,2017-01-10 04:00:00
222,Inspetor Visual Otico,0.84,0.89,0.93,0.86,89.6,103.96,0.88,0.83,2017-01-10 05:00:00
223,Calibrador Robos,0.91,0.81,0.96,0.84,94.0,106.0,0.93,0.72,2017-01-10 06:00:00
224,Inspetor Visual Otico,0.85,0.83,0.91,0.84,91.55,83.72,0.91,0.72,2017-01-10 07:00:00
225,Medidor Corrente,0.94,0.88,0.91,0.84,95.16,103.27,0.83,0.85,2017-01-10 08:00:00
226,Medidor Corrente,0.8,0.88,0.97,0.82,72.32,83.4,0.94,0.84,2017-01-10 09:00:00
227,Equipamento Solda por Onda,0.81,0.86,0.93,0.77,70.31,108.67,0.94,0.72,2017-01-10 10:00:00
228,Equipamento Solda por Onda,0.86,0.83,0.9,0.79,73.24,81.94,0.92,0.75,2017-01-10 11:00:00
229,Inspetor Visual Otico,0.85,0.81,0.92,0.81,81.3,91.32,0.85,0.71,2017-01-10 12:00:00
230,Calibrador Robos,0.89,0.79,0.91,0.78,84.38,105.65,0.86,0.74,2017-01-10 13:00:00
231,Equipamento Solda por Onda,0.85,0.79,0.97,0.81,98.15,88.03,0.9,0.81,2017-01-10 14:00:00
232,Scanner AOI,0.9,0.87,0.98,0.8,81.48,104.85,0.82,0.75,2017-01-10 15:00:00
233,Inspetor Visual Otico,0.82,0.79,0.94,0.81,83.25,91.16,0.94,0.87,2017-01-10 16:00:00
234,Equipamento Solda por Refusao,0.83,0.87,0.93,0.82,93.97,81.04,0.89,0.84,2017-01-10 17:00:00
235,Equipamento Solda por Onda,0.84,0.88,0.95,0.86,94.94,94.72,0.9,0.77,2017-01-10 18:00:00
236,Inspetor Visual Otico,0.82,0.84,0.93,0.89,70.94,84.27,0.83,0.77,2017-01-10 19:00:00
237,Equipamento Solda por Onda,0.87,0.77,0.99,0.84,87.99,81.41,0.9,0.82,2017-01-10 20:00:00
238,Scanner AOI,0.83,0.79,0.93,0.85,98.23,82.17,0.95,0.73,2017-01-10 21:00:00
239,Equipamento Solda por Onda,0.85,0.86,0.95,0.8,82.18,102.13,0.92,0.84,2017-01-10 22:00:00
