ordem_producao_id,produto_id,quantidade_planejada,data_planejamento,data_inicio_real,data_fim_real,status_ordem
128,5,885,2020-08-02,2019-03-29,2017-12-08,Planejada
129,3,863,2018-03-27,2019-05-24,2017-08-28,Emproducao
130,1,958,2020-09-16,2019-06-18,2017-05-04,Cancelada
131,1,965,2019-05-15,2020-03-10,2017-06-29,Emproducao
132,3,909,2017-07-02,2017-09-01,2018-04-26,Emproducao
133,4,937,2020-07-13,2018-04-25,2020-12-07,Emproducao
134,3,944,2017-04-25,2020-04-19,2017-10-30,Completa
135,2,933,2019-12-09,2020-02-24,2018-11-06,Emproducao
136,5,919,2018-09-15,2020-09-08,2019-04-24,Emproducao
137,3,855,2019-01-08,2017-05-18,2018-02-25,Planejada
138,2,909,2018-10-16,2019-10-25,2019-08-09,Emproducao
139,3,832,2020-05-03,2017-01-07,2020-05-10,Cancelada
140,2,937,2018-12-11,2019-12-11,2018-11-20,Cancelada
141,2,894,2018-11-26,2019-06-20,2020-12-24,Cancelada
142,2,839,2017-04-22,2020-07-10,2019-01-25,Completa
143,1,987,2019-08-26,2017-01-15,2020-10-15,Planejada
144,1,900,2018-04-29,2019-04-17,2020-01-13,Completa
145,4,953,2017-03-08,2019-10-21,2017-09-21,Completa
146,2,883,2017-09-29,2019-08-11,2019-06-21,Emproducao
147,1,890,2018-11-21,2018-08-24,2018-07-24,Cancelada
148,2,960,2017-04-07,2018-01-15,2019-05-08,Completa
149,5,853,2019-07-22,2017-11-14,2017-10-08,Completa
150,5,837,2020-09-04,2018-12-10,2020-09-28,Emproducao
151,1,833,2018-04-01,2019-06-16,2018-02-12,Completa
152,5,818,2020-09-03,2019-02-27,2019-01-10,Planejada
153,5,852,2018-07-30,2017-03-19,2017-12-01,Planejada
154,3,955,2019-12-22,2020-03-28,2020-07-06,Planejada
155,2,868,2019-07-25,2017-10-21,2017-06-10,Cancelada
156,1,876,2020-05-16,2020-07-16,2019-02-07,Completa
157,5,918,2020-12-19,2017-11-06,2019-04-07,Completa
158,3,888,2020-11-27,2017-06-06,2020-12-04,Emproducao
159,2,958,2017-04-21,2019-07-01,2020-07-14,Planejada
160,5,951,2017-05-22,2017-12-07,2017-01-21,Completa
161,4,818,2018-04-05,2018-12-28,2020-01-19,Emproducao
162,2,982,2017-09-10,2018-03-29,2019-02-27,Planejada
163,3,834,2020-07-26,2020-01-30,2017-07-25,Emproducao
164,3,844,2017-10-17,2019-06-26,2017-10-14,Completa
165,2,926,2019-04-06,2018-01-27,2017-12-20,Cancelada
166,2,921,2020-05-18,2017-06-24,2018-02-25,Completa
167,5,917,2020-12-15,2020-02-16,2018-05-31,Cancelada
168,5,961,2019-11-02,2020-08-24,2019-05-04,Completa
169,3,946,2020-12-14,2017-06-14,2019-01-14,Emproducao
170,4,971,2018-07-26,2019-07-04,2020-09-06,Cancelada
171,5,853,2019-09-16,2018-06-05,2017-11-15,Planejada
172,4,973,2019-11-24,2017-05-02,2020-03-11,Completa
173,1,898,2018-12-27,2017-09-05,2017-05-15,Planejada
174,2,879,2020-08-06,2017-12-08,2020-10-14,Completa
175,5,941,2020-12-08,2019-02-13,2019-08-07,Cancelada
176,4,876,2019-11-01,2017-03-02,2018-12-09,Completa
177,5,915,2019-11-30,2018-12-20,2019-10-05,Emproducao
178,5,890,2017-03-28,2019-10-20,2019-12-11,Completa
179,4,847,2020-12-28,2019-10-08,2017-09-30,Planejada
180,5,862,2020-06-27,2020-11-29,2019-12-21,Planejada
181,1,859,2017-11-30,2017-08-22,2017-07-19,Completa
182,4,951,2019-06-06,2018-10-10,2017-07-16,Cancelada
183,2,860,2019-06-22,2020-01-16,2017-05-26,Completa
184,2,831,2019-05-26,2020-01-17,2019-09-12,Cancelada
185,4,871,2020-12-11,2020-01-19,2019-12-31,Completa
186,1,821,2019-12-20,2017-06-20,2019-09-29,Completa
187,5,942,2017-05-03,2017-04-02,2017-04-08,Cancelada
188,5,960,2020-03-20,2017-07-20,2020-03-17,Planejada
189,3,878,2019-10-21,2020-10-26,2018-09-08,Planejada
190,4,978,2019-04-19,2017-04-29,2020-05-13,Planejada
191,5,810,2018-03-04,2018-10-27,2019-12-02,Completa
192,4,927,2020-01-19,2019-04-14,2018-02-22,Cancelada
193,5,984,2019-08-20,2019-08-31,2018-06-21,Cancelada
194,2,978,2020-09-25,2018-12-11,2019-09-01,Cancelada
195,5,953,2020-09-26,2020-11-01,2017-05-09,Cancelada
196,4,815,2019-03-31,2019-09-04,2020-07-25,Completa
197,5,871,2019-11-16,2020-10-23,2020-12-17,Planejada
198,1,973,2020-09-13,2017-07-07,2017-02-23,Planejada
199,5,982,2017-08-08,2019-10-02,2017-08-11,Emproducao
200,5,978,2017-11-15,2018-11-24,2017-06-17,Planejada
