lote_id,material_id,fornecedor_id,data_recebimento,lote_fornecedor
60,3,9,2019-08-28,LoteForn_60
61,2,10,2018-12-10,LoteForn_61
62,10,16,2019-09-09,LoteForn_62
63,9,8,2018-08-31,LoteForn_63
64,2,11,2018-07-15,LoteForn_64
65,10,7,2017-03-23,LoteForn_65
66,5,19,2018-05-30,LoteForn_66
67,2,9,2019-01-16,LoteForn_67
68,2,17,2017-10-26,LoteForn_68
69,9,7,2020-03-21,LoteForn_69
70,9,3,2020-06-19,LoteForn_70
71,10,5,2018-01-15,LoteForn_71
72,10,14,2020-05-29,LoteForn_72
73,2,2,2017-05-21,LoteForn_73
74,4,9,2018-05-24,LoteForn_74
75,4,9,2017-11-14,LoteForn_75
76,4,2,2017-11-14,LoteForn_76
77,1,13,2019-02-05,LoteForn_77
78,4,11,2018-01-04,LoteForn_78
79,2,19,2019-09-21,LoteForn_79
80,4,6,2019-09-24,LoteForn_80
81,9,18,2020-07-05,LoteForn_81
82,2,9,2019-05-17,LoteForn_82
83,8,5,2018-11-04,LoteForn_83
84,5,18,2018-03-15,LoteForn_84
85,7,4,2019-06-10,LoteForn_85
86,3,6,2018-05-14,LoteForn_86
87,1,5,2020-08-31,LoteForn_87
88,2,6,2018-09-03,LoteForn_88
89,10,12,2019-06-15,LoteForn_89
90,8,10,2019-01-31,LoteForn_90
91,8,17,2020-09-26,LoteForn_91
92,2,5,2018-09-18,LoteForn_92
93,6,18,2019-04-08,LoteForn_93
94,3,3,2018-05-17,LoteForn_94
95,10,7,2019-02-14,LoteForn_95
96,3,3,2018-05-19,LoteForn_96
97,6,14,2019-03-31,LoteForn_97
98,6,9,2020-08-16,LoteForn_98
99,7,12,2017-11-17,LoteForn_99
100,2,3,2020-02-16,LoteForn_100
101,5,16,2018-11-29,LoteForn_101
102,4,11,2020-05-10,LoteForn_102
103,2,10,2019-03-14,LoteForn_103
104,5,9,2017-01-22,LoteForn_104
105,8,19,2020-03-29,LoteForn_105
106,6,2,2019-10-21,LoteForn_106
107,6,12,2018-02-02,LoteForn_107
108,3,12,2020-03-10,LoteForn_108
109,9,14,2018-11-03,LoteForn_109
110,5,13,2019-02-15,LoteForn_110
111,7,1,2018-03-12,LoteForn_111
112,5,13,2020-04-20,LoteForn_112
113,2,9,2019-06-18,LoteForn_113
114,2,6,2017-09-20,LoteForn_114
115,3,19,2018-08-18,LoteForn_115
116,2,1,2018-01-11,LoteForn_116
117,7,1,2017-12-19,LoteForn_117
118,7,6,2020-05-28,LoteForn_118
119,10,4,2019-09-21,LoteForn_119
120,6,2,2017-05-20,LoteForn_120
121,9,19,2018-06-28,LoteForn_121
122,4,8,2020-05-22,LoteForn_122
123,6,4,2017-03-18,LoteForn_123
124,5,18,2018-04-27,LoteForn_124
125,5,17,2018-04-17,LoteForn_125
126,1,6,2018-07-07,LoteForn_126
127,9,14,2018-04-14,LoteForn_127
128,7,12,2019-02-07,LoteForn_128
129,1,16,2019-02-15,LoteForn_129
130,3,5,2020-02-17,LoteForn_130
131,1,17,2017-07-13,LoteForn_131
132,8,11,2018-10-24,LoteForn_132
133,1,8,2018-03-04,LoteForn_133
134,2,6,2020-11-02,LoteForn_134
135,1,4,2017-11-02,LoteForn_135
136,10,10,2020-11-23,LoteForn_136
137,8,16,2017-07-24,LoteForn_137
138,9,16,2019-09-14,LoteForn_138
139,9,6,2017-04-16,LoteForn_139
140,7,2,2020-03-15,LoteForn_140
141,3,5,2018-03-10,LoteForn_141
142,3,5,2018-06-27,LoteForn_142
143,7,8,2017-04-05,LoteForn_143
144,8,4,2017-07-29,LoteForn_144
145,4,12,2017-04-07,LoteForn_145
146,10,8,2018-08-24,LoteForn_146
147,10,12,2020-06-23,LoteForn_147
148,10,6,2020-12-18,LoteForn_148
149,5,18,2019-05-04,LoteForn_149
150,9,18,2020-06-15,LoteForn_150
151,7,17,2017-11-07,LoteForn_151
152,8,15,2020-09-26,LoteForn_152
153,4,18,2019-07-14,LoteForn_153
154,8,12,2020-08-15,LoteForn_154
155,2,13,2020-09-08,LoteForn_155
156,3,10,2020-11-11,LoteForn_156
157,9,9,2017-03-29,LoteForn_157
158,4,2,2017-12-19,LoteForn_158
159,9,14,2020-10-12,LoteForn_159
160,1,18,2019-05-22,LoteForn_160
161,1,2,2018-06-09,LoteForn_161
162,5,13,2019-01-16,LoteForn_162
163,5,19,2018-03-12,LoteForn_163
164,2,1,2017-08-10,LoteForn_164
165,2,4,2017-09-25,LoteForn_165
166,2,2,2018-08-22,LoteForn_166
167,10,7,2018-02-16,LoteForn_167
168,6,14,2018-07-07,LoteForn_168
169,8,16,2018-03-09,LoteForn_169
170,10,1,2019-08-17,LoteForn_170
171,7,18,2019-04-04,LoteForn_171
172,2,3,2017-11-28,LoteForn_172
173,1,6,2020-10-20,LoteForn_173
174,7,3,2019-07-10,LoteForn_174
175,5,13,2017-09-19,LoteForn_175
176,1,12,2017-10-03,LoteForn_176
177,5,15,2018-10-21,LoteForn_177
178,2,11,2020-10-18,LoteForn_178
179,6,9,2018-06-23,LoteForn_179
180,9,12,2020-11-20,LoteForn_180
181,2,14,2020-10-30,LoteForn_181
182,7,4,2018-06-30,LoteForn_182
183,10,8,2019-10-26,LoteForn_183
184,4,6,2019-07-29,LoteForn_184
185,3,14,2017-03-28,LoteForn_185
186,1,19,2018-09-29,LoteForn_186
187,4,12,2019-01-28,LoteForn_187
188,1,18,2018-01-23,LoteForn_188
189,5,13,2020-08-01,LoteForn_189
190,9,8,2020-01-11,LoteForn_190
191,3,12,2017-11-26,LoteForn_191
192,3,12,2020-12-12,LoteForn_192
193,4,11,2017-08-02,LoteForn_193
194,9,7,2019-08-30,LoteForn_194
195,5,18,2018-06-23,LoteForn_195
196,8,7,2017-01-27,LoteForn_196
197,7,8,2019-10-31,LoteForn_197
198,7,1,2018-03-18,LoteForn_198
199,1,8,2020-12-22,LoteForn_199
200,3,17,2018-10-04,LoteForn_200
