Ano,Arquivo,Capacidade,Capacidade_utilizada,Custo_manutencao,Descricao_falha,Despesas,Divida_Bruta,Divida_Curto_Prazo,Divida_Longo_Prazo,Divida_liquida,Dividendos,EBITDA,Energia_consumida_kwh,Falha_maquina,Fluxo_Caixa_Financiamento,Fluxo_Caixa_Investimento,Fluxo_Caixa_Livre,Fluxo_Caixa_Operacional,Horas_paradas,Investimento_capital,Linha_producao,Lucro_bruto,Lucro_liquido,Margem_EBITDA,Margem_liquida,Perda_eficiencia,Producao,ROA,ROE,Receita,Receita_impactada,Receita_perdida,Responsavel,Tipo_evento,Trimestre,Unidades_perdidas
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,140 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,9.3%,Não informado,Não informado,408 mil toneladas,Não informado,Não informado,1.509 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,260 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,11.6%,Não informado,Não informado,859 mil toneladas,Não informado,Não informado,2.246 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,119 milhões R$ (Custo das vendas); 173.583 (Despesas com vendas); 533.805 (Despesas gerais e administrativas),Não informado,Não informado,Não informado,24.599.182,Não informado,6 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,440.091,4.8%,352072.8%,Não informado,Não informado,Não informado,Não informado,125 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2014,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,197 milhões R$ (Custo das vendas); 179.519 (Despesas com vendas); 480.442 (Despesas gerais e administrativas),Não informado,Não informado,Não informado,Não informado,Não informado,121 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,267.361,38.3%,84607.9%,Não informado,Não informado,Não informado,Não informado,316 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2014,2015\\textos\\2015_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,228 milhões R$ (Custo das vendas),Não informado,Não informado,Não informado,22.521.277,Não informado,-24 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,11.7%,Não informado,Não informado,Não informado,Não informado,Não informado,205 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2025,2015\\textos\\2015_2T_AP.txt,"73% (Brasil, Aço); 86% (América do Norte, Aço); 65% (América do Sul, Aço)",Não informado,Não informado,Não informado,"-286 milhões R$ (Capital de Giro), -458 milhões R$ (Imposto de Renda), -1.659 milhões R$ (CAPEX), -499 milhões R$ (Juros), -159 milhões R$ (Intangíveis e Arrendamento), -117 milhões R$ (Demais variações)",Não informado,Não informado,Não informado,3.700 milhões R$,Não informado,2.561 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,864 milhões R$,14.6%,4.9%,Não informado,2.809 mil toneladas,Não informado,Não informado,17.526 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,637 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,1.184 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,265 milhões R$,11.0%,2.5%,Não informado,4.431 mil toneladas,Não informado,Não informado,10.759 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,660 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,1.089 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,267 milhões R$,10.4%,2.6%,Não informado,4.341 mil toneladas,Não informado,Não informado,10.447 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2014,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,679 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,1.170 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,393 milhões R$,11.2%,3.8%,Não informado,4.668 mil toneladas,Não informado,Não informado,10.443 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,2.779 milhões R$,Não informado,Não informado,Não informado,R$ 16.876 milhões,Não informado,446 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,13.9%,Não informado,Não informado,1.660 mil toneladas,Não informado,Não informado,3.199 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,3.700 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,226 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,6.3%,Não informado,Não informado,1.588 mil toneladas,Não informado,Não informado,3.581 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,1.280 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,118 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,8.3%,Não informado,Não informado,415 mil toneladas,Não informado,Não informado,1.429 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,215 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,9.5%,Não informado,Não informado,Não informado,Não informado,Não informado,2.257 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,6 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3.5%,Não informado,Não informado,Não informado,Não informado,Não informado,170 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,2.102 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,230 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,10.2%,Não informado,Não informado,768 mil toneladas,Não informado,Não informado,2.257 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,127 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,53 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,31.2%,Não informado,Não informado,2.060 mil toneladas,Não informado,Não informado,170 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,2.036 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,260 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,11.6%,Não informado,Não informado,859 mil toneladas,Não informado,Não informado,2.246 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,119 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,6 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,4.8%,Não informado,Não informado,1.481 mil toneladas,Não informado,Não informado,125 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,637 milhões R$,Não informado,Não informado,Não informado,22.580 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,264 milhões R$,Não informado,2.5%,Não informado,Não informado,Não informado,Não informado,10.759 milhões R$,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_2T_RR.txt,Não informado,Não informado,Não informado,Não informado,446.675 mil R$ (juros) / 385.022 mil R$ (impostos),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,531.835 mil R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,2T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,"637 milhões R$ (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,"3,1x EBITDA",Não informado,1.291 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,193 milhões R$,9.9%,1.5%,Não informado,4.201 mil toneladas,Não informado,Não informado,13.083 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,"631 milhões R$ (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,4.201 mil toneladas,Não informado,Não informado,11.925 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,"Depreciação e amortizações: 672 milhões R$; Despesas financeiras: -1.044 milhões R$; Menores despesas com vendas, gerais e administrativas (valor não detalhado)",Não informado,Não informado,Não informado,16.876 milhões R$,Não informado,1.291 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,"508,6 milhões R$",Não informado,Não informado,-1.958 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Custo das vendas: 3.283 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,596 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,16.0%,Não informado,Não informado,1.578 mil toneladas,Não informado,Não informado,3.723 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,224 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,10.2%,Não informado,Não informado,1.675 mil toneladas,Não informado,Não informado,2.194 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,94 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,7.6%,Não informado,Não informado,Não informado,Não informado,Não informado,1.243 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,130 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,9.1%,Não informado,Não informado,Não informado,Não informado,Não informado,1.434 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,"Redução das despesas operacionais no 3T15 em relação ao 3T14 e 2T15, valor não especificado",Não informado,Não informado,Não informado,Não informado,Não informado,450 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,9.3%,Não informado,Não informado,1.675 mil toneladas,Não informado,Não informado,4.833 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,"Redução das despesas operacionais no 3T15 em relação ao 3T14, valor não especificado",Não informado,Não informado,Não informado,Não informado,Não informado,130 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,9.1%,Não informado,Não informado,297 mil toneladas,Não informado,Não informado,1.434 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,Menores despesas operacionais contribuíram para melhora da margem EBITDA no 3T15 em relação ao 2T15. Valores absolutos não informados.,Não informado,Não informado,Não informado,Não informado,Não informado,231 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,10.5%,Não informado,Não informado,Não informado,Não informado,Não informado,2.194 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_3T_RR.txt,Não informado,Não informado,Não informado,Não informado,10.714 milhões R$,Não informado,Não informado,Não informado,22.142 milhões R$,Não informado,1.211 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-1.426 milhões R$,10.2%,12.0%,Não informado,Não informado,Não informado,Não informado,11.925 milhões R$,Não informado,Não informado,Não informado,Não informado,3T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,655 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,911 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-41 milhões R$,8.7%,0.4%,Não informado,3.889 mil toneladas,Não informado,Não informado,10.449 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,655 milhões R$ (Despesas vendas G&A),Não informado,Não informado,Não informado,12.1x EBITDA (Não informado valor absoluto),Não informado,1.291 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,193 milhões R$,12.4%,1.8%,Não informado,3.889 mil toneladas,Não informado,Não informado,10.449 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,"655 milhões R$ (Despesas vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,911 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-3.170 milhões R$,11.5%,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,"CAPEX 4T15: 556 milhões R$, Imposto de Renda 4T15: 63 milhões R$, Juros da Dívida 4T15: 293 milhões R$",Não informado,Não informado,Não informado,R$ 19.542 bilhões (31.12.2015),Não informado,911 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,556 milhões R$,Não informado,Não informado,-3.170 milhões R$,Não informado,Não informado,Não informado,1.481 mil toneladas (aço bruto Brasil 4T15),Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,2.535 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,470 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,17.6%,Não informado,Não informado,Não informado,Não informado,Não informado,2.678 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,3.948 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,363 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,8.4%,Não informado,Não informado,1.450 mil toneladas,Não informado,Não informado,4.311 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,1.252 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,206 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,13.9%,Não informado,Não informado,333 mil toneladas,Não informado,Não informado,1.481 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,2.136 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,151 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,6.9%,Não informado,Não informado,625 mil toneladas,Não informado,Não informado,2.185 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,27.703 milhões R$,Não informado,151 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2015,2015\\textos\\2015_4T_RR.txt,Não informado,Não informado,Não informado,Não informado,"785 milhões R$ (Despesas com vendas), 1.797 milhões R$ (Despesas gerais e administrativas), 4.996 milhões R$ (Outras despesas operacionais)",Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-4.596 milhões R$,Não informado,10.5%,Não informado,Não informado,Não informado,Não informado,43.581 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2016,2016\\textos\\2016_1T_AP.txt,Não informado,Não informado,Não informado,Não informado,"644 milhões R$ (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,Não informado,Não informado,930 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,9.2%,Não informado,Não informado,4.143 mil toneladas,Não informado,Não informado,10.085 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2016,2016\\textos\\2016_1T_AP.txt,Não informado,Não informado,Não informado,Não informado,"Redução de 10% no 1T16 vs 1T15 (Despesas com vendas, gerais e administrativas)",Não informado,Não informado,Não informado,22.600 milhões R$,Não informado,930 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,14 milhões R$,84.1%,1.3%,Não informado,930 mil toneladas,Não informado,Não informado,1.106 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2016,2016\\textos\\2016_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,644 milhões R$,Não informado,Não informado,Não informado,"2,4x EBITDA (US$)",Não informado,930 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,14 milhões R$,9.2%,0.1%,Não informado,4.154 mil toneladas,Não informado,Não informado,10.085 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2016\\textos\\2016_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,660 milhões R$,Não informado,Não informado,Não informado,"4,0x EBITDA (US$)",Não informado,1.106 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,267 milhões R$,10.6%,2.6%,Não informado,4.341 mil toneladas,Não informado,Não informado,10.447 milhões R$,Não informado,Não informado,Não informado,Não informado,1T,Não informado
2015,2016\\textos\\2016_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,655 milhões R$,Não informado,Não informado,Não informado,"3,6x EBITDA (US$)",Não informado,911 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,-41 milhões R$,8.7%,0.4%,Não informado,3.889 mil toneladas,Não informado,Não informado,10.449 milhões R$,Não informado,Não informado,Não informado,Não informado,4T,Não informado
2016,2016\\textos\\2016_1T_RR.txt,Não informado,Não informado,Não informado,Não informado,CAPEX: 485 milhões R$; Imposto de Renda: 37 milhões R$; Juros da Dívida: 290 milhões R$; Capital de Giro: 107 milhões R$,Não informado,Não informado,Não informado,18.159 bilhões R$,Não informado,930 milhões R$,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,1T,Não informado
