kpi_id,nome_kpi,valor_kpi,data_referencia
90,Margem Operacional,46.7,2018-11-01
91,Eficiência Maq,59.99,2018-11-01
92,Custo Total,70.41,2018-11-01
93,Lucro Bruto,53.91,2018-12-01
94,Margem Operacional,26.28,2018-12-01
95,Eficiência Maq,34.38,2018-12-01
96,Custo Total,41.85,2018-12-01
97,Lucro Bruto,55.75,2019-01-01
98,Margem Operacional,83.62,2019-01-01
99,Eficiência Maq,56.95,2019-01-01
100,Custo Total,56.18,2019-01-01
101,Lucro Bruto,42.82,2019-02-01
102,Margem Operacional,68.26,2019-02-01
103,Eficiência Maq,80.51,2019-02-01
104,Custo Total,75.63,2019-02-01
105,Lucro Bruto,47.67,2019-03-01
106,Margem Operacional,57.85,2019-03-01
107,Eficiência Maq,28.22,2019-03-01
108,Custo Total,56.95,2019-03-01
109,Lucro Bruto,47.53,2019-04-01
110,Margem Operacional,77.72,2019-04-01
111,Eficiência Maq,53.93,2019-04-01
112,Custo Total,73.14,2019-04-01
113,Lucro Bruto,76.1,2019-05-01
114,Margem Operacional,59.63,2019-05-01
115,Eficiência Maq,74.64,2019-05-01
116,Custo Total,56.8,2019-05-01
117,Lucro Bruto,61.23,2019-06-01
118,Margem Operacional,38.23,2019-06-01
119,Eficiência Maq,64.57,2019-06-01
120,Custo Total,64.26,2019-06-01
121,Lucro Bruto,51.3,2019-07-01
122,Margem Operacional,66.61,2019-07-01
123,Eficiência Maq,30.39,2019-07-01
124,Custo Total,40.0,2019-07-01
125,Lucro Bruto,69.65,2019-08-01
126,Margem Operacional,57.76,2019-08-01
127,Eficiência Maq,51.02,2019-08-01
128,Custo Total,81.29,2019-08-01
129,Lucro Bruto,57.26,2019-09-01
130,Margem Operacional,74.92,2019-09-01
131,Eficiência Maq,31.22,2019-09-01
132,Custo Total,30.67,2019-09-01
133,Lucro Bruto,30.16,2019-10-01
134,Margem Operacional,65.16,2019-10-01
135,Eficiência Maq,30.37,2019-10-01
136,Custo Total,29.62,2019-10-01
137,Lucro Bruto,39.38,2019-11-01
138,Margem Operacional,42.83,2019-11-01
139,Eficiência Maq,56.59,2019-11-01
140,Custo Total,51.09,2019-11-01
141,Lucro Bruto,56.18,2019-12-01
142,Margem Operacional,29.05,2019-12-01
143,Eficiência Maq,84.75,2019-12-01
144,Custo Total,27.82,2019-12-01
145,Lucro Bruto,34.89,2020-01-01
146,Margem Operacional,48.57,2020-01-01
147,Eficiência Maq,67.8,2020-01-01
148,Custo Total,30.11,2020-01-01
149,Lucro Bruto,50.91,2020-02-01
150,Margem Operacional,68.65,2020-02-01
151,Eficiência Maq,32.95,2020-02-01
152,Custo Total,62.57,2020-02-01
153,Lucro Bruto,75.97,2020-03-01
154,Margem Operacional,36.15,2020-03-01
155,Eficiência Maq,27.92,2020-03-01
156,Custo Total,65.13,2020-03-01
157,Lucro Bruto,60.86,2020-04-01
158,Margem Operacional,45.25,2020-04-01
159,Eficiência Maq,42.44,2020-04-01
160,Custo Total,26.12,2020-04-01
161,Lucro Bruto,72.9,2020-05-01
162,Margem Operacional,47.68,2020-05-01
163,Eficiência Maq,67.64,2020-05-01
164,Custo Total,60.09,2020-05-01
165,Lucro Bruto,46.62,2020-06-01
166,Margem Operacional,36.84,2020-06-01
167,Eficiência Maq,56.57,2020-06-01
168,Custo Total,53.23,2020-06-01
169,Lucro Bruto,46.37,2020-07-01
170,Margem Operacional,25.04,2020-07-01
171,Eficiência Maq,39.52,2020-07-01
172,Custo Total,47.41,2020-07-01
173,Lucro Bruto,48.28,2020-08-01
174,Margem Operacional,25.4,2020-08-01
175,Eficiência Maq,29.78,2020-08-01
176,Custo Total,73.65,2020-08-01
177,Lucro Bruto,69.7,2020-09-01
178,Margem Operacional,25.96,2020-09-01
179,Eficiência Maq,29.6,2020-09-01
180,Custo Total,76.74,2020-09-01
181,Lucro Bruto,77.03,2020-10-01
182,Margem Operacional,52.49,2020-10-01
183,Eficiência Maq,28.74,2020-10-01
184,Custo Total,53.59,2020-10-01
185,Lucro Bruto,66.95,2020-11-01
186,Margem Operacional,83.07,2020-11-01
187,Eficiência Maq,79.48,2020-11-01
188,Custo Total,25.24,2020-11-01
189,Lucro Bruto,49.37,2020-12-01
190,Margem Operacional,70.12,2020-12-01
191,Eficiência Maq,71.22,2020-12-01
192,Custo Total,77.29,2020-12-01
193,Lucro Bruto,64.6,2021-01-01
194,Margem Operacional,77.03,2021-01-01
195,Eficiência Maq,29.04,2021-01-01
196,Custo Total,37.11,2021-01-01
