controle_id,lote_producao_id,data_inspecao,inspetor_id,unidades_aprovadas,unidades_rejeitadas,motivo_rejeicao
208,162,2021-07-27,28,952,4,falha_superficie
209,142,2021-07-28,1,1006,8,empacotamento_inadequado
210,133,2021-07-29,17,1026,7,empacotamento_inadequado
211,9,2021-07-30,6,1181,3,solda_fraca
212,82,2021-07-31,20,970,6,empacotamento_inadequado
213,221,2021-08-01,24,1183,5,cor_incorreta
214,242,2021-08-02,12,995,5,empacotamento_inadequado
215,170,2021-08-03,13,955,2,empacotamento_inadequado
216,122,2021-08-04,13,1003,9,bolhas_material
217,163,2021-08-05,2,1129,6,falha_eletrica
218,162,2021-08-06,26,1002,4,bolhas_material
219,103,2021-08-07,27,1187,0,solda_fraca
220,307,2021-08-08,3,1068,7,cor_incorreta
221,173,2021-08-09,24,994,3,furo_incompleto
222,269,2021-08-10,3,1011,9,bolhas_material
223,47,2021-08-11,24,964,1,falha_superficie
224,191,2021-08-12,9,1060,5,empacotamento_inadequado
225,51,2021-08-13,5,997,2,empacotamento_inadequado
226,238,2021-08-14,9,1155,4,bolhas_material
227,84,2021-08-15,4,1002,8,bolhas_material
228,326,2021-08-16,26,1190,6,cor_incorreta
229,161,2021-08-17,14,1021,8,dimensao_fora
230,83,2021-08-18,25,1199,5,empacotamento_inadequado
231,266,2021-08-19,16,1131,4,cor_incorreta
232,303,2021-08-20,22,1042,0,furo_incompleto
233,249,2021-08-21,20,1056,1,dimensao_fora
234,333,2021-08-22,20,1190,8,bolhas_material
235,321,2021-08-23,9,1082,9,furo_incompleto
236,287,2021-08-24,7,1066,1,solda_fraca
237,15,2021-08-25,26,1098,6,empacotamento_inadequado
238,205,2021-08-26,16,1171,2,cor_incorreta
239,123,2021-08-27,15,1081,8,dimensao_fora
240,38,2021-08-28,23,1065,4,cor_incorreta
241,1,2021-08-29,4,1190,6,cor_incorreta
242,341,2021-08-30,1,1035,1,solda_fraca
243,244,2021-08-31,25,1022,8,cor_incorreta
244,1,2021-09-01,20,1182,7,cor_incorreta
245,85,2021-09-02,13,1129,4,dimensao_fora
246,229,2021-09-03,16,984,7,falha_eletrica
247,105,2021-09-04,19,1193,3,empacotamento_inadequado
248,326,2021-09-05,12,1112,0,cor_incorreta
249,325,2021-09-06,17,1028,6,solda_fraca
250,23,2021-09-07,15,1021,6,bolhas_material
251,81,2021-09-08,28,1160,6,furo_incompleto
252,4,2021-09-09,24,1115,3,furo_incompleto
253,210,2021-09-10,25,1140,0,cor_incorreta
254,59,2021-09-11,28,1039,7,bolhas_material
255,89,2021-09-12,12,1167,7,dimensao_fora
256,332,2021-09-13,25,1017,4,solda_fraca
257,349,2021-09-14,9,985,0,empacotamento_inadequado
258,161,2021-09-15,21,1092,6,dimensao_fora
259,267,2021-09-16,6,1173,3,dimensao_fora
260,259,2021-09-17,29,1032,5,cor_incorreta
261,223,2021-09-18,6,1012,0,falha_eletrica
262,237,2021-09-19,16,1058,0,cor_incorreta
263,312,2021-09-20,26,981,1,bolhas_material
264,54,2021-09-21,23,1014,1,furo_incompleto
265,88,2021-09-22,22,1016,4,empacotamento_inadequado
266,337,2021-09-23,12,1088,0,cor_incorreta
267,96,2021-09-24,28,1083,2,falha_superficie
268,223,2021-09-25,28,1122,8,empacotamento_inadequado
269,10,2021-09-26,25,1187,4,solda_fraca
270,101,2021-09-27,8,1199,7,dimensao_fora
271,98,2021-09-28,17,1134,4,cor_incorreta
272,228,2021-09-29,6,1021,3,empacotamento_inadequado
273,319,2021-09-30,23,1090,1,furo_incompleto
274,140,2021-10-01,14,1032,0,bolhas_material
275,52,2021-10-02,17,1118,7,bolhas_material
276,260,2021-10-03,19,1009,8,falha_eletrica
277,306,2021-10-04,25,981,0,falha_eletrica
278,130,2021-10-05,9,1064,5,empacotamento_inadequado
279,27,2021-10-06,5,1074,4,cor_incorreta
280,20,2021-10-07,19,1112,6,empacotamento_inadequado
281,321,2021-10-08,2,1019,8,solda_fraca
282,55,2021-10-09,11,1019,7,furo_incompleto
283,264,2021-10-10,7,953,2,solda_fraca
284,171,2021-10-11,8,956,1,dimensao_fora
285,73,2021-10-12,23,1185,1,solda_fraca
286,71,2021-10-13,12,1199,5,falha_superficie
287,134,2021-10-14,24,963,8,solda_fraca
288,305,2021-10-15,17,958,7,dimensao_fora
289,233,2021-10-16,13,1198,4,dimensao_fora
290,269,2021-10-17,26,1051,0,falha_eletrica
291,133,2021-10-18,8,997,3,falha_eletrica
292,19,2021-10-19,16,980,2,falha_eletrica
293,210,2021-10-20,2,975,7,cor_incorreta
294,31,2021-10-21,3,963,7,furo_incompleto
295,26,2021-10-22,5,985,8,empacotamento_inadequado
296,157,2021-10-23,25,1180,9,bolhas_material
297,190,2021-10-24,13,1076,4,solda_fraca
298,286,2021-10-25,26,1187,7,dimensao_fora
299,238,2021-10-26,17,965,8,cor_incorreta
300,138,2021-10-27,8,1091,8,falha_superficie
301,262,2021-10-28,22,963,3,furo_incompleto
302,250,2021-10-29,18,1085,4,solda_fraca
303,217,2021-10-30,17,1127,0,empacotamento_inadequado
304,191,2021-10-31,13,1123,4,furo_incompleto
305,123,2021-11-01,13,1139,7,solda_fraca
306,74,2021-11-02,24,1110,4,bolhas_material
307,143,2021-11-03,20,1032,7,empacotamento_inadequado
308,42,2021-11-04,1,1135,9,dimensao_fora
309,152,2021-11-05,14,1038,3,solda_fraca
310,32,2021-11-06,6,1154,0,cor_incorreta
311,264,2021-11-07,24,1111,9,bolhas_material
312,126,2021-11-08,2,993,3,falha_eletrica
313,185,2021-11-09,21,1105,9,furo_incompleto
314,63,2021-11-10,29,1089,5,falha_superficie
315,20,2021-11-11,15,1132,1,falha_superficie
316,53,2021-11-12,22,1090,0,solda_fraca
317,47,2021-11-13,17,1028,1,empacotamento_inadequado
318,38,2021-11-14,18,1110,4,bolhas_material
319,161,2021-11-15,17,1184,4,falha_superficie
320,274,2021-11-16,28,1062,1,falha_eletrica
321,155,2021-11-17,19,1163,0,solda_fraca
322,323,2021-11-18,26,1133,4,falha_eletrica
323,179,2021-11-19,20,993,8,cor_incorreta
324,344,2021-11-20,16,1103,3,solda_fraca
325,327,2021-11-21,12,1168,4,dimensao_fora
326,56,2021-11-22,21,1013,5,furo_incompleto
327,70,2021-11-23,28,1114,6,cor_incorreta
328,27,2021-11-24,11,1054,5,bolhas_material
329,227,2021-11-25,12,1117,9,furo_incompleto
330,293,2021-11-26,21,1111,1,bolhas_material
331,191,2021-11-27,10,1021,2,furo_incompleto
332,21,2021-11-28,19,998,9,falha_eletrica
333,192,2021-11-29,27,1167,2,empacotamento_inadequado
334,339,2021-11-30,25,1150,1,bolhas_material
335,238,2021-12-01,2,1143,6,falha_superficie
336,152,2021-12-02,25,999,4,dimensao_fora
337,111,2021-12-03,1,1036,1,furo_incompleto
338,261,2021-12-04,18,1043,1,cor_incorreta
339,234,2021-12-05,14,1062,7,furo_incompleto
340,216,2021-12-06,4,1050,6,cor_incorreta
341,66,2021-12-07,7,1099,9,solda_fraca
342,266,2021-12-08,16,1079,8,empacotamento_inadequado
343,129,2021-12-09,12,1125,4,empacotamento_inadequado
344,342,2021-12-10,8,1155,2,solda_fraca
345,5,2021-12-11,8,1136,1,bolhas_material
346,323,2021-12-12,25,1149,3,empacotamento_inadequado
347,7,2021-12-13,15,1067,9,furo_incompleto
348,15,2021-12-14,7,958,7,cor_incorreta
349,126,2021-12-15,2,1165,3,solda_fraca
350,187,2021-12-16,11,1081,3,falha_eletrica
351,162,2021-12-17,29,1156,9,falha_eletrica
352,86,2021-12-18,17,1090,8,empacotamento_inadequado
353,162,2021-12-19,23,1127,9,dimensao_fora
354,113,2021-12-20,23,1024,6,solda_fraca
355,210,2021-12-21,3,1127,5,falha_superficie
356,215,2021-12-22,1,998,6,empacotamento_inadequado
357,2,2021-12-23,10,1126,9,falha_eletrica
358,139,2021-12-24,21,958,4,empacotamento_inadequado
359,131,2021-12-25,11,1183,2,falha_eletrica
360,258,2021-12-26,24,1108,0,bolhas_material
361,347,2021-12-27,27,989,7,dimensao_fora
362,282,2021-12-28,17,1165,6,solda_fraca
363,40,2021-12-29,5,1079,4,dimensao_fora
364,24,2021-12-30,4,1032,2,empacotamento_inadequado
365,217,2021-12-31,9,974,0,falha_eletrica
366,275,2022-01-01,10,1087,9,falha_eletrica
367,111,2022-01-02,23,1183,5,solda_fraca
368,239,2022-01-03,21,975,6,dimensao_fora
369,120,2022-01-04,10,1019,8,empacotamento_inadequado
370,229,2022-01-05,23,1104,8,solda_fraca
371,70,2022-01-06,14,960,7,empacotamento_inadequado
372,108,2022-01-07,1,1170,2,falha_eletrica
373,229,2022-01-08,16,1015,2,dimensao_fora
374,329,2022-01-09,8,988,7,bolhas_material
375,327,2022-01-10,18,1181,6,furo_incompleto
376,130,2022-01-11,26,1108,6,falha_superficie
377,321,2022-01-12,1,983,5,falha_superficie
378,327,2022-01-13,29,1121,5,solda_fraca
379,112,2022-01-14,10,1179,1,cor_incorreta
380,106,2022-01-15,3,961,3,bolhas_material
381,124,2022-01-16,10,1029,7,dimensao_fora
382,74,2022-01-17,3,975,8,empacotamento_inadequado
383,107,2022-01-18,15,1144,3,cor_incorreta
384,121,2022-01-19,3,1076,0,falha_eletrica
385,330,2022-01-20,22,1128,8,cor_incorreta
386,191,2022-01-21,7,1144,7,cor_incorreta
387,224,2022-01-22,14,1098,3,falha_eletrica
388,80,2022-01-23,4,1148,7,falha_superficie
389,300,2022-01-24,24,1034,2,falha_eletrica
390,198,2022-01-25,9,982,1,cor_incorreta
391,269,2022-01-26,18,1067,7,falha_eletrica
392,201,2022-01-27,20,978,2,dimensao_fora
393,313,2022-01-28,27,1132,1,empacotamento_inadequado
394,339,2022-01-29,20,1164,6,empacotamento_inadequado
395,333,2022-01-30,4,1151,2,falha_superficie
396,232,2022-01-31,20,1059,1,solda_fraca
397,291,2022-02-01,21,1073,9,falha_eletrica
398,230,2022-02-02,20,1187,7,bolhas_material
399,318,2022-02-03,22,1178,6,falha_superficie
400,26,2022-02-04,7,1066,6,dimensao_fora
401,269,2022-02-05,21,1178,6,dimensao_fora
402,277,2022-02-06,23,1138,8,dimensao_fora
403,345,2022-02-07,7,1067,8,falha_eletrica
404,316,2022-02-08,10,1020,8,falha_eletrica
405,26,2022-02-09,1,1088,4,falha_eletrica
406,93,2022-02-10,5,1173,8,empacotamento_inadequado
407,134,2022-02-11,10,1053,7,dimensao_fora
408,341,2022-02-12,16,1024,0,dimensao_fora
409,55,2022-02-13,1,1064,5,empacotamento_inadequado
410,162,2022-02-14,7,1034,6,bolhas_material
411,84,2022-02-15,19,1156,4,falha_superficie
412,303,2022-02-16,8,1052,8,dimensao_fora
413,78,2022-02-17,24,958,9,falha_eletrica
414,192,2022-02-18,17,1110,7,falha_superficie
415,314,2022-02-19,15,1122,7,empacotamento_inadequado
416,11,2022-02-20,8,1089,6,furo_incompleto
417,240,2022-02-21,14,1054,9,cor_incorreta
418,336,2022-02-22,14,1152,6,solda_fraca
419,281,2022-02-23,9,1157,0,dimensao_fora
420,275,2022-02-24,10,978,1,cor_incorreta
421,269,2022-02-25,3,980,5,falha_eletrica
422,14,2022-02-26,18,950,7,bolhas_material
423,255,2022-02-27,24,1031,9,falha_superficie
424,84,2022-02-28,19,1120,3,falha_superficie
425,164,2022-03-01,17,1128,6,falha_eletrica
426,149,2022-03-02,7,1058,6,falha_eletrica
427,109,2022-03-03,7,1154,4,furo_incompleto
428,227,2022-03-04,3,1072,9,empacotamento_inadequado
429,135,2022-03-05,20,1034,1,falha_eletrica
430,186,2022-03-06,5,999,4,falha_eletrica
431,38,2022-03-07,18,1187,4,solda_fraca
432,53,2022-03-08,26,963,4,bolhas_material
433,275,2022-03-09,29,1139,0,falha_eletrica
434,44,2022-03-10,23,1141,8,falha_superficie
435,120,2022-03-11,5,1014,7,falha_eletrica
436,346,2022-03-12,10,981,6,furo_incompleto
437,101,2022-03-13,26,1100,7,bolhas_material
438,243,2022-03-14,5,1116,7,cor_incorreta
439,201,2022-03-15,18,1158,5,empacotamento_inadequado
440,147,2022-03-16,15,1060,0,falha_eletrica
441,241,2022-03-17,13,1053,9,furo_incompleto
442,22,2022-03-18,4,1036,3,falha_superficie
443,17,2022-03-19,4,1075,5,cor_incorreta
444,154,2022-03-20,20,952,9,falha_eletrica
445,74,2022-03-21,3,993,4,bolhas_material
446,155,2022-03-22,4,1103,6,bolhas_material
447,15,2022-03-23,14,1067,1,solda_fraca
448,254,2022-03-24,15,968,7,empacotamento_inadequado
449,276,2022-03-25,28,966,3,empacotamento_inadequado
450,331,2022-03-26,19,1155,3,bolhas_material
451,306,2022-03-27,1,1094,5,solda_fraca
452,144,2022-03-28,9,1145,7,falha_superficie
453,195,2022-03-29,6,1138,7,falha_superficie
454,3,2022-03-30,18,1118,5,falha_superficie
455,104,2022-03-31,3,1086,5,falha_eletrica
456,125,2022-04-01,25,1079,7,solda_fraca
457,198,2022-04-02,16,1068,8,furo_incompleto
458,296,2022-04-03,21,955,6,falha_superficie
459,76,2022-04-04,19,1111,9,solda_fraca
460,12,2022-04-05,14,1155,1,furo_incompleto
461,97,2022-04-06,8,1158,2,falha_superficie
462,129,2022-04-07,3,1144,2,empacotamento_inadequado
463,158,2022-04-08,12,968,7,cor_incorreta
464,156,2022-04-09,17,1162,9,falha_superficie
465,14,2022-04-10,5,1073,9,furo_incompleto
466,212,2022-04-11,28,1149,8,solda_fraca
467,48,2022-04-12,20,1031,6,dimensao_fora
468,98,2022-04-13,23,955,1,cor_incorreta
469,140,2022-04-14,25,1135,5,bolhas_material
470,203,2022-04-15,17,1051,3,furo_incompleto
471,329,2022-04-16,14,1137,8,falha_eletrica
472,114,2022-04-17,21,1080,1,empacotamento_inadequado
473,149,2022-04-18,4,971,3,solda_fraca
474,197,2022-04-19,24,1134,0,empacotamento_inadequado
475,191,2022-04-20,16,1114,5,bolhas_material
476,71,2022-04-21,26,1055,6,furo_incompleto
477,270,2022-04-22,11,1138,4,bolhas_material
478,88,2022-04-23,22,963,4,solda_fraca
479,243,2022-04-24,19,1029,1,empacotamento_inadequado
480,178,2022-04-25,5,961,5,falha_eletrica
481,269,2022-04-26,22,1018,2,bolhas_material
482,317,2022-04-27,10,1020,4,solda_fraca
483,20,2022-04-28,3,996,5,dimensao_fora
484,309,2022-04-29,21,1024,1,solda_fraca
485,141,2022-04-30,18,1162,1,empacotamento_inadequado
486,110,2022-05-01,9,1069,8,furo_incompleto
487,258,2022-05-02,6,1163,4,furo_incompleto
488,319,2022-05-03,24,982,9,falha_superficie
489,71,2022-05-04,12,1101,6,solda_fraca
490,223,2022-05-05,28,1105,2,falha_superficie
491,153,2022-05-06,4,989,1,falha_eletrica
492,1,2022-05-07,21,1010,0,dimensao_fora
493,290,2022-05-08,8,1165,4,bolhas_material
494,40,2022-05-09,13,1129,0,bolhas_material
495,19,2022-05-10,29,1059,9,bolhas_material
496,240,2022-05-11,23,1169,1,falha_eletrica
497,255,2022-05-12,6,1143,7,falha_eletrica
498,344,2022-05-13,2,1122,5,dimensao_fora
499,158,2022-05-14,16,1027,0,falha_superficie
500,209,2022-05-15,28,1168,8,falha_superficie
501,102,2022-05-16,28,987,5,cor_incorreta
502,93,2022-05-17,29,1027,9,empacotamento_inadequado
503,301,2022-05-18,26,1170,2,solda_fraca
504,257,2022-05-19,12,1033,0,cor_incorreta
505,142,2022-05-20,29,1144,4,falha_eletrica
506,343,2022-05-21,14,1075,2,falha_eletrica
507,14,2022-05-22,4,1000,7,cor_incorreta
508,66,2022-05-23,1,984,0,falha_eletrica
509,59,2022-05-24,20,1157,8,furo_incompleto
510,302,2022-05-25,15,1141,7,falha_superficie
511,39,2022-05-26,29,995,6,empacotamento_inadequado
512,228,2022-05-27,15,1026,3,falha_eletrica
513,290,2022-05-28,13,1019,8,empacotamento_inadequado
514,229,2022-05-29,20,966,7,falha_superficie
515,183,2022-05-30,13,1069,0,falha_superficie
516,349,2022-05-31,27,1085,3,bolhas_material
517,91,2022-06-01,1,950,4,falha_eletrica
518,146,2022-06-02,15,1081,5,dimensao_fora
519,140,2022-06-03,26,1162,3,cor_incorreta
520,241,2022-06-04,7,1085,8,dimensao_fora
521,318,2022-06-05,14,1004,4,falha_eletrica
522,279,2022-06-06,10,1085,0,dimensao_fora
523,205,2022-06-07,22,1114,0,solda_fraca
524,195,2022-06-08,1,1147,4,falha_superficie
525,42,2022-06-09,28,965,6,falha_superficie
526,316,2022-06-10,13,1174,2,bolhas_material
527,249,2022-06-11,6,1164,2,falha_superficie
528,152,2022-06-12,2,1100,2,empacotamento_inadequado
529,165,2022-06-13,7,1097,0,falha_eletrica
530,168,2022-06-14,24,1078,5,dimensao_fora
531,211,2022-06-15,6,1160,7,cor_incorreta
532,215,2022-06-16,9,984,2,cor_incorreta
533,59,2022-06-17,20,1077,5,falha_superficie
534,256,2022-06-18,3,1088,1,furo_incompleto
535,23,2022-06-19,29,1073,1,dimensao_fora
536,222,2022-06-20,19,1066,9,furo_incompleto
537,202,2022-06-21,16,1124,4,empacotamento_inadequado
538,213,2022-06-22,28,1089,3,cor_incorreta
