id,nome,disponibilidade,performance,qualidade,oee,taxa_producao,capacidade_producao,eficiencia_linha,produtividade_mao_obra,data_registro
24,Calibrador Robos,0.95,0.95,0.97,0.95,115.12,151.46,0.93,0.95,2021-01-01 23:00:00
25,Inspetor Visual Otico,0.96,0.94,0.96,0.89,116.22,154.92,0.97,0.94,2021-01-02 00:00:00
26,Testador Circuito SMT,0.95,0.92,0.99,0.93,102.84,152.66,0.96,0.95,2021-01-02 01:00:00
27,Medidor Corrente,0.99,0.93,0.96,0.96,105.47,138.58,0.93,0.95,2021-01-02 02:00:00
28,Scanner AOI,0.99,0.91,0.97,0.93,103.54,145.85,0.98,0.91,2021-01-02 03:00:00
29,AOI Automatizado,0.92,0.91,0.97,0.89,113.9,144.0,0.98,0.97,2021-01-02 04:00:00
30,Testador ICT,0.99,0.97,0.98,0.95,126.91,151.41,0.97,0.92,2021-01-02 05:00:00
31,AOI Automatizado,0.93,0.96,0.97,0.92,129.2,156.99,0.94,0.96,2021-01-02 06:00:00
32,Scanner AOI,0.92,0.9,0.96,0.9,107.03,144.89,0.95,0.9,2021-01-02 07:00:00
33,Scanner Linha Producao,0.97,0.99,0.97,0.89,101.9,125.95,0.97,0.93,2021-01-02 08:00:00
34,AOI Automatizado,0.95,0.94,0.99,0.95,117.48,122.28,0.94,0.93,2021-01-02 09:00:00
35,Scanner AOI,0.93,0.93,0.99,0.88,119.14,122.94,0.95,0.93,2021-01-02 10:00:00
36,Equipamento Solda por Refusao,0.92,0.96,0.97,0.97,107.25,157.52,0.97,0.96,2021-01-02 11:00:00
37,Equipamento Solda por Onda,0.94,0.99,0.98,0.96,127.38,151.26,0.98,0.93,2021-01-02 12:00:00
38,Testador Circuito SMT,0.97,0.93,0.97,0.94,127.89,128.61,0.99,0.95,2021-01-02 13:00:00
39,Testador ICT,0.92,0.98,0.97,0.89,111.88,138.65,0.99,0.91,2021-01-02 14:00:00
40,Equipamento Solda por Refusao,0.93,0.91,0.98,0.93,124.03,127.63,0.97,0.96,2021-01-02 15:00:00
41,Testador ICT,0.91,0.91,0.96,0.94,109.39,120.63,0.94,0.94,2021-01-02 16:00:00
42,Simulador Ambiente,0.96,0.94,0.96,0.95,118.49,134.24,0.93,0.94,2021-01-02 17:00:00
43,Medidor Corrente,0.92,0.92,0.99,0.97,124.14,122.72,0.97,0.97,2021-01-02 18:00:00
44,Inspetor Visual Otico,0.97,0.92,0.96,0.92,105.25,136.34,0.98,0.91,2021-01-02 19:00:00
45,Equipamento Solda por Onda,0.95,0.94,0.99,0.95,114.6,153.14,0.97,0.93,2021-01-02 20:00:00
46,Equipamento Solda por Refusao,0.96,0.95,0.97,0.96,112.45,145.22,0.99,0.91,2021-01-02 21:00:00
47,Testador ICT,0.97,0.98,0.98,0.89,104.22,158.57,0.97,0.93,2021-01-02 22:00:00
48,Scanner Linha Producao,0.97,0.97,1.0,0.89,124.29,138.54,0.96,0.92,2021-01-02 23:00:00
49,Scanner AOI,0.96,0.94,0.96,0.94,120.35,120.21,0.97,0.97,2021-01-03 00:00:00
50,Testador ICT,0.94,0.91,0.99,0.95,122.22,124.76,0.97,0.91,2021-01-03 01:00:00
51,Medidor Corrente,0.92,0.91,0.95,0.95,128.82,129.19,0.97,0.95,2021-01-03 02:00:00
52,Inspetor Visual Otico,0.98,0.94,0.98,0.97,123.26,147.05,0.97,0.93,2021-01-03 03:00:00
53,Testador Circuito SMT,0.93,0.91,0.97,0.95,101.08,153.52,0.96,0.91,2021-01-03 04:00:00
54,Medidor Corrente,0.94,0.96,0.99,0.94,101.47,131.78,0.98,0.92,2021-01-03 05:00:00
55,Scanner Linha Producao,0.91,0.97,0.96,0.94,105.88,147.55,0.94,0.96,2021-01-03 06:00:00
56,Medidor Corrente,0.96,0.94,0.97,0.93,122.66,154.94,0.94,0.9,2021-01-03 07:00:00
57,Testador Circuito SMT,0.94,0.93,0.96,0.93,106.99,127.71,0.98,0.96,2021-01-03 08:00:00
58,Testador ICT,0.91,0.93,0.98,0.97,113.77,136.19,0.99,0.97,2021-01-03 09:00:00
59,Equipamento Solda por Refusao,0.98,0.95,1.0,0.92,126.03,155.2,0.93,0.91,2021-01-03 10:00:00
60,AOI Automatizado,0.99,0.96,0.97,0.96,126.28,155.09,0.94,0.96,2021-01-03 11:00:00
61,Testador ICT,0.97,0.95,0.96,0.9,116.3,135.37,0.97,0.94,2021-01-03 12:00:00
62,Equipamento Solda por Onda,0.93,0.94,0.95,0.92,109.24,157.76,0.97,0.91,2021-01-03 13:00:00
63,Testador ICT,0.97,0.91,0.98,0.9,100.14,159.49,0.97,0.94,2021-01-03 14:00:00
64,AOI Automatizado,0.96,0.99,0.98,0.95,121.16,140.3,0.93,0.91,2021-01-03 15:00:00
65,Testador ICT,0.99,0.98,0.95,0.94,113.08,143.42,0.97,0.91,2021-01-03 16:00:00
66,AOI Automatizado,0.98,0.93,0.97,0.95,119.45,121.33,0.96,0.91,2021-01-03 17:00:00
67,Equipamento Solda por Refusao,0.95,0.97,0.96,0.91,117.01,158.09,0.93,0.9,2021-01-03 18:00:00
68,AOI Automatizado,0.91,0.93,0.97,0.89,109.78,134.01,0.95,0.96,2021-01-03 19:00:00
69,Equipamento Solda por Refusao,0.91,0.95,0.99,0.93,104.28,146.39,0.96,0.93,2021-01-03 20:00:00
70,Simulador Ambiente,0.96,0.98,0.99,0.9,117.39,139.52,0.96,0.96,2021-01-03 21:00:00
71,Inspetor Visual Otico,0.9,0.92,0.98,0.92,106.6,123.53,0.97,0.96,2021-01-03 22:00:00
72,Testador ICT,0.95,0.93,0.95,0.91,104.42,159.18,0.96,0.95,2021-01-03 23:00:00
73,Medidor Corrente,0.97,0.9,0.96,0.93,113.44,120.07,0.96,0.9,2021-01-04 00:00:00
74,Equipamento Solda por Onda,0.98,0.96,0.99,0.88,124.32,146.08,0.97,0.96,2021-01-04 01:00:00
75,Equipamento Solda por Refusao,0.91,0.95,0.96,0.89,124.22,148.12,0.93,0.93,2021-01-04 02:00:00
76,Inspetor Visual Otico,0.97,0.98,0.98,0.97,125.09,150.64,0.94,0.94,2021-01-04 03:00:00
77,Equipamento Solda por Onda,0.96,0.93,0.99,0.92,104.5,133.81,0.98,0.93,2021-01-04 04:00:00
78,Medidor Corrente,0.96,0.96,0.97,0.88,118.48,145.25,0.97,0.95,2021-01-04 05:00:00
79,Scanner Linha Producao,0.91,0.98,0.96,0.9,108.05,138.8,0.99,0.95,2021-01-04 06:00:00
80,Scanner AOI,0.95,0.99,0.97,0.96,106.53,139.19,0.93,0.95,2021-01-04 07:00:00
81,Equipamento Solda por Refusao,0.95,0.91,1.0,0.96,111.96,159.47,0.98,0.92,2021-01-04 08:00:00
82,Inspetor Visual Otico,0.95,0.92,0.99,0.91,117.44,144.36,0.95,0.93,2021-01-04 09:00:00
83,AOI Automatizado,0.96,0.93,0.99,0.94,104.51,123.29,0.96,0.95,2021-01-04 10:00:00
84,AOI Automatizado,0.98,0.91,0.97,0.95,108.13,153.22,0.94,0.95,2021-01-04 11:00:00
85,Simulador Ambiente,0.92,0.9,0.97,0.94,116.51,125.88,0.97,0.95,2021-01-04 12:00:00
86,Equipamento Solda por Onda,0.98,0.94,0.99,0.89,123.38,153.72,0.95,0.97,2021-01-04 13:00:00
87,Testador ICT,0.98,0.93,0.96,0.9,108.91,123.6,0.98,0.95,2021-01-04 14:00:00
88,Inspetor Visual Otico,0.96,0.98,0.96,0.93,101.6,158.64,0.98,0.91,2021-01-04 15:00:00
89,Calibrador Robos,0.96,0.96,1.0,0.91,127.09,125.84,0.95,0.91,2021-01-04 16:00:00
90,Equipamento Solda por Onda,0.95,0.94,0.96,0.94,116.48,125.01,0.96,0.9,2021-01-04 17:00:00
91,Equipamento Solda por Onda,0.95,0.99,0.97,0.93,117.69,155.1,0.95,0.93,2021-01-04 18:00:00
92,Simulador Ambiente,0.97,0.92,1.0,0.91,101.6,131.92,0.94,0.93,2021-01-04 19:00:00
93,Medidor Corrente,0.92,0.97,0.96,0.96,119.4,140.08,0.98,0.92,2021-01-04 20:00:00
94,AOI Automatizado,0.98,0.92,0.98,0.95,128.12,155.87,0.96,0.93,2021-01-04 21:00:00
95,Scanner AOI,0.99,0.91,0.96,0.96,114.98,131.7,0.94,0.96,2021-01-04 22:00:00
96,Inspetor Visual Otico,0.92,0.97,0.97,0.89,110.57,124.16,0.97,0.92,2021-01-04 23:00:00
97,Inspetor Visual Otico,0.91,0.9,0.98,0.95,102.93,124.33,0.99,0.94,2021-01-05 00:00:00
98,AOI Automatizado,0.99,0.94,0.99,0.94,119.88,146.92,0.99,0.91,2021-01-05 01:00:00
99,Equipamento Solda por Refusao,0.97,0.96,0.95,0.89,109.57,150.8,0.96,0.91,2021-01-05 02:00:00
100,Testador Circuito SMT,0.94,0.94,1.0,0.92,101.26,149.13,0.93,0.97,2021-01-05 03:00:00
101,AOI Automatizado,0.98,0.98,0.96,0.94,111.14,145.4,0.95,0.95,2021-01-05 04:00:00
102,Equipamento Solda por Refusao,0.98,0.94,0.95,0.9,107.54,123.26,0.93,0.9,2021-01-05 05:00:00
103,Testador ICT,0.92,0.93,0.98,0.93,116.49,156.41,0.97,0.95,2021-01-05 06:00:00
104,Equipamento Solda por Refusao,0.93,0.91,1.0,0.92,122.58,143.61,0.93,0.92,2021-01-05 07:00:00
105,Scanner Linha Producao,0.97,0.92,0.99,0.95,102.94,126.39,0.98,0.93,2021-01-05 08:00:00
106,Medidor Corrente,0.93,0.94,0.98,0.89,125.79,154.27,0.98,0.91,2021-01-05 09:00:00
107,Testador ICT,0.99,0.95,0.96,0.93,118.44,134.6,0.98,0.95,2021-01-05 10:00:00
108,Equipamento Solda por Onda,0.96,0.91,0.97,0.94,114.53,135.47,0.99,0.93,2021-01-05 11:00:00
109,Simulador Ambiente,0.96,0.94,0.98,0.96,109.57,129.23,0.97,0.97,2021-01-05 12:00:00
110,Simulador Ambiente,0.94,0.96,0.99,0.89,103.24,147.07,0.97,0.95,2021-01-05 13:00:00
111,Testador ICT,0.93,0.95,0.98,0.96,124.72,133.92,0.99,0.9,2021-01-05 14:00:00
112,Calibrador Robos,0.95,0.95,0.99,0.89,100.61,125.25,0.99,0.91,2021-01-05 15:00:00
113,Medidor Corrente,0.91,0.95,0.99,0.96,121.56,150.25,0.95,0.92,2021-01-05 16:00:00
114,Testador ICT,0.99,0.93,0.99,0.94,104.21,125.16,0.96,0.93,2021-01-05 17:00:00
115,Equipamento Solda por Refusao,0.96,0.97,0.97,0.95,115.51,146.55,0.94,0.92,2021-01-05 18:00:00
116,Simulador Ambiente,0.92,0.92,0.99,0.89,126.62,129.8,0.97,0.94,2021-01-05 19:00:00
117,Scanner AOI,0.93,0.94,0.96,0.95,118.95,124.17,0.93,0.93,2021-01-05 20:00:00
118,Equipamento Solda por Onda,0.95,0.97,0.98,0.94,128.3,149.05,0.99,0.94,2021-01-05 21:00:00
119,Equipamento Solda por Refusao,0.97,0.95,0.98,0.89,129.86,132.45,0.98,0.95,2021-01-05 22:00:00
120,Scanner Linha Producao,0.92,0.91,0.99,0.93,100.23,155.22,0.95,0.96,2021-01-05 23:00:00
121,Testador ICT,0.97,0.93,0.96,0.95,125.65,128.44,0.96,0.95,2021-01-06 00:00:00
122,Scanner AOI,0.93,0.92,0.99,0.88,122.1,156.74,0.94,0.96,2021-01-06 01:00:00
123,AOI Automatizado,0.95,0.92,0.99,0.9,118.95,129.4,0.98,0.92,2021-01-06 02:00:00
124,Scanner Linha Producao,0.96,0.98,0.96,0.89,118.02,121.43,0.98,0.97,2021-01-06 03:00:00
125,Inspetor Visual Otico,0.93,0.91,0.98,0.91,111.81,123.58,0.95,0.97,2021-01-06 04:00:00
126,Scanner Linha Producao,0.99,0.93,0.97,0.94,119.6,132.52,0.99,0.91,2021-01-06 05:00:00
127,Scanner Linha Producao,0.95,0.96,1.0,0.9,107.31,144.95,0.96,0.94,2021-01-06 06:00:00
128,Calibrador Robos,0.98,0.97,0.97,0.93,108.77,141.17,0.94,0.96,2021-01-06 07:00:00
129,Equipamento Solda por Refusao,0.93,0.91,0.99,0.92,107.03,144.46,0.98,0.94,2021-01-06 08:00:00
130,Testador Circuito SMT,0.96,0.99,0.99,0.91,116.03,128.44,0.98,0.91,2021-01-06 09:00:00
131,Simulador Ambiente,0.92,0.91,1.0,0.96,116.17,128.15,0.99,0.94,2021-01-06 10:00:00
132,Testador Circuito SMT,0.97,0.98,1.0,0.9,110.35,141.62,0.95,0.94,2021-01-06 11:00:00
133,Equipamento Solda por Refusao,0.99,0.94,0.98,0.95,122.81,134.83,0.97,0.91,2021-01-06 12:00:00
134,Equipamento Solda por Onda,0.93,0.94,1.0,0.92,111.55,138.45,0.96,0.92,2021-01-06 13:00:00
135,Testador Circuito SMT,0.94,0.95,0.98,0.89,110.36,139.22,0.94,0.9,2021-01-06 14:00:00
136,Testador ICT,0.95,0.94,0.98,0.88,120.73,146.54,0.95,0.93,2021-01-06 15:00:00
137,AOI Automatizado,0.93,0.91,0.98,0.91,109.04,137.25,0.95,0.97,2021-01-06 16:00:00
138,Scanner Linha Producao,0.91,0.92,0.97,0.92,115.42,156.2,0.96,0.93,2021-01-06 17:00:00
139,Equipamento Solda por Refusao,0.98,0.94,0.99,0.94,119.99,139.68,0.95,0.91,2021-01-06 18:00:00
140,Testador ICT,0.91,0.96,0.97,0.9,115.14,137.63,0.94,0.92,2021-01-06 19:00:00
141,Scanner Linha Producao,0.93,0.93,0.99,0.96,104.93,157.14,0.99,0.94,2021-01-06 20:00:00
142,Calibrador Robos,0.94,0.93,0.98,0.91,123.4,130.79,0.99,0.95,2021-01-06 21:00:00
143,Equipamento Solda por Onda,0.94,0.94,0.97,0.95,106.56,149.66,0.98,0.93,2021-01-06 22:00:00
144,Simulador Ambiente,0.92,0.91,0.97,0.89,118.55,129.62,0.94,0.94,2021-01-06 23:00:00
145,Testador ICT,0.94,0.9,1.0,0.94,112.62,133.41,0.98,0.9,2021-01-07 00:00:00
146,Equipamento Solda por Onda,0.94,0.92,0.98,0.96,123.03,153.9,0.96,0.91,2021-01-07 01:00:00
147,Medidor Corrente,0.92,0.95,0.97,0.95,111.49,146.62,0.93,0.92,2021-01-07 02:00:00
148,AOI Automatizado,0.91,0.97,0.99,0.94,107.5,130.19,0.98,0.92,2021-01-07 03:00:00
149,Equipamento Solda por Refusao,0.99,0.9,0.99,0.91,105.16,145.13,0.95,0.91,2021-01-07 04:00:00
150,Medidor Corrente,0.95,0.91,1.0,0.9,106.64,157.03,0.96,0.95,2021-01-07 05:00:00
151,Equipamento Solda por Onda,0.91,0.91,0.98,0.95,103.81,152.93,0.96,0.91,2021-01-07 06:00:00
152,Equipamento Solda por Refusao,0.91,0.92,0.98,0.91,109.22,141.14,0.96,0.95,2021-01-07 07:00:00
153,Medidor Corrente,0.95,0.92,0.96,0.88,127.44,141.82,0.96,0.93,2021-01-07 08:00:00
154,Equipamento Solda por Refusao,0.91,0.97,0.96,0.91,120.47,121.75,0.98,0.92,2021-01-07 09:00:00
155,Equipamento Solda por Refusao,0.96,0.96,0.98,0.9,101.56,130.81,0.93,0.94,2021-01-07 10:00:00
156,Medidor Corrente,0.94,0.93,0.95,0.96,112.07,139.13,0.98,0.91,2021-01-07 11:00:00
157,Inspetor Visual Otico,0.98,0.91,0.98,0.9,101.75,151.86,0.97,0.91,2021-01-07 12:00:00
158,Equipamento Solda por Onda,0.93,0.97,0.98,0.88,109.57,124.26,0.93,0.96,2021-01-07 13:00:00
159,Calibrador Robos,0.97,0.92,0.95,0.94,114.22,130.56,0.93,0.94,2021-01-07 14:00:00
160,Scanner AOI,0.97,0.94,0.95,0.9,112.27,120.3,0.97,0.95,2021-01-07 15:00:00
161,Testador ICT,0.99,0.91,0.97,0.89,123.47,135.57,0.99,0.92,2021-01-07 16:00:00
162,Equipamento Solda por Onda,0.93,0.96,0.95,0.91,126.73,149.96,0.93,0.96,2021-01-07 17:00:00
163,Simulador Ambiente,0.98,0.96,1.0,0.9,115.62,141.75,0.96,0.93,2021-01-07 18:00:00
164,Scanner Linha Producao,0.93,0.94,0.99,0.88,124.8,148.45,0.97,0.92,2021-01-07 19:00:00
165,Inspetor Visual Otico,0.94,0.95,0.97,0.89,129.73,139.57,0.95,0.91,2021-01-07 20:00:00
166,Scanner AOI,0.9,0.91,1.0,0.94,107.94,127.25,0.98,0.9,2021-01-07 21:00:00
167,Inspetor Visual Otico,0.99,0.93,0.97,0.88,114.28,136.13,0.96,0.94,2021-01-07 22:00:00
168,Equipamento Solda por Refusao,0.97,0.98,0.98,0.95,107.02,130.91,0.96,0.91,2021-01-07 23:00:00
169,Scanner Linha Producao,0.99,0.98,0.97,0.95,127.11,144.04,0.98,0.95,2021-01-08 00:00:00
170,Calibrador Robos,0.94,0.91,0.97,0.96,121.58,125.37,0.95,0.95,2021-01-08 01:00:00
171,Inspetor Visual Otico,0.96,0.92,0.96,0.91,108.28,120.57,0.94,0.92,2021-01-08 02:00:00
172,Scanner AOI,0.91,0.98,1.0,0.88,105.74,152.5,0.94,0.94,2021-01-08 03:00:00
173,Inspetor Visual Otico,0.94,0.99,0.99,0.93,108.16,152.53,0.94,0.9,2021-01-08 04:00:00
174,Scanner AOI,0.92,0.99,0.99,0.91,123.61,149.02,0.94,0.91,2021-01-08 05:00:00
175,Inspetor Visual Otico,0.97,0.94,0.96,0.92,122.54,148.31,0.99,0.94,2021-01-08 06:00:00
176,Medidor Corrente,0.92,0.93,0.96,0.94,110.75,131.88,0.98,0.91,2021-01-08 07:00:00
177,Equipamento Solda por Refusao,0.97,0.96,0.99,0.93,107.04,139.08,0.97,0.93,2021-01-08 08:00:00
178,Equipamento Solda por Refusao,0.92,0.93,0.97,0.95,113.82,157.62,0.95,0.96,2021-01-08 09:00:00
179,Scanner Linha Producao,0.95,0.95,0.98,0.95,108.32,155.5,0.93,0.97,2021-01-08 10:00:00
180,Scanner Linha Producao,0.92,0.96,0.96,0.96,127.32,126.1,0.95,0.93,2021-01-08 11:00:00
181,Simulador Ambiente,0.91,0.98,0.96,0.9,117.18,125.41,0.96,0.96,2021-01-08 12:00:00
182,AOI Automatizado,0.93,0.97,0.95,0.97,113.2,152.0,0.96,0.95,2021-01-08 13:00:00
183,Calibrador Robos,0.95,0.96,0.99,0.9,120.57,122.27,0.96,0.93,2021-01-08 14:00:00
184,Simulador Ambiente,0.94,0.94,1.0,0.91,103.46,139.84,0.99,0.95,2021-01-08 15:00:00
185,Equipamento Solda por Onda,0.94,0.92,0.98,0.93,101.43,151.67,0.94,0.95,2021-01-08 16:00:00
186,Simulador Ambiente,0.97,0.91,0.95,0.9,129.52,151.58,0.95,0.95,2021-01-08 17:00:00
187,Scanner Linha Producao,0.94,0.91,1.0,0.95,125.73,147.78,0.97,0.94,2021-01-08 18:00:00
188,Medidor Corrente,0.93,0.93,0.95,0.93,111.78,143.61,0.96,0.95,2021-01-08 19:00:00
189,Inspetor Visual Otico,0.96,0.95,0.99,0.93,120.41,120.9,0.98,0.97,2021-01-08 20:00:00
190,Medidor Corrente,0.94,0.94,0.96,0.92,109.52,132.73,0.95,0.91,2021-01-08 21:00:00
191,Equipamento Solda por Onda,0.95,0.94,0.96,0.95,115.68,158.68,0.95,0.97,2021-01-08 22:00:00
192,Testador ICT,0.98,0.97,0.96,0.94,104.29,151.83,0.95,0.96,2021-01-08 23:00:00
193,Medidor Corrente,0.93,0.92,0.97,0.9,100.01,136.8,0.97,0.93,2021-01-09 00:00:00
194,Inspetor Visual Otico,0.92,0.99,0.96,0.89,122.61,158.4,0.94,0.92,2021-01-09 01:00:00
195,Inspetor Visual Otico,0.91,0.96,0.99,0.96,124.83,121.55,0.97,0.93,2021-01-09 02:00:00
196,Testador Circuito SMT,0.94,0.94,0.99,0.9,104.05,120.9,0.98,0.95,2021-01-09 03:00:00
197,Equipamento Solda por Onda,0.91,0.96,0.95,0.97,103.58,159.45,0.96,0.97,2021-01-09 04:00:00
198,Equipamento Solda por Onda,0.98,0.95,0.98,0.93,100.84,157.95,0.94,0.91,2021-01-09 05:00:00
199,Equipamento Solda por Onda,0.95,0.91,0.99,0.92,117.21,136.23,0.95,0.93,2021-01-09 06:00:00
200,Testador ICT,0.94,0.99,0.97,0.91,118.19,145.71,0.97,0.93,2021-01-09 07:00:00
201,Simulador Ambiente,0.96,0.91,0.97,0.9,104.6,151.46,0.93,0.9,2021-01-09 08:00:00
202,Scanner AOI,0.97,0.94,0.97,0.88,112.37,126.34,0.98,0.92,2021-01-09 09:00:00
203,Testador ICT,0.98,0.94,0.95,0.89,100.07,135.12,0.96,0.92,2021-01-09 10:00:00
204,Scanner Linha Producao,0.98,0.9,0.95,0.96,126.06,128.13,0.94,0.95,2021-01-09 11:00:00
205,Equipamento Solda por Onda,0.91,0.93,0.99,0.88,113.18,142.82,0.99,0.95,2021-01-09 12:00:00
206,Testador ICT,0.91,0.91,0.96,0.89,124.69,128.51,0.97,0.92,2021-01-09 13:00:00
207,Testador ICT,0.98,0.99,1.0,0.95,102.0,151.38,0.97,0.94,2021-01-09 14:00:00
208,Medidor Corrente,0.97,0.91,0.96,0.97,104.47,122.34,0.96,0.95,2021-01-09 15:00:00
209,AOI Automatizado,0.95,0.91,0.98,0.92,123.18,137.63,0.98,0.92,2021-01-09 16:00:00
210,Calibrador Robos,0.95,0.94,0.99,0.91,101.12,124.04,0.98,0.95,2021-01-09 17:00:00
211,Equipamento Solda por Onda,0.91,0.96,0.98,0.9,102.81,121.2,0.96,0.95,2021-01-09 18:00:00
212,Testador ICT,0.97,0.97,0.98,0.95,122.23,150.5,0.94,0.95,2021-01-09 19:00:00
213,Inspetor Visual Otico,0.97,0.98,0.95,0.92,125.29,123.66,0.93,0.91,2021-01-09 20:00:00
214,Testador Circuito SMT,0.96,0.94,0.98,0.9,115.21,125.78,0.95,0.92,2021-01-09 21:00:00
215,Equipamento Solda por Onda,0.95,0.92,1.0,0.96,117.59,158.84,0.98,0.95,2021-01-09 22:00:00
216,Inspetor Visual Otico,0.94,0.97,0.97,0.95,126.2,143.83,0.95,0.93,2021-01-09 23:00:00
217,Testador Circuito SMT,0.98,0.97,0.99,0.97,113.44,130.37,0.95,0.92,2021-01-10 00:00:00
218,Equipamento Solda por Onda,0.98,0.95,0.99,0.94,113.71,145.29,0.95,0.96,2021-01-10 01:00:00
219,Testador Circuito SMT,0.94,0.91,0.98,0.93,127.89,134.39,0.99,0.94,2021-01-10 02:00:00
220,Equipamento Solda por Refusao,0.91,0.95,0.95,0.96,110.14,152.93,0.93,0.94,2021-01-10 03:00:00
221,Calibrador Robos,0.94,0.95,1.0,0.96,119.46,132.91,0.97,0.97,2021-01-10 04:00:00
222,Equipamento Solda por Onda,0.92,0.95,1.0,0.94,129.96,126.65,0.96,0.93,2021-01-10 05:00:00
223,AOI Automatizado,0.95,0.99,0.98,0.93,110.16,155.96,0.95,0.92,2021-01-10 06:00:00
224,Medidor Corrente,0.95,0.94,0.95,0.95,101.58,155.45,0.94,0.9,2021-01-10 07:00:00
225,Scanner AOI,0.97,0.97,0.97,0.9,103.27,150.27,0.95,0.91,2021-01-10 08:00:00
226,Inspetor Visual Otico,0.91,0.99,0.97,0.91,100.2,149.39,0.96,0.9,2021-01-10 09:00:00
227,Testador Circuito SMT,0.95,0.95,0.97,0.92,116.38,139.3,0.98,0.96,2021-01-10 10:00:00
228,Scanner Linha Producao,0.93,0.95,0.99,0.89,118.52,129.99,0.93,0.95,2021-01-10 11:00:00
229,Testador Circuito SMT,0.98,0.93,0.96,0.92,111.19,148.75,0.96,0.92,2021-01-10 12:00:00
230,Inspetor Visual Otico,0.91,0.94,0.97,0.88,113.67,154.52,0.98,0.97,2021-01-10 13:00:00
231,AOI Automatizado,0.92,0.91,0.99,0.93,103.51,135.9,0.98,0.96,2021-01-10 14:00:00
232,Scanner Linha Producao,0.98,0.97,0.98,0.96,119.03,141.43,0.93,0.95,2021-01-10 15:00:00
233,Medidor Corrente,0.97,0.98,1.0,0.89,106.55,142.48,0.97,0.92,2021-01-10 16:00:00
234,Calibrador Robos,0.94,0.92,0.95,0.9,116.76,144.9,0.99,0.95,2021-01-10 17:00:00
235,Medidor Corrente,0.98,0.92,0.99,0.88,107.96,148.84,0.93,0.95,2021-01-10 18:00:00
236,Calibrador Robos,0.93,0.92,0.97,0.95,101.56,139.28,0.94,0.95,2021-01-10 19:00:00
237,Medidor Corrente,0.97,0.93,0.97,0.89,107.47,150.51,0.95,0.91,2021-01-10 20:00:00
238,Testador ICT,0.92,0.96,0.98,0.91,109.27,135.51,0.97,0.95,2021-01-10 21:00:00
239,Testador ICT,0.95,0.91,1.0,0.93,114.74,123.52,0.96,0.92,2021-01-10 22:00:00
240,Scanner AOI,0.94,0.91,0.97,0.92,120.44,154.12,0.94,0.9,2021-01-10 23:00:00
241,Inspetor Visual Otico,0.93,0.94,1.0,0.92,109.88,138.98,0.94,0.97,2021-01-11 00:00:00
