lote_id,material_id,fornecedor_id,data_recebimento,lote_fornecedor
89,4,22,2023-04-16,LoteForn_89
90,2,2,2024-01-17,LoteForn_90
91,6,2,2023-10-21,LoteForn_91
92,10,3,2022-10-31,LoteForn_92
93,2,16,2024-06-13,LoteForn_93
94,1,22,2021-12-29,LoteForn_94
95,3,4,2021-05-18,LoteForn_95
96,4,24,2021-05-24,LoteForn_96
97,8,5,2024-04-27,LoteForn_97
98,5,26,2022-04-09,LoteForn_98
99,4,9,2022-08-13,LoteForn_99
100,10,2,2025-02-28,LoteForn_100
101,5,16,2022-05-05,LoteForn_101
102,10,15,2021-03-16,LoteForn_102
103,7,7,2024-11-18,LoteForn_103
104,7,19,2023-11-22,LoteForn_104
105,5,16,2023-12-11,LoteForn_105
106,6,12,2025-11-06,LoteForn_106
107,6,19,2023-07-21,LoteForn_107
108,7,11,2022-12-18,LoteForn_108
109,2,18,2022-06-10,LoteForn_109
110,6,23,2022-11-25,LoteForn_110
111,2,9,2021-08-21,LoteForn_111
112,7,5,2023-11-09,LoteForn_112
113,7,7,2022-02-25,LoteForn_113
114,8,19,2024-01-20,LoteForn_114
115,8,17,2021-04-27,LoteForn_115
116,3,18,2022-06-04,LoteForn_116
117,10,18,2023-12-02,LoteForn_117
118,7,10,2021-05-25,LoteForn_118
119,7,11,2025-10-15,LoteForn_119
120,1,15,2023-07-27,LoteForn_120
121,9,13,2025-01-03,LoteForn_121
122,9,4,2021-08-25,LoteForn_122
123,2,19,2025-11-22,LoteForn_123
124,5,11,2023-08-03,LoteForn_124
125,2,20,2024-05-06,LoteForn_125
126,9,13,2023-10-19,LoteForn_126
127,10,28,2025-10-30,LoteForn_127
128,6,13,2025-03-30,LoteForn_128
129,1,20,2024-01-21,LoteForn_129
130,8,27,2021-07-08,LoteForn_130
131,6,8,2022-08-18,LoteForn_131
132,4,17,2021-11-14,LoteForn_132
133,7,17,2024-10-26,LoteForn_133
134,9,22,2023-01-25,LoteForn_134
135,5,27,2022-05-11,LoteForn_135
136,1,1,2022-02-11,LoteForn_136
137,10,11,2022-06-21,LoteForn_137
138,2,24,2022-11-27,LoteForn_138
139,2,14,2025-03-26,LoteForn_139
140,2,10,2025-04-27,LoteForn_140
141,8,14,2024-06-26,LoteForn_141
142,9,7,2025-08-08,LoteForn_142
143,6,5,2025-03-12,LoteForn_143
144,3,29,2024-07-06,LoteForn_144
145,7,1,2021-06-14,LoteForn_145
146,1,2,2022-10-03,LoteForn_146
147,1,11,2025-06-02,LoteForn_147
148,4,9,2025-04-29,LoteForn_148
149,8,15,2023-10-22,LoteForn_149
150,9,17,2022-03-16,LoteForn_150
151,10,8,2021-02-27,LoteForn_151
152,5,8,2024-05-11,LoteForn_152
153,5,15,2024-04-28,LoteForn_153
154,1,9,2023-12-23,LoteForn_154
155,4,16,2024-07-04,LoteForn_155
156,10,21,2021-08-23,LoteForn_156
157,8,7,2023-11-22,LoteForn_157
158,9,8,2023-03-02,LoteForn_158
159,8,5,2025-01-29,LoteForn_159
160,9,6,2025-03-15,LoteForn_160
161,3,5,2022-09-20,LoteForn_161
162,1,26,2021-06-03,LoteForn_162
163,6,3,2025-08-03,LoteForn_163
164,1,4,2023-02-21,LoteForn_164
165,10,13,2024-07-03,LoteForn_165
166,9,24,2023-06-27,LoteForn_166
167,3,5,2023-10-09,LoteForn_167
168,9,7,2023-05-31,LoteForn_168
169,1,12,2024-07-11,LoteForn_169
170,3,1,2022-04-02,LoteForn_170
171,10,10,2021-12-01,LoteForn_171
172,9,2,2024-01-20,LoteForn_172
173,1,7,2022-12-11,LoteForn_173
174,8,26,2025-08-08,LoteForn_174
175,5,3,2021-12-20,LoteForn_175
176,8,13,2025-02-23,LoteForn_176
177,10,7,2025-05-27,LoteForn_177
178,1,16,2022-09-15,LoteForn_178
179,1,8,2022-08-09,LoteForn_179
180,3,15,2021-06-07,LoteForn_180
181,10,2,2023-07-31,LoteForn_181
182,10,24,2022-03-16,LoteForn_182
183,3,4,2022-04-16,LoteForn_183
184,8,28,2024-12-11,LoteForn_184
185,2,28,2025-03-09,LoteForn_185
186,6,20,2024-02-18,LoteForn_186
187,10,3,2025-07-02,LoteForn_187
188,1,28,2024-11-21,LoteForn_188
189,9,24,2025-09-12,LoteForn_189
190,1,8,2021-07-30,LoteForn_190
191,4,15,2022-07-07,LoteForn_191
192,1,8,2022-12-26,LoteForn_192
193,10,7,2022-09-17,LoteForn_193
194,2,8,2025-05-19,LoteForn_194
195,8,29,2025-07-20,LoteForn_195
196,7,23,2022-11-04,LoteForn_196
197,9,2,2025-12-20,LoteForn_197
198,8,2,2022-12-01,LoteForn_198
199,3,17,2023-08-29,LoteForn_199
200,2,7,2022-11-26,LoteForn_200
201,7,4,2021-07-25,LoteForn_201
202,9,13,2022-05-02,LoteForn_202
203,1,15,2022-05-20,LoteForn_203
204,9,18,2021-06-19,LoteForn_204
205,9,1,2022-08-05,LoteForn_205
206,3,3,2022-11-16,LoteForn_206
207,7,6,2023-02-21,LoteForn_207
208,6,13,2022-06-29,LoteForn_208
209,3,27,2022-02-13,LoteForn_209
210,9,29,2023-01-09,LoteForn_210
211,4,3,2025-12-13,LoteForn_211
212,4,5,2024-08-12,LoteForn_212
213,2,29,2025-09-27,LoteForn_213
214,8,21,2024-08-14,LoteForn_214
215,3,13,2023-12-31,LoteForn_215
216,8,28,2023-01-21,LoteForn_216
217,2,21,2023-04-04,LoteForn_217
218,3,20,2025-01-28,LoteForn_218
219,10,3,2025-04-02,LoteForn_219
220,7,19,2023-09-26,LoteForn_220
221,4,3,2023-08-12,LoteForn_221
222,1,19,2025-08-11,LoteForn_222
223,6,2,2025-05-22,LoteForn_223
224,9,6,2025-05-31,LoteForn_224
225,2,3,2021-07-28,LoteForn_225
226,1,7,2022-01-18,LoteForn_226
227,9,14,2023-09-20,LoteForn_227
228,6,12,2025-01-28,LoteForn_228
229,6,1,2024-06-27,LoteForn_229
230,1,25,2024-05-04,LoteForn_230
231,9,16,2021-07-10,LoteForn_231
232,4,29,2021-06-21,LoteForn_232
233,1,19,2023-10-07,LoteForn_233
234,8,5,2022-06-27,LoteForn_234
235,8,7,2023-06-07,LoteForn_235
236,4,6,2025-05-13,LoteForn_236
237,3,3,2024-05-05,LoteForn_237
238,3,10,2025-08-08,LoteForn_238
239,3,15,2023-11-23,LoteForn_239
240,8,19,2023-04-05,LoteForn_240
241,8,10,2024-01-06,LoteForn_241
242,8,19,2021-11-23,LoteForn_242
243,2,14,2025-01-10,LoteForn_243
244,7,26,2024-02-10,LoteForn_244
245,1,9,2023-05-08,LoteForn_245
246,2,28,2024-04-27,LoteForn_246
247,2,14,2023-01-13,LoteForn_247
248,10,24,2021-04-09,LoteForn_248
249,3,21,2022-08-11,LoteForn_249
250,1,16,2024-06-15,LoteForn_250
251,4,14,2025-11-23,LoteForn_251
252,9,16,2021-09-15,LoteForn_252
253,4,4,2024-06-27,LoteForn_253
254,3,20,2023-11-20,LoteForn_254
255,9,26,2025-11-08,LoteForn_255
256,6,14,2024-06-10,LoteForn_256
257,5,23,2025-09-22,LoteForn_257
258,6,28,2023-04-09,LoteForn_258
259,9,23,2024-09-11,LoteForn_259
260,8,9,2021-03-20,LoteForn_260
261,6,20,2021-05-15,LoteForn_261
262,4,2,2023-05-04,LoteForn_262
263,7,23,2025-07-29,LoteForn_263
264,9,4,2021-10-01,LoteForn_264
265,10,16,2023-05-02,LoteForn_265
266,4,22,2023-07-08,LoteForn_266
267,1,12,2022-03-16,LoteForn_267
268,3,18,2021-06-09,LoteForn_268
269,2,28,2025-01-07,LoteForn_269
270,1,21,2025-10-24,LoteForn_270
271,4,6,2022-02-18,LoteForn_271
272,4,20,2023-02-12,LoteForn_272
273,6,22,2025-05-21,LoteForn_273
274,3,2,2023-01-11,LoteForn_274
275,3,29,2022-05-08,LoteForn_275
276,8,1,2024-11-02,LoteForn_276
277,9,5,2022-04-27,LoteForn_277
278,1,12,2022-07-12,LoteForn_278
279,10,2,2023-09-13,LoteForn_279
280,6,11,2022-03-12,LoteForn_280
281,9,10,2023-10-05,LoteForn_281
282,1,29,2025-12-08,LoteForn_282
283,2,22,2022-01-13,LoteForn_283
284,9,1,2024-03-04,LoteForn_284
285,8,16,2023-06-02,LoteForn_285
286,9,18,2023-04-27,LoteForn_286
287,10,7,2021-04-16,LoteForn_287
288,3,26,2023-11-18,LoteForn_288
289,6,22,2021-08-17,LoteForn_289
290,10,3,2022-11-05,LoteForn_290
291,6,17,2022-11-20,LoteForn_291
292,10,27,2021-12-22,LoteForn_292
293,2,4,2022-02-09,LoteForn_293
294,4,5,2021-11-21,LoteForn_294
295,6,18,2022-06-16,LoteForn_295
296,2,9,2025-01-08,LoteForn_296
297,10,17,2024-01-03,LoteForn_297
298,1,18,2025-01-17,LoteForn_298
299,2,14,2025-12-27,LoteForn_299
300,10,22,2023-09-21,LoteForn_300
301,4,7,2024-11-16,LoteForn_301
302,3,9,2021-08-18,LoteForn_302
303,8,4,2021-01-28,LoteForn_303
304,1,4,2024-09-28,LoteForn_304
305,10,19,2022-06-13,LoteForn_305
306,10,8,2025-08-01,LoteForn_306
307,8,6,2024-08-29,LoteForn_307
308,6,29,2021-05-10,LoteForn_308
309,1,15,2022-08-19,LoteForn_309
310,5,5,2022-03-22,LoteForn_310
311,6,5,2025-04-16,LoteForn_311
312,2,10,2023-10-12,LoteForn_312
313,7,4,2025-06-16,LoteForn_313
314,8,4,2025-12-28,LoteForn_314
315,6,20,2022-09-10,LoteForn_315
316,2,1,2024-09-18,LoteForn_316
317,8,6,2024-05-05,LoteForn_317
318,9,8,2025-07-05,LoteForn_318
319,5,18,2022-04-03,LoteForn_319
320,5,6,2023-07-24,LoteForn_320
321,6,11,2025-05-30,LoteForn_321
322,4,22,2025-11-06,LoteForn_322
323,1,27,2021-05-15,LoteForn_323
324,7,9,2024-12-25,LoteForn_324
325,3,6,2023-11-30,LoteForn_325
326,6,23,2023-08-18,LoteForn_326
327,10,5,2022-02-01,LoteForn_327
328,4,28,2022-01-16,LoteForn_328
329,6,9,2025-12-07,LoteForn_329
330,4,18,2024-07-26,LoteForn_330
331,6,13,2024-01-30,LoteForn_331
332,9,19,2025-05-31,LoteForn_332
333,7,18,2022-04-08,LoteForn_333
334,1,3,2025-06-23,LoteForn_334
335,7,9,2024-09-19,LoteForn_335
336,6,19,2024-08-09,LoteForn_336
337,3,11,2022-08-11,LoteForn_337
338,2,26,2022-12-09,LoteForn_338
339,1,20,2023-07-03,LoteForn_339
340,3,29,2022-01-06,LoteForn_340
341,1,16,2025-03-26,LoteForn_341
342,2,22,2025-12-29,LoteForn_342
343,2,10,2023-03-07,LoteForn_343
344,4,3,2021-01-14,LoteForn_344
345,5,4,2023-07-09,LoteForn_345
346,4,28,2025-08-23,LoteForn_346
347,8,5,2022-03-11,LoteForn_347
348,3,3,2025-11-10,LoteForn_348
349,5,22,2024-12-21,LoteForn_349
350,3,5,2022-05-09,LoteForn_350
